# NED-1D, V2.0
# 3,716 distances to 1,210 galaxies with v &lt; 1/8 c, published in 524 
# papers since Jan. 1, 1990, with the exception of 4 papers from 1988-89; 
# updated to July 1, 2006
#
# Compiled from the literature by Barry F. Madore (Pasadena) and 
# Ian P. Steer (Toronto)
# Galaxy_Name                  m-M     err     D         Method     REFCODE              Notes                          RA          Dec          GLON    GLAT    Type_(RC3)   Vgsr_(RC3)      
# -                            (mag)   (mag)   (Mpc)     -          -                    -                              (J2000)     (J2000)      -       -       -            (km/s)          
# (1)                          (2)     (3)     (4)       (5)        (6)                  (7)                            (8)         (9)          (10)    (11)    (12)         (13)            
NGC4365                         31.600   0.300    20.900 GCLF       1996AJ....112..954F  -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.680   0.170    21.700 GCLF       2001AJ....121.2950K  -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.800   0.270    22.900 GCLF       1993AJ....105.1358S  -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.960   0.140    24.700 GCLF       1991ApJS...76..115H  B                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.550   0.170    20.400 SBF        2001ApJ...546..681T  I                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.570   0.170    20.600 SBF        2001MNRAS.327.1004B  -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.700   0.110    21.900 SBF        1998ApJ...505..111J  K                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.700   0.090    21.900 SBF        1998ApJ...505..111J  I                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.710   0.100    22.000 SBF        1994ApJ...433..567P  K                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.270  -9.000    17.900 FP         LEDA_[April_2006]    -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.590  -9.000    20.800 FP         2000ApJ...529..768K  -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.640   0.410    21.300 FP         2001MNRAS.327.1004B  -                              12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4365                         31.690  -9.000    21.800 GC_radius  2005ApJ...634.1002J  GCrad                          12:24:28.2  +07:19:03.1    283.8   69.2 E.3                 1154.0
NGC4386                         32.160   0.490    27.000 SBF        2001ApJ...546..681T  I                              12:24:28.4  +75:31:44.1    125.2   41.5 LX.0*               1820.0
NGC4371                         30.820  -9.000    14.600 GC_radius  2005ApJ...634.1002J  GCrad                          12:24:55.4  +11:42:15.4    279.7   73.4 LBR+                 892.0
M84:NGC4374                     30.890   0.110    15.100 PNLF       2002ApJ...577...31C  -                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     30.980  -9.000    15.700 PNLF       1990ApJ...356..332J  37_PNe                         12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.080   0.300    16.400 GCLF       1994AJ....108.2087A  R                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.610   0.200    21.000 GCLF       2004A&amp;A...415..4 -                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.140   0.100    16.900 SBF        1994ApJ...433..567P  K                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.320   0.110    18.400 SBF        2001ApJ...559..584A  I                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.320   0.110    18.400 SBF        2001ApJ...546..681T  I                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.330   0.110    18.500 SBF        2001MNRAS.327.1004B  -                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     30.350   0.190    11.700 SNIa       2006ApJ...645..488W  SN_1991bg:_z_=_0.00354         12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.000  -9.000    15.800 FP         LEDA_[April_2006]    -                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.260  -9.000    17.900 FP         2000ApJ...529..768K  -                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.290   0.410    18.100 FP         2001MNRAS.327.1004B  -                              12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
M84:NGC4374                     31.220  -9.000    17.500 GC_radius  2005ApJ...634.1002J  GCrad                          12:25:03.7  +12:53:13.1    278.2   74.5 E.1                  902.0
NGC4377                         31.220  -9.000    17.500 GC_radius  2005ApJ...634.1002J  GCrad                          12:25:12.3  +14:45:43.8    275.3   76.2 LA.-                1310.0
NGC4379                         30.760   0.410    14.200 SBF        2001ApJ...546..681T  I                              12:25:14.7  +15:36:26.9    273.8   77.0 L..-P*              1010.0
NGC4379                         31.010  -9.000    15.900 GC_radius  2005ApJ...634.1002J  GCrad                          12:25:14.7  +15:36:26.9    273.8   77.0 L..-P*              1010.0
NGC4373                         33.290   0.190    45.500 SBF        2001MNRAS.327.1004B  -                              12:25:17.8  -39:45:35.0    297.5   22.8 LXT-*               3213.0
NGC4373                         32.710   0.410    34.900 FP         2001MNRAS.327.1004B  -                              12:25:17.8  -39:45:35.0    297.5   22.8 LXT-*               3213.0
NGC4391                         31.900   0.270    24.000 SBF        2001ApJ...546..681T  I                              12:25:18.8  +64:56:00.5    127.4   52.0 LA.-*               1480.0
M85:NGC4382                     30.730   0.100    14.000 PNLF       2002ApJ...577...31C  -                              12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
M85:NGC4382                     30.790  -9.000    14.400 PNLF       1990ApJ...356..332J  59_PNe                         12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
M85:NGC4382                     31.330   0.140    18.500 SBF        2001ApJ...546..681T  I                              12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
M85:NGC4382                     31.350   0.140    18.600 SBF        2001MNRAS.327.1004B  -                              12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
M85:NGC4382                     29.750  -9.000     8.900 FP         LEDA_[April_2006]    -                              12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
M85:NGC4382                     30.010   0.410    10.100 FP         2001MNRAS.327.1004B  -                              12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
M85:NGC4382                     30.880  -9.000    15.000 GC_radius  2005ApJ...634.1002J  GCrad                          12:25:24.1  +18:11:27.9    267.7   79.2 LAS+P                686.0
VCC0810                         30.760   0.130    14.200 SBF        2004AJ....127..771J  R                              12:25:33.6  +13:13:37.5    278.1   74.8 dE0:N                  0.0
VCC0810                         31.160   0.220    17.100 SBF        2004AJ....127..771J  R                              12:25:33.6  +13:13:37.5    278.1   74.8 dE0:N                  0.0
NGC4389                         30.850  -9.000    14.800 Tully-Fish 2003astro.ph.10284R  I:_TD-Tully-Fisher             12:25:35.1  +45:41:04.8    136.7   70.7 SBT4P*               777.0
NGC4389                         30.920  -9.000    15.300 Tully-Fish 2003astro.ph.10284R  I                              12:25:35.1  +45:41:04.8    136.7   70.7 SBT4P*               777.0
NGC4389                         31.210  -9.000    17.500 Tully-Fish 2003astro.ph.10284R  B:_TD-Tully-Fisher             12:25:35.1  +45:41:04.8    136.7   70.7 SBT4P*               777.0
NGC4389                         31.340  -9.000    18.500 Tully-Fish 2003astro.ph.10284R  B                              12:25:35.1  +45:41:04.8    136.7   70.7 SBT4P*               777.0
VCC0815                         31.480   0.170    19.800 SBF        2004AJ....127..771J  R                              12:25:37.1  +13:08:36.5    278.3   74.8 dE2:N                  0.0
ESO322-G008:NGC4373A            31.310   0.050    18.300 SBF        1999ApJ...515...79P  I                              12:25:37.7  -39:19:10.8    297.5   23.3 LA.+*/              2847.0
ESO322-G008:NGC4373A            32.860   0.520    37.300 SBF        2001ApJ...546..681T  I                              12:25:37.7  -39:19:10.8    297.5   23.3 LA.+*/              2847.0
NGC4387                         31.650   0.730    21.400 SBF        2001ApJ...546..681T  I                              12:25:41.7  +12:48:37.9    278.8   74.5 E                    507.0
NGC4387                         31.390  -9.000    19.000 FP         2000ApJ...529..768K  -                              12:25:41.7  +12:48:37.9    278.8   74.5 E                    507.0
NGC4387                         31.070  -9.000    16.400 GC_radius  2005ApJ...634.1002J  GCrad                          12:25:41.7  +12:48:37.9    278.8   74.5 E                    507.0
NGC4395                         28.150   0.180     4.300 Cepheids   2004AJ....127.2322T  11:_gri                        12:25:48.9  +33:32:48.3    162.1   81.5 SAS9*                337.0
NGC4395                         28.320  -9.000     4.610 TRGB       2003A&amp;A...398..4 -                              12:25:48.9  +33:32:48.3    162.1   81.5 SAS9*                337.0
NGC4395                         28.130  -9.000     4.230 BS         1998A&amp;AS..131... -                              12:25:48.9  +33:32:48.3    162.1   81.5 SAS9*                337.0
NGC4395                         28.210  -9.000     4.390 Tully-Fish LEDA_[April_2006]    -                              12:25:48.9  +33:32:48.3    162.1   81.5 SAS9*                337.0
VCC0846                         31.300   0.190    18.200 SBF        2004AJ....127..771J  R                              12:25:50.4  +13:11:51.6    278.4   74.8 E?                     0.0
IC3328                          31.280   0.250    18.000 SBF        2004AJ....127..771J  R                              12:25:57.9  +10:03:13.6    282.4   71.9 E?                   939.0
IC3328                          30.280  -9.000    11.400 GC_radius  2005ApJ...634.1002J  GCrad                          12:25:57.9  +10:03:13.6    282.4   71.9 E?                   939.0
M86:NGC4406                     30.920   0.090    15.300 PNLF       2002ApJ...577...31C  -                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     30.980  -9.000    15.700 PNLF       1990ApJ...356..332J  59_PNe                         12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.210   0.070    17.500 GCLF       2001AJ....121.2950K  -                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.230   0.300    17.600 GCLF       1994AJ....108.2087A  R                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.010   0.140    15.900 SBF        2003ApJ...583..712J  I                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.060   0.100    16.300 SBF        1998ApJ...505..111J  K                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.170   0.140    17.100 SBF        2001ApJ...546..681T  I                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.190   0.070    17.300 SBF        1998ApJ...505..111J  I                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.190   0.070    17.300 SBF        1997AJ....114..626A  I                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.200   0.140    17.400 SBF        2001MNRAS.327.1004B  -                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     31.200   0.100    17.400 SBF        1999ApJ...515...79P  I                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     30.330  -9.000    11.600 FP         LEDA_[April_2006]    -                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     30.850   0.410    14.800 FP         2001MNRAS.327.1004B  -                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     30.880  -9.000    15.000 FP         2000ApJ...529..768K  -                              12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
M86:NGC4406                     30.820  -9.000    14.600 GC_radius  2005ApJ...634.1002J  GCrad                          12:26:11.7  +12:56:46.4    279.1   74.6 E.3                    0.0
UGCA281:IZw036                  28.900   0.200     5.900 TRGB       2001AJ....121.3007S  H                              12:26:16.0  +48:29:36.6    134.2   68.1 S?                   348.0
UGCA281:IZw036                  28.790   0.390     5.730 BS         1997AstL...23..656G  -                              12:26:16.0  +48:29:36.6    134.2   68.1 S?                   348.0
NGC4414                         31.100   0.040    16.600 Cepheids   2003A&amp;A...411..3 cte_LMC_K03                    12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.100   0.050    16.600 Cepheids   2001ApJ...553...47F  KP:_8:_VI                      12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.100   0.040    16.600 Cepheids   2003A&amp;A...411..3 cte_U99                        12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.130   0.050    16.900 Cepheids   2003A&amp;A...411..3 cte_LMC_STS02                  12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.150   0.110    17.000 Cepheids   2001ApJ...547L.103G  9:_VI                          12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.170   0.130    17.100 Cepheids   2001ApJ...548..564W  LMC_W01                        12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.200   0.050    17.400 Cepheids   2003A&amp;A...411..3 cte_MW_FSG03                   12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.240   0.050    17.700 Cepheids   2003A&amp;A...411..3 cte_MF91                       12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.240   0.050    17.700 Cepheids   2001ApJ...553...47F  KP_+Z:_8:_VI                   12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.270   0.060    17.900 Cepheids   2003A&amp;A...411..3 cte_MW_GFG98                   12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.270   0.050    17.900 Cepheids   2002A&amp;A...389... MW_HIPP                        12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.290   0.110    18.100 Cepheids   2001ApJ...547L.103G  9:_VI_+Z                       12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.340   0.060    18.500 Cepheids   2003A&amp;A...411..3 cte_MW_STS03                   12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.350   0.260    18.600 Cepheids   2002A&amp;A...389... MW_P02                         12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.410   0.100    19.100 Cepheids   2000ApJ...529..723G  ALLFRAME                       12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.410   0.100    19.100 Cepheids   1998ApJ...505..207T  7:_VI                          12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.500   0.270    20.000 Cepheids   2000ASPC..203..231T  20:_VI                         12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.620   0.090    21.100 Cepheids   2002A&amp;A...389... MW_GFG                         12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.650   0.170    21.400 Cepheids   2006ApJS..165..108S  -                              12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.370   0.140    18.800 SNIa       2005ApJ...624..532R  SN_1974G                       12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.350   0.180    18.600 Sosies     2002A&amp;A...393... -                              12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.250  -9.000    17.800 Tully-Fish 2003astro.ph.10284R  I                              12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.250  -9.000    17.800 Tully-Fish 2003astro.ph.10284R  B                              12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
NGC4414                         31.620  -9.000    34.500 Tully-Fish LEDA_[April_2006]    -                              12:26:27.1  +31:13:24.7    174.5   83.2 SAT5$                728.0
VCC0928                         31.420   0.140    19.200 SBF        2004AJ....127..771J  R                              12:26:39.6  +12:30:48.0    280.1   74.3 E?                     0.0
NGC4415                         30.860   0.140    14.900 SBF        2004AJ....127..771J  R                              12:26:40.5  +08:26:08.5    284.4   70.4 S..0                 757.0
IC3349                          31.360   0.200    18.700 SBF        2004AJ....127..771J  R                              12:26:47.1  +12:27:14.3    280.2   74.2 E?                  1508.0
NGC4417                         31.010  -9.000    15.900 GC_radius  2005ApJ...634.1002J  GCrad                          12:26:50.6  +09:35:03.0    283.5   71.5 LB..*/               787.0
NGC4419                         30.650   0.250    13.500 SBF        2001ApJ...546..681T  I                              12:26:56.4  +15:02:50.7    276.4   76.6 SBS1./                 0.0
NGC4419                         31.240   0.140    17.700 SNIa       2005ApJ...624..532R  SN_1984A                       12:26:56.4  +15:02:50.7    276.4   76.6 SBS1./                 0.0
DDO126:UGC07559                 28.440   0.260     4.870 TRGB       2003A&amp;A...398..4 -                              12:27:05.2  +37:08:33.3    148.6   78.7 IB.9                 247.0
DDO126:UGC07559                 27.970   0.390     3.930 BS         1997AstL...23..656G  -                              12:27:05.2  +37:08:33.3    148.6   78.7 IB.9                 247.0
DDO126:UGC07559                 28.530  -9.000     5.100 BS         1998A&amp;AS..128..4 -                              12:27:05.2  +37:08:33.3    148.6   78.7 IB.9                 247.0
NGC4441                         31.400   0.450    19.000 SBF        2001ApJ...546..681T  I                              12:27:20.4  +64:48:05.4    127.1   52.1 LX.+P               1582.0
NGC4431                         30.940   0.120    15.400 SBF        2004AJ....127..771J  R                              12:27:27.4  +12:17:25.2    281.0   74.1 LAR                  745.0
NGC4431                         31.050   0.150    16.200 SBF        2004AJ....127..771J  R                              12:27:27.4  +12:17:25.2    281.0   74.1 LAR                  745.0
NGC4434                         31.980   0.170    24.900 SBF        2003ApJ...583..712J  I                              12:27:36.7  +08:09:15.6    285.3   70.2 E                   1004.0
NGC4434                         32.140   0.170    26.800 SBF        2001ApJ...546..681T  I                              12:27:36.7  +08:09:15.6    285.3   70.2 E                   1004.0
NGC4434                         32.140   0.170    26.800 SBF        2001MNRAS.327.1004B  -                              12:27:36.7  +08:09:15.6    285.3   70.2 E                   1004.0
NGC4434                         31.050  -9.000    16.200 FP         2000ApJ...529..768K  -                              12:27:36.7  +08:09:15.6    285.3   70.2 E                   1004.0
NGC4434                         31.770   0.410    22.600 FP         2001MNRAS.327.1004B  -                              12:27:36.7  +08:09:15.6    285.3   70.2 E                   1004.0
IC3370                          32.140   0.170    26.800 SBF        2001ApJ...546..681T  I                              12:27:37.3  -39:20:16.0    297.9   23.3 E.2+                2748.0
IC3370                          32.200   0.170    27.500 SBF        2001MNRAS.327.1004B  -                              12:27:37.3  -39:20:16.0    297.9   23.3 E.2+                2748.0
IC3370                          32.280   0.410    28.600 FP         2001MNRAS.327.1004B  -                              12:27:37.3  -39:20:16.0    297.9   23.3 E.2+                2748.0
DDO125:UGC07577                 26.980   0.070     2.490 TRGB       2002AJ....124..213M  -                              12:27:40.9  +43:29:44.0    137.8   72.9 I..9                 246.0
DDO125:UGC07577                 27.020   0.130     2.540 TRGB       2002A&amp;A...389..8 -                              12:27:40.9  +43:29:44.0    137.8   72.9 I..9                 246.0
DDO125:UGC07577                 28.420  -9.000     4.830 BS         1998A&amp;AS..128..3 -                              12:27:40.9  +43:29:44.0    137.8   72.9 I..9                 246.0
NGC4436                         31.130   0.170    16.800 SBF        2004AJ....127..771J  R                              12:27:41.2  +12:18:57.2    281.2   74.2 L                   1269.0
NGC4442                         30.700  -9.000    13.800 GC_radius  2005ApJ...634.1002J  GCrad                          12:28:03.9  +09:48:13.0    284.2   71.8 LBS0                 467.0
NGC4449                         28.120   0.270     4.210 TRGB       2003A&amp;A...398..4 -                              12:28:11.9  +44:05:39.6    136.8   72.4 IB.9                 255.0
NGC4449                         27.330  -9.000     2.930 BS         1998A&amp;AS..131... -                              12:28:11.9  +44:05:39.6    136.8   72.4 IB.9                 255.0
NGC4449                         27.440  -9.000     3.080 Tully-Fish LEDA_[April_2006]    -                              12:28:11.9  +44:05:39.6    136.8   72.4 IB.9                 255.0
IC3381                          31.270   0.140    18.000 SBF        2004AJ....127..771J  R                              12:28:14.9  +11:47:23.4    282.3   73.7 E+..*                594.0
IC3381                          31.390   0.180    19.000 SBF        2004AJ....127..771J  R                              12:28:14.9  +11:47:23.4    282.3   73.7 E+..*                594.0
IC3381                          38.480  -9.000    12.500 GC_radius  2005ApJ...634.1002J  GCrad                          12:28:14.9  +11:47:23.4    282.3   73.7 E+..*                594.0
NGC4448                         33.380   0.600    47.400 Sosies     2002A&amp;A...393... -                              12:28:15.4  +28:37:13.1    195.4   84.7 SBR2                 693.0
IC3388                          31.150   0.190    17.000 SBF        2004AJ....127..771J  R                              12:28:28.1  +12:49:25.2    281.2   74.7 E?                  1819.0
DDO127                          29.190  -9.000     6.900 BS         1998A&amp;AS..128..4 -                              12:28:28.6  +37:14:01.1    147.1   78.8 S..9                 308.0
NGC4450                         31.290   0.230    18.100 Sosies     2002A&amp;A...393... -                              12:28:29.6  +17:05:05.8    273.9   78.6 SAS2                1918.0
NGC4450                         31.600  -9.000    20.900 Tully-Fish LEDA_[April_2006]    -                              12:28:29.6  +17:05:05.8    273.9   78.6 SAS2                1918.0
UGC07605                        28.230   0.280     4.430 TRGB       2003A&amp;A...398..4 -                              12:28:38.8  +35:43:02.6    151.0   80.1 I..9                 332.0
UGC07605                        28.240  -9.000     4.400 BS         1998A&amp;AS..128..4 -                              12:28:38.8  +35:43:02.6    151.0   80.1 I..9                 332.0
NGC4460                         29.910   0.190     9.590 SBF        2001ApJ...546..681T  I                              12:28:45.6  +44:51:51.2    135.8   71.7 LBS+$/               583.0
NGC4458                         31.330   0.200    18.500 GCLF       2001AJ....121.2950K  -                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         30.980   0.080    15.700 SBF        1997AJ....114..626A  I                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         31.020   0.120    16.000 SBF        2003ApJ...583..712J  I                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         31.180   0.120    17.200 SBF        2001ApJ...546..681T  I                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         31.200   0.120    17.400 SBF        2001MNRAS.327.1004B  -                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         31.280  -9.000    18.000 FP         2000ApJ...529..768K  -                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         31.560   0.410    20.500 FP         2001MNRAS.327.1004B  -                              12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4458                         30.700  -9.000    13.800 GC_radius  2005ApJ...634.1002J  GCrad                          12:28:57.6  +13:14:30.8    281.1   75.2 E.0+                 617.0
NGC4459                         31.040   0.220    16.100 SBF        2001ApJ...546..681T  I                              12:29:00.0  +13:58:42.8    280.1   75.8 LAR+                1154.0
NGC4459                         30.880  -9.000    15.000 FP         LEDA_[April_2006]    -                              12:29:00.0  +13:58:42.8    280.1   75.8 LAR+                1154.0
NGC4459                         31.140  -9.000    16.900 GC_radius  2005ApJ...634.1002J  GCrad                          12:29:00.0  +13:58:42.8    280.1   75.8 LAR+                1154.0
NGC4464                         30.590  -9.000    13.100 GC_radius  2005ApJ...634.1002J  GCrad                          12:29:21.3  +08:09:23.7    286.5   70.3 S?                  1188.0
NGC4468                         31.000   0.140    15.800 SBF        2001ApJ...546..681T  I                              12:29:30.9  +14:02:56.9    280.5   76.0 LA.-?                860.0
M49:NGC4472                     30.690   0.130    13.700 PNLF       2002ApJ...577...31C  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.710  -9.000    13.900 PNLF       1990ApJ...356..332J  26_PNe                         12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.780   0.300    14.300 GCLF       1994AJ....108.2087A  R                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.950   0.250    15.500 GCLF       1993AJ....105.1358S  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     31.150   0.040    17.000 GCLF       2001AJ....121.2950K  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     31.200   0.200    17.400 GCLF       1998AJ....115..947L  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     31.520   0.100    20.100 GCLF       1991ApJS...76..115H  B                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.810   0.100    14.500 SBF        1994ApJ...433..567P  K                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.900   0.100    15.100 SBF        2003ApJ...583..712J  I                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.910   0.110    15.200 SBF        1998ApJ...505..111J  K                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.940   0.060    15.400 SBF        1998ApJ...505..111J  I                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.940   0.070    15.400 SBF        1997AJ....114..626A  I                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     31.060   0.100    16.300 SBF        2001ApJ...546..681T  I                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     31.080   0.100    16.400 SBF        2001MNRAS.327.1004B  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.350  -9.000    11.700 FP         LEDA_[April_2006]    -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.670  -9.000    13.600 FP         2000ApJ...529..768K  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     30.670   0.410    13.600 FP         2001MNRAS.327.1004B  -                              12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
M49:NGC4472                     31.010  -9.000    15.900 GC_radius  2005ApJ...634.1002J  GCrad                          12:29:46.8  +08:00:01.7    286.9   70.2 E.2                  846.0
NGC4473                         31.320   0.080    18.400 GCLF       2001AJ....121.2950K  -                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         30.930   0.110    15.300 SBF        1997AJ....114..626A  I                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         30.980   0.130    15.700 SBF        2001ApJ...546..681T  I                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         31.010   0.130    15.900 SBF        2001MNRAS.327.1004B  -                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         30.590  -9.000    13.100 FP         2000ApJ...529..768K  -                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         30.800  -9.000    14.500 FP         LEDA_[April_2006]    -                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         30.940   0.410    15.400 FP         2001MNRAS.327.1004B  -                              12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
NGC4473                         30.940  -9.000    15.400 GC_radius  2005ApJ...634.1002J  GCrad                          12:29:48.9  +13:25:45.7    281.6   75.4 E.5                 2187.0
