# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2010jj      NGC0812                      0.510    -0.49     0.04    0.490    -0.83     0.06    0.428    -2.18     0.01    0.308    -2.61     0.05
2011fu      UGC01626                     0.488    -0.24     0.18    0.498    -0.18     0.28    0.649    -0.52     0.12    0.680    -0.54     0.35
2002ea      NGC0820                      0.369     0.04     0.04    0.350     0.03     0.06    0.259     0.10     0.03    0.205     0.06     0.12
2007hb      NGC0819                      0.869    -0.91     0.08    0.859    -0.95     0.11    0.842    -0.81     0.04    0.694    -0.60     0.21
1992az      NGC0818                      0.680     0.42     0.09    0.678    -0.63     0.09    0.639    -2.80     0.01    0.576    -3.23     0.06
2003em      ESO478-006                   0.853    -0.32     0.10    0.833    -1.36     0.09    0.816    -3.09     0.02    0.762    -3.13     0.06
2009le      ESO478-006                   0.832    -1.19     0.06    0.812    -1.70     0.07    0.794    -3.06     0.01    0.733    -3.10     0.05
2000ek      ESO153-027                   1.000   -18.45    84.47    1.000     0.17    47.68    1.000    -8.52     0.40    1.000   -21.65    32.21
2005lz      UGC01666                     0.655     0.75     0.18    0.666     0.74     0.28    0.487     0.52     0.32    0.067    -0.53     1.89
1999dh      IC0211                       0.540    -1.46     0.11    0.565    -2.96     0.09    0.607    -5.70     0.05    0.648    -5.81     0.15
2003ja      NGC0846                      0.404     0.09     0.05    0.399    -0.32     0.06    0.346    -1.91     0.01    0.307    -2.23     0.05
2009fu      NGC0846                      0.856    -0.49     0.11    0.859    -1.75     0.09    0.878    -4.34     0.03    0.851    -4.38     0.09
2013et      UGC01723                     0.253     0.36     0.08    0.242     0.36     0.11    0.215     0.14     0.06    0.207     0.20     0.25
2006ot      ESO544-031                   0.294     0.59     0.06    0.301     0.58     0.10    0.303     0.62     0.22    0.100     0.31     1.07
2014cl      IC0217                       0.974    -4.45     0.15    0.963    -5.23     0.27    0.966    -8.22     0.69    0.901    -6.70     0.43
2003io      UGC01761                     0.449     0.00     0.28    0.477     0.37     0.50    0.365    -0.34     0.34    0.132    -0.83     1.29
2008il      ESO355-004                   0.926    -0.67     0.23    0.941    -0.59     0.38    0.925    -0.86     0.15    0.862     0.21     0.75
2010kq      UGC01769                     0.158     0.13     0.05    0.149     0.13     0.08    0.116     0.09     0.04    0.084    -0.03     0.17
2000G       UGC01773                     0.105     0.11     0.05    0.103     0.08     0.08    0.092    -0.01     0.04    0.074    -0.06     0.17
2002hu      MCG+06-06-012                0.938     0.24     0.39    0.902     0.23     0.51    0.904     0.41     0.30    0.743     0.02     0.76
2000dx      UGC01775                     0.456    -0.11     0.08    0.454    -1.05     0.08    0.352    -3.85     0.02    0.284    -4.43     0.07
2005dm      IC0219                       0.314     0.91     0.04    0.290     0.45     0.06    0.254    -3.87     0.04    0.141    -5.72     0.51
2011hk      NGC0881                      0.178     0.47     0.06    0.175    -0.13     0.07    0.116    -3.09     0.02    0.117    -3.80     0.07
2007gj      ESO298-028                   0.882    -0.56     0.20    0.875    -2.64     0.13    0.814    -5.60     0.10    0.882    -7.00     1.01
1962R?      UGC01810                     0.004     4.41     0.12    0.004     2.75     0.09    0.002    -1.84     0.06    0.001    -3.04     0.44
2003id      NGC0895                      0.581    -0.52     0.11    0.591    -1.89     0.09    0.531    -4.50     0.02    0.448    -4.95     0.08
1986J       NGC0891                      0.365    -0.75     0.02    0.375    -1.05     0.03    0.280    -1.85     0.01    0.278    -1.96     0.04
2005lx      IC0221                       0.748     0.03     0.12    0.733    -1.54     0.09    0.659    -3.93     0.02    0.597    -4.47     0.07
2013fb      IC0221                       0.878    -0.58     0.13    0.866    -2.29     0.09    0.822    -4.65     0.02    0.767    -4.97     0.08
1994ai      NGC0908                      0.148    -0.06     0.04    0.142    -0.34     0.05    0.091    -1.71     0.01    0.100    -1.86     0.05
2006ce      NGC0908                      1.000    -5.94     0.60    1.000    -7.62     1.34    1.000    -8.26     0.31    1.000    -8.27     0.91
2002gw      NGC0922                      0.824    -0.66     0.13    0.845    -2.05     0.10    0.792    -3.98     0.02    0.757    -3.62     0.06
2008ho      NGC0922                      0.889    -1.66     0.11    0.910    -2.72     0.10    0.853    -4.49     0.03    0.825    -4.06     0.07
2011ik      UGC01871                     0.759     0.45     0.06    0.765     0.41     0.08    0.676     0.29     0.03    0.502     0.32     0.11
1989ac      UGC01867                     0.388     0.42     0.11    0.336    -0.94     0.10    0.283    -3.90     0.05    0.179    -4.57     0.28
2008hs      NGC0910                      0.969     0.54     0.36    0.969    -0.02     0.46    0.984   -99.00    -9.00    0.906    -3.38     2.39
