# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2012bw      UGC10282                     0.933    -1.57     0.16    0.917    -1.65     0.22    0.940    -1.91     0.12    0.845    -1.65     0.43
2002ci      UGC10301                     0.739    -1.65     0.05    0.753    -1.60     0.09    0.585    -1.32     0.06    0.502    -1.10     0.23
2006dc      IC4596                       0.655     0.64     0.10    0.657     0.54     0.15    0.547     0.34     0.09    0.497    -0.20     0.39
2011bn      UGC10306                     0.751    -0.81     0.12    0.756    -0.82     0.19    0.729    -1.02     0.15    0.587    -0.21     0.86
2004dk      NGC6118                      0.643    -0.04     0.11    0.652    -0.25     0.15    0.652    -0.14     0.07    0.688     0.03     0.36
2009fl      NGC6146                      0.437     1.24     0.08    0.427     1.17     0.12    0.397     1.13     0.18    0.220     0.39     0.70
2009eu      NGC6166                      0.588     0.65     0.15    0.581     0.73     0.24    0.664   -99.00    -9.00    0.534    -0.52     1.36
2009fv      NGC6173                      0.185     0.90     0.04    0.176     0.79     0.06    0.127     0.65     0.11    0.282     0.50     0.78
2010gl      NGC6189                      0.560     0.64     0.10    0.552     0.60     0.15    0.507     0.26     0.06    0.421     0.13     0.26
1926B       NGC6181                      0.835    -0.02     0.09    0.833     0.03     0.14    0.821     0.24     0.05    0.781     0.87     0.23
2011gd      NGC6186                      0.079     0.53     0.02    0.079     0.40     0.04    0.078    -0.32     0.01    0.051    -0.64     0.04
2001az      UGC10483                     0.276    -0.18     0.07    0.267    -0.04     0.11    0.202    -0.08     0.07    0.130     0.06     0.41
2001dq      IC1222                       0.518     0.05     0.11    0.523     0.11     0.17    0.594     0.07     0.06    0.563     0.29     0.27
1975K       NGC6195                      0.193     0.58     0.06    0.185     0.48     0.09    0.142     0.10     0.05    0.105     0.05     0.25
2004A       NGC6207                      0.557     2.27     0.19    0.553     2.16     0.26    0.464     2.21     0.10    0.432     0.77     0.20
2013dj      UGC10535                     0.530     0.56     0.07    0.520     0.53     0.10    0.361     0.00     0.06    0.279     0.04     0.35
2010bq      UGC10547                     0.736     2.04     0.26    0.743     1.87     0.38    0.656     1.44     0.15    0.585     0.96     0.63
2007ac      UGC10550                     0.796    -2.86     0.20    0.766    -2.42     0.33    0.801    -2.27     0.26    0.667    -1.10     0.86
2007is      UGC10553                     0.229     0.61     0.06    0.213     0.54     0.09    0.161     0.32     0.05    0.132     0.20     0.22
2008bu      ESO586-002                   1.000    -1.28     0.36    1.000    -1.17     0.26    1.000    -2.84     1.13    1.000    -1.49     1.30
1994Q       PGC059076                    0.100     0.80     0.12    0.090     0.71     0.18    0.072     0.54     0.10    0.046     0.26     0.51
2009kp      NGC6246                      0.801    -0.19     0.12    0.811    -0.23     0.19    0.753    -0.31     0.08    0.626    -0.13     0.39
2011aj      NGC6246A                     0.001     5.46     0.26    0.001     5.31     0.40    0.004     5.00     0.15    0.002     3.36     0.48
1990W       NGC6221                      0.092     0.34     0.02    0.125     0.37     0.03    0.154     0.27     0.02    0.230     0.53     0.03
2010dd      UGC10594                     0.916    -1.64     0.07    0.904    -1.58     0.11    0.869    -1.46     0.05    0.814    -1.20     0.25
2000bg      NGC6240                      0.532     0.12     0.05    0.637     0.39     0.08    0.716     1.20     0.04    0.577     0.72     0.06
2010gp      NGC6240                      0.934     1.48     0.25    0.944     1.67     0.41    0.948     0.87     0.21    0.948     0.63     0.43
2013dc      NGC6240                      0.645     0.08     0.08    0.732     0.15     0.13    0.848     0.49     0.05    0.752    -0.03     0.07
1998cx      NGC6209                      0.305     0.43     0.08    0.283     0.43     0.13    0.116    -0.01     0.06    0.122     0.10     0.32
2009fz      NGC6209                      0.831     2.97     0.52    0.814     1.73     0.45    0.773     1.56     0.20    0.778     1.38     0.85
2013by      ESO138-010                   1.000    -0.22     0.40    1.000    -0.73     0.43    0.604    -1.21     0.07    0.660    -1.77     0.25
2007ae      UGC10704                     0.716     0.54     0.13    0.709     0.59     0.20    0.696     1.47     0.26    0.604     0.55     0.70
2010hw      UGC10685                     0.942    -1.90     0.11    0.942    -1.70     0.16    0.898    -1.57     0.09    0.790    -1.19     0.49
2013cj      UGC10685                     0.956     1.20     0.45    0.956     1.03     0.59    0.921     1.48     0.30    0.827    -0.02     0.76
2000bs      UGC10710                     0.883     0.04     0.19    0.877     0.12     0.29    0.869     0.34     0.15    0.831     0.99     1.16
2008az      UGC10721                     0.143     0.44     0.05    0.135     0.40     0.07    0.104     0.22     0.03    0.074     0.19     0.14
2005bp      UGC10732                     0.672     0.66     0.24    0.636     0.61     0.36    0.594     0.44     0.16    0.468     0.11     0.71
2001cp      UGC10738                     1.000   -44.38   128.89    1.000   -42.56    22.41    1.000   -35.49    19.54    1.000     2.30    21.44
2002er      UGC10743                     0.883    -1.49     0.07    0.883    -2.27     0.07    0.865    -3.51     0.03    0.794    -2.83     0.07
2006mp      MCG+08-31-029                0.772    -0.10     0.18    0.772    -0.09     0.28    0.674    -0.06     0.16    0.518    -0.04     0.69
2002bw      PGC059990                    0.378     1.51     0.04    0.387     1.70     0.06    0.321     1.51     0.02    0.241     1.41     0.05
2004iq      PGC059990                    0.219     0.25     0.02    0.225     0.30     0.02    0.176     0.31     0.02    0.119     0.23     0.03
2008cs      PGC059990                    0.209     0.54     0.02    0.214     0.44     0.02    0.167     0.24     0.02    0.112     0.09     0.03
2010gi      IC4660                       0.854     0.17     0.19    0.756     0.20     0.20    0.387     0.23     0.08    0.260     0.54     0.29
2003U       NGC6365A                     0.608     0.02     0.14    0.570    -0.02     0.20    0.529    -0.10     0.10    0.444     0.04     0.42
2004ao      UGC10862                     0.032     0.28     0.16    0.033     0.26     0.24    0.166    -0.06     0.14    0.208    -0.46     0.57
1971L       NGC6384                      0.334     0.01     0.07    0.314     0.04     0.11    0.125    -0.08     0.05    0.122     0.02     0.26
1999da      NGC6411                      0.967     0.49     0.30    0.965     0.20     0.42    0.952     0.86     0.84    0.999     0.40     4.71
2013K       ESO009-010                   0.093    -0.36     0.04    0.084    -0.31     0.05    0.062    -0.15     0.03    0.052    -0.08     0.14
2003fa      MCG+07-36-033                1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -0.18     2.17
2000ci      NGC6471                      0.878    -0.80     0.12    0.871    -0.72     0.17    0.754    -0.69     0.06    0.664    -0.56     0.31
2004cs      UGC11001                     0.822     0.13     0.13    0.765     0.11     0.15    0.529     0.13     0.06    0.400     0.22     0.29
2011ft      UGC11021                     1.000    -6.60     5.56    1.000   -20.76   301.97    1.000    -0.01     1.23    1.000     9.53   125.55
1998bp      NGC6495                      0.446     1.37     0.07    0.424     1.25     0.11    0.374     0.87     0.19    0.531     1.58     2.54
2009hs      NGC6521                      0.851     0.50     0.22    0.848     0.56     0.35    0.807     0.10     0.40    0.707     0.07     1.54
2006au      UGC11057                     0.805     2.78     0.11    0.814     2.65     0.16    0.905    -0.59     0.06    0.887    -0.87     0.26
2000cn      UGC11064                     0.143     0.37     0.08    0.135     0.40     0.13    0.075     0.08     0.09    0.072     0.09     0.41
2005ds      UGC11064                     0.391     0.21     0.10    0.383     0.23     0.16    0.291    -0.06     0.09    0.276     0.06     0.44
2010gd      UGC11064                     0.378     0.20     0.10    0.370     0.14     0.15    0.277     0.09     0.10    0.264     0.17     0.46
2013cn      UGC11076                     0.904    -0.93     0.10    0.898    -0.92     0.15    0.879    -0.90     0.08    0.814    -0.56     0.44
2010hh      NGC6524                      0.970     1.08     0.44    0.969     1.03     0.66    0.981     1.38     0.51    0.983    -0.03     1.01
2001bf      MCG+04-42-022                0.578     1.00     0.07    0.552     0.90     0.10    0.477     0.73     0.06    0.418     0.36     0.27
2004fv      NGC6492                      0.196    -0.84     0.05    0.193    -0.75     0.07    0.288    -0.17     0.05    0.306    -0.04     0.27
2012bt      IC4674                       1.000     0.22     0.28    1.000     0.12     0.34    0.554    -0.38     0.09    0.430    -0.44     0.38
2014cm      ESO229-008                   0.640    -0.54     0.06    0.644    -0.59     0.09    0.647    -0.60     0.04    0.531    -0.47     0.19
2006gz      IC1277                       0.810     0.36     0.30    0.811     0.15     0.40    0.885     0.57     0.23    0.849     0.71     0.74
2011ap      IC1277                       0.740     0.36     0.25    0.741     0.21     0.35    0.830     0.35     0.16    0.751     0.45     0.60
2002cu      NGC6575                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -0.37     1.52
1998dx      UGC11149                     0.677     0.82     0.22    0.665     0.73     0.33    0.677     0.59     0.47    0.723     2.18     3.91
2003hs      UGC11149                     0.557     0.27     0.13    0.544    -0.59     0.14    0.499    -2.22     0.11    0.570    -2.12     0.43
2008eb      NGC6574                      0.558     0.36     0.03    0.591     0.37     0.04    0.547     0.22     0.02    0.451     0.04     0.05
2003X       UGC11151                     0.055     0.54     0.05    0.052     0.48     0.07    0.015     0.09     0.08    0.012     0.15     0.42
2010hi      NGC6621                      0.939    -0.73     0.19    0.946    -0.76     0.28    0.961    -1.13     0.10    0.971    -0.64     0.35
2005bz      UGC11162                     0.314     0.40     0.12    0.251     0.35     0.18    0.144     0.28     0.08    0.091     0.27     0.35
2001ak      UGC11188                     0.778     0.10     0.12    0.788     0.15     0.18    0.711     0.27     0.08    0.633     0.76     0.48
2006ci      ESO182-010                   1.000    -0.67     0.31    1.000    -0.42     0.28    0.697    -0.46     0.07    0.544    -0.34     0.31
2000dm      UGC11198                     0.858    -0.97     0.17    0.805    -0.91     0.16    0.450    -0.33     0.12    0.544    -0.52     0.58
2008bo      NGC6643                      0.532     0.05     0.06    0.537    -0.31     0.07    0.542    -1.35     0.02    0.537    -1.50     0.06
2008ij      NGC6643                      0.615    -0.02     0.07    0.621    -0.50     0.08    0.632    -1.69     0.02    0.627    -1.87     0.06
1989P       NGC6636                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.924     1.63     0.21    0.822     1.69     0.76
1998V       NGC6627                      0.019     5.73     0.13    0.016     5.43     0.20    0.006     4.25     0.09    0.004     3.51     0.26
2013bi      NGC6632                      0.362    -0.04     0.06    0.343    -0.14     0.09    0.137    -1.09     0.04    0.130    -1.14     0.18
2004ay      UGC11255                     0.094     0.63     0.06    0.094     0.59     0.08    0.073     0.31     0.04    0.054     0.12     0.24
2014F       NGC6667                      1.000    -3.08     0.14    1.000    -4.25     0.14    1.000    -7.32     0.14    1.000    -7.43     0.38
2005da      UGC11301                     1.000    32.16     7.29    1.000    13.70     4.77    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2008ag      IC4729                       0.763     1.13     0.19    0.760     1.16     0.29    0.734     1.30     0.12    0.736     1.47     0.58
2006bq      NGC6685                      0.082     0.53     0.04    0.072     0.40     0.06    0.059     0.29     0.15    0.010    -0.15     1.46
2013ay      IC4745                       0.745     0.40     0.11    0.736     0.47     0.17    0.760     0.43     0.08    0.687     0.34     0.32
2002cw      NGC6700                      0.793    -0.33     0.12    0.798    -0.30     0.18    0.887    -0.83     0.08    0.815    -0.78     0.35
2001cn      IC4758                       0.566     0.03     0.10    0.555    -0.84     0.09    0.547    -2.94     0.02    0.452    -3.57     0.06
2002cs      NGC6702                      0.556     0.42     0.11    0.559     0.47     0.18    1.000     0.17     0.32    1.000    -1.34     1.58
2004ac      IC4769                       0.747     0.95     0.21    0.826     1.04     0.30    0.773     0.58     0.08    0.765     1.13     0.24
2013en      UGC11369                     0.693    -0.28     0.08    0.682    -0.22     0.11    0.786     0.37     0.05    0.668     0.28     0.11
1971R       IC4798                       0.016     3.31     0.03    0.014     3.07     0.05    0.009     1.93     0.04    0.005     1.64     0.31
2011bo      ESO337-006                   0.327     0.49     0.08    0.318     0.47     0.11    0.265     0.33     0.04    0.228     0.38     0.21
1999bx      NGC6745                      0.417     0.66     0.07    0.401     0.69     0.09    0.334     0.62     0.03    0.268     0.48     0.10
2004dw      UGC11394                     0.695     0.21     0.11    0.692     0.28     0.17    0.706     0.51     0.11    0.650     0.59     0.56
2008fa      NGC6722                      0.955    -1.83     0.07    0.950    -1.92     0.10    0.928    -2.10     0.17    0.829    -1.17     0.84
2012gj      UGC11404                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.794     0.76     0.10    0.766     1.41     0.56
2005at      NGC6744                      0.324     0.02     0.08    0.368     0.00     0.13    0.255    -0.02     0.07    1.000     0.02     0.29
2000cj      NGC6753                      0.760     0.14     0.09    0.766     0.11     0.14    0.702     0.12     0.06    0.739     0.21     0.28
2005cb      NGC6753                      0.535     0.83     0.06    0.535     0.76     0.09    0.450     0.56     0.04    0.460     0.57     0.16
1998X       NGC6754                      0.888    -2.51     0.07    0.895    -2.53     0.08    0.912    -2.53     0.03    0.854    -1.87     0.13
1998dq      NGC6754                      0.786    -0.72     0.06    0.794    -0.71     0.09    0.804    -0.67     0.04    0.726    -0.59     0.15
2000do      NGC6754                      0.226     0.20     0.05    0.226     0.15     0.07    0.198     0.14     0.03    0.184     0.16     0.13
2005cu      NGC6754                      0.461    -0.54     0.05    0.464    -0.51     0.07    0.446    -0.41     0.03    0.403    -0.23     0.13
2003hu      A191131+7753                 0.292     0.64     0.09    0.270     0.60     0.13    0.189     0.39     0.06    0.114     0.24     0.32
2012dl      ESO459-006                   0.271     0.00     0.13    0.269    -0.02     0.13    0.346     0.11     0.05    0.255     0.21     0.25
2001bt      IC4830                       0.490     0.68     0.09    0.496     0.68     0.13    0.455     0.74     0.08    0.422     0.62     0.33
1992N       IC4831                       0.946    -1.01     0.17    0.948    -0.97     0.26    0.911    -1.40     0.17    0.839    -1.52     0.56
1998em      IC4837A                      0.951    -0.91     0.14    0.944    -0.69     0.22    0.934    -0.87     0.17    0.929     2.02     2.27
2005aw      IC4837A                      0.441    -0.04     0.04    0.427    -0.06     0.06    0.331    -0.55     0.04    0.310    -0.51     0.18
1984O       IC4839                       0.977     2.06     1.37    0.982   -99.00    -9.00    0.979    -0.25     0.46    0.974   -99.00    -9.00
2011ed      IC4839                       0.038     0.08     0.04    0.035     0.09     0.06    0.012     0.01     0.06    0.010     0.09     0.28
1997de      NGC6769                      0.519    -0.19     0.08    0.514    -0.17     0.12    0.480     0.00     0.05    0.453    -0.19     0.23
2006ox      NGC6769                      0.246     0.46     0.05    0.231     0.44     0.08    0.083     0.31     0.06    0.074     0.26     0.28
2012bv      NGC6796                      0.654     1.04     0.08    0.648     1.04     0.11    0.580     1.10     0.05    0.513     1.09     0.22
2011df      NGC6801                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -1.87     1.67
2004em      IC1303                       0.829     0.53     0.19    0.810     0.56     0.25    0.773     0.55     0.08    0.703     0.65     0.38
2001do      UGC11459                     0.140     0.32     0.10    0.133     0.29     0.11    0.067     0.13     0.05    0.057     0.04     0.23
2013cz      IC4892                       0.499     0.14     0.09    0.504     0.11     0.14    0.427     0.03     0.08    0.382    -0.08     0.41
2002dv      UGC11486                     0.830     0.26     0.16    0.818     0.18     0.19    0.697     0.11     0.06    0.617     0.02     0.28
2002eg      UGC11486                     0.988    -1.00     0.50    0.988    -0.96     0.48    0.932    -0.56     0.09    0.884    -0.38     0.38
2011gv      IC4901                       0.206     0.13     0.07    0.212     0.10     0.11    0.216    -0.08     0.05    0.191    -0.06     0.23
1962J       NGC6835                      0.886    -0.32     0.13    0.896    -0.14     0.21    0.930     0.51     0.12    0.942     3.09     0.91
2010hc      ESO339-006                   0.757     0.73     0.23    0.764     0.56     0.33    0.715     0.09     0.13    0.624    -0.09     0.54
2011gt      IC4913                       0.588     0.39     0.07    0.558     0.43     0.10    0.537     0.22     0.17    0.284    -0.66     0.72
2009it      NGC6841                      0.179     0.75     0.03    0.168     0.67     0.04    0.129     0.56     0.08    0.225     1.88     0.95
1990T       PGC063925                    0.779     1.58     0.44    0.761     2.06     0.77    0.798     2.18     0.36    0.648     0.49     0.64
1991ag      IC4919                       0.773    -0.31     0.25    0.829    -0.43     0.36    0.888     0.09     0.34    0.870    -0.18     1.13
2012fz      ESO185-054                   0.598     1.03     0.11    0.589     0.96     0.17    0.560     1.69     0.34    0.381     2.68     2.62
1984K       NGC6850                      0.928    -0.42     0.20    0.928    -0.14     0.34    1.000    -2.30     1.39    1.000   -99.00    -9.00
2014cg      UGC11512                     0.248     0.64     0.05    0.232     0.60     0.07    0.176     0.46     0.04    0.141     0.26     0.17
2005dn      NGC6861F                     0.569    -0.62     0.17    0.635    -0.26     0.30    0.452     0.13     0.37    0.380    -0.14     1.28
2003fb      UGC11522                     0.952    -0.56     0.19    0.961    -0.56     0.24    0.957    -0.54     0.07    0.895    -0.36     0.18
2011fj      UGC11527                     0.883    -1.00     0.07    0.877    -0.99     0.10    0.828    -0.94     0.05    0.768    -0.76     0.21
2000dc      ESO527-019                   0.952     0.81     0.17    0.886     0.64     0.23    0.593     0.50     0.10    0.480     0.39     0.54
2004da      NGC6901                      0.277    -0.02     0.05    0.277    -0.02     0.08    0.261     0.07     0.04    0.205     0.05     0.19
2010gw      IC4992                       1.000    -4.25     0.20    1.000    -5.08     0.93    1.000    -4.47     0.91    1.000    -3.70     2.10
2002cd      NGC6916                      0.325     0.33     0.07    0.318    -0.11     0.08    0.255    -1.89     0.02    0.282    -2.10     0.07
2012dn      ESO462-016                   0.888    -0.87     0.19    0.907    -1.14     0.25    0.888    -1.42     0.11    0.819    -1.60     0.33
2012bl      ESO234-019                   0.920     2.18     0.68    0.914     1.67     0.80    0.862   -99.00    -9.00    0.785   -99.00    -9.00
2004bv      NGC6907                      0.218     0.83     0.08    0.227     0.93     0.13    0.332     0.97     0.05    0.363     0.55     0.13
2008fq      NGC6907                      0.063     0.72     0.04    0.067     0.71     0.05    0.090     0.63     0.02    0.094     0.70     0.07
2006bo      UGC11578                     1.000     1.85     0.68    1.000     2.13     1.21    0.366     0.49     0.26    0.202     0.24     0.96
2001dd      UGC11579                     1.000    -3.79    10.32    1.000    -4.19     5.41    1.000    -4.90     6.29    1.000    -1.31     1.18
2004eo      NGC6928                      0.993     6.11     4.09    0.993     2.41     1.11    0.991     2.15     0.49    0.982    -0.20     0.73
2011ei      NGC6925                      0.914    -1.23     0.11    0.924    -1.25     0.17    0.897    -1.56     0.08    0.886    -1.78     0.28
1917A       NGC6946                      0.404    -0.42     0.06    0.441    -0.89     0.07    0.493    -1.85     0.01    0.517    -1.94     0.06
1939C       NGC6946                      0.766    -0.42     0.10    0.829    -1.47     0.09    0.942    -2.87     0.02    0.873    -3.05     0.07
1948B       NGC6946                      0.802    -1.21     0.07    0.866    -1.86     0.08    0.980    -3.09     0.02    0.903    -3.14     0.06
1968D       NGC6946                      0.163     0.10     0.05    0.185    -0.31     0.06    0.218    -1.32     0.01    0.302    -1.41     0.06
1969P       NGC6946                      0.664    -0.21     0.09    0.722    -1.08     0.09    0.823    -2.39     0.02    0.787    -2.59     0.07
1980K       NGC6946                      0.934    -1.37     0.15    0.996    -3.27     0.10    1.000    -5.61     0.03    1.000    -5.68     0.09
2002hh      NGC6946                      0.473    -1.80     0.03    0.515    -2.12     0.04    0.579    -2.23     0.01    0.587    -2.26     0.05
2004et      NGC6946                      0.003     7.98     0.12    0.004     6.67     0.09    0.003     4.80     0.02    0.004     5.17     0.07
2008S?      NGC6946                      0.731    -0.37     0.10    0.792    -1.50     0.08    0.901    -2.67     0.02    0.843    -2.85     0.07
2004cr      UGC11603                     1.000   -45.23    12.94    1.000   -99.00    -9.00    1.000    -5.85     0.74    1.000   -34.47    51.15
1999el      NGC6951                      0.247     0.04     0.05    0.256     0.04     0.07    0.252     0.26     0.04    0.387     0.29     0.12
2000E       NGC6951                      0.251     0.79     0.07    0.260     0.72     0.10    0.255     0.00     0.04    0.394     1.11     0.18
2007ct      NGC6944A                     0.939    -0.06     0.18    0.894    -0.02     0.25    0.784     0.20     0.11    0.652     0.91     0.67
2006ms      NGC6935                      0.365     0.15     0.06    0.351     0.12     0.09    0.241    -0.17     0.05    0.236    -0.06     0.27
1991au      UGC11616                     0.397     0.59     0.16    0.392     0.59     0.23    0.397     0.30     0.09    0.320     0.14     0.41
2006it      NGC6956                      0.831     0.58     0.14    0.828     0.67     0.20    0.754     0.58     0.07    0.719     0.74     0.33
2013fa      NGC6956                      0.140     0.48     0.05    0.133     0.42     0.07    0.074     0.14     0.03    0.089     0.34     0.13
1998ew      NGC6943                      1.000     0.30     0.78    1.000    -0.15     1.05    0.953    -0.00     0.35    0.964    -0.70     1.07
2005av      NGC6943                      0.356     0.11     0.06    0.361     0.08     0.10    0.183    -0.18     0.05    0.171    -0.05     0.23
1992al      ESO234-069                   0.463     0.43     0.12    0.434     0.46     0.18    0.381     0.44     0.11    0.262     0.25     0.50
2002ha      NGC6962                      0.560    -0.46     0.09    0.554    -2.47     0.06    0.388    -5.72     0.09    0.428    -7.29     0.99
2003dt      NGC6962                      0.649    -0.78     0.09    0.646    -2.82     0.06    0.483    -5.98     0.10    0.586    -6.61     0.43
2012im      NGC6984                      0.356     0.20     0.06    0.344     0.19     0.10    0.246     0.01     0.04    0.207     0.02     0.16
2013ek      NGC6984                      0.366     0.13     0.06    0.354     0.12     0.09    0.256    -0.01     0.04    0.215    -0.01     0.16
2011dk      NGC7003                      0.114     0.15     0.05    0.114     0.10     0.08    0.107    -0.00     0.03    0.089    -0.03     0.13
2008cc      ESO107-004                   0.283     0.89     0.04    0.290     0.84     0.06    0.250     0.37     0.10    0.812     0.15     0.78
2003ho      ESO235-058                   0.681     0.54     0.31    0.725     0.40     0.45    0.822     0.41     0.20    0.792     0.07     0.65
2001fc      UGC11683                     0.004     1.70     0.13    0.004     1.70     0.15    0.003     1.47     0.06    0.002     1.62     0.27
2004du      UGC11683                     0.123     0.46     0.09    0.124     0.42     0.11    0.093     0.37     0.05    0.086     0.14     0.19
2005br      IC5084                       0.757    -0.80     0.05    0.759    -0.82     0.08    0.764    -0.72     0.04    0.737    -0.28     0.14
2013fw      NGC7042                      0.283     0.57     0.06    0.274     0.54     0.10    0.169     0.06     0.05    0.168     0.20     0.27
2012ig      UGC11706                     0.348     0.32     0.06    0.325     0.28     0.10    0.254     0.02     0.05    0.182     0.01     0.34
1983L       NGC7038                      0.460     0.15     0.09    0.448     0.13     0.13    0.314    -0.00     0.06    0.297     0.02     0.25
2010dx      NGC7038                      0.558     0.00     0.09    0.549    -0.00     0.14    0.444    -0.16     0.05    0.418    -0.25     0.24
1989Y       ESO287-004                   0.753    -0.17     0.23    0.769    -0.21     0.37    0.906    -0.23     0.18    0.812    -0.67     0.46
2012dy      ESO145-004                   0.701     0.15     0.34    0.697     0.30     0.52    0.918    -0.43     0.33    0.813    -0.87     1.06
2006cm      UGC11723                     0.089    -0.12     0.03    0.085    -0.25     0.04    0.057    -1.63     0.01    0.042    -2.48     0.07
1992ae      A212817-6133                 0.167   -99.00    -9.00    0.186   -99.00    -9.00    0.231   -99.00    -9.00    0.078   -99.00    -9.00
1998ey      NGC7080                      0.591    -0.02     0.10    0.606    -0.06     0.15    0.656    -0.17     0.05    0.706     0.04     0.21
2006ev      UGC11758                     0.770     0.50     0.09    0.744    -0.39     0.09    0.644    -3.25     0.03    0.626    -4.16     0.16
1990af      A213458-6244                 0.671   -99.00    -9.00    0.641   -99.00    -9.00    0.443   -99.00    -9.00    0.000   -99.00    -9.00
2009hm      NGC7083                      0.147     0.49     0.04    0.137     0.42     0.06    0.067     0.06     0.03    0.056    -0.02     0.13
2003iw      NGC7102                      0.570     0.59     0.17    0.558     0.36     0.24    0.530     0.55     0.10    0.433     0.47     0.46
2005dc      NGC7107                      0.731    -1.23     0.14    0.760    -1.52     0.20    0.787    -1.94     0.09    0.742    -2.30     0.30
2004by      NGC7116                      0.619     0.79     0.12    0.624     0.85     0.18    0.584     0.82     0.08    0.486     0.83     0.32
2014bt      IC5128                       0.506    -0.13     0.04    0.496    -0.14     0.07    0.439    -0.29     0.04    0.294    -0.19     0.16
2004ca      UGC11799                     0.590     1.13     0.18    0.604     1.10     0.28    0.621     0.63     0.10    0.615     1.10     0.56
2010bt      NGC7130                      0.601    -0.21     0.04    0.676    -0.15     0.06    0.703     0.02     0.02    0.589     0.34     0.06
2004ey      UGC11816                     0.498     0.06     0.13    0.576    -0.07     0.19    0.385     0.08     0.12    0.368     0.14     0.57
2012du      NGC7125                      0.035     0.03     0.06    0.056     0.27     0.08    0.057     0.21     0.03    0.086     0.22     0.08
2002dn      IC5145                       0.458     0.24     0.08    0.455     0.20     0.12    0.393     0.26     0.06    0.352    -0.08     0.26
2003hy      IC5145                       0.287     0.43     0.06    0.282     0.41     0.10    0.210     0.18     0.05    0.176    -0.06     0.23
2010iq      IC5145                       0.085     0.44     0.04    0.080     0.37     0.07    0.045     0.15     0.05    0.036     0.15     0.23
2005cm      IC5142                       0.820    -1.05     0.18    0.838    -0.96     0.29    0.804    -0.96     0.18    0.731    -0.51     0.75
1995ag      UGC11861                     0.388    -0.11     0.09    0.385    -0.89     0.10    0.339    -2.98     0.02    0.322    -3.26     0.08
1997db      UGC11861                     0.693    -0.27     0.12    0.682    -1.34     0.11    0.616    -3.41     0.02    0.600    -3.64     0.08
2011dm      UGC11861                     1.000    -2.14     0.43    1.000    -3.64     0.28    1.000   -11.16     1.78    1.000    -9.85     2.93
2004eq      ESO404-012                   0.624    -0.59     0.08    0.628    -0.51     0.12    0.641     0.67     0.09    0.674     0.53     0.31
2004gf      UGC11864                     0.214    -2.78     0.75    0.238    -3.66     0.62    0.657    -5.34     0.08    0.628    -5.44     0.25
1960L       NGC7177                      0.906    -0.01     0.44    0.910    -0.24     0.56    0.951    -0.11     0.31    0.960    -0.90     1.19
1976E       NGC7177                      0.573    -0.62     0.03    0.566    -0.56     0.05    0.434    -0.30     0.04    0.391    -0.06     0.24
2007fs      ESO601-005                   0.495     3.10     0.27    0.470     3.33     0.47    0.414     2.69     0.18    0.296     4.41     2.18
2013gh      NGC7183                      0.064     0.19     0.02    0.060     0.17     0.03    0.035     0.08     0.03    0.023    -0.06     0.18
2008ct      UGC11878                     0.865     0.40     0.24    0.878     0.27     0.32    0.922     0.48     0.11    0.853     0.92     0.23
1984N       NGC7184                      0.976    -2.75     0.12    0.983    -2.92     0.21    0.968    -3.02     0.23    0.974    -2.31     0.72
2011it      PGC067911                    0.191     0.37     0.07    0.178     0.37     0.10    0.148     0.28     0.05    0.113     0.17     0.23
2011kh      NGC7189                      0.777    -0.22     0.09    0.795    -0.10     0.14    0.810    -0.01     0.05    0.693     0.10     0.16
2013ga      UGC11895                     0.169     0.82     0.06    0.183     0.84     0.10    0.218     0.58     0.05    0.173     0.56     0.24
2001cy      UGC11927                     0.150     0.34     0.07    0.145     0.32     0.10    0.107     0.20     0.06    0.093     0.06     0.30
2009dt      IC5169                       0.788    -0.84     0.07    0.825    -0.78     0.10    0.846    -0.46     0.05    0.751    -0.08     0.18
2008dn      UGC11946                     0.879     1.11     0.24    0.881     1.12     0.37    0.894     0.98     0.14    0.839     1.41     0.72
2007cn      UGC11953                     0.206     0.70     0.04    0.207     0.70     0.06    0.176     0.76     0.03    0.121     0.52     0.12
2010bv      ESO533-004                   1.000    -6.02     0.51    1.000    -7.79    28.53    1.000    -4.82     1.40    1.000    -2.79     1.55
2001fd      UGC11957                     0.710     0.25     0.19    0.685     0.31     0.29    0.724     0.30     0.14    0.501     1.02     0.83
1999ee      IC5179                       0.490    -0.02     0.04    0.504    -0.22     0.05    0.512    -0.97     0.01    0.456    -1.06     0.03
1999ex      IC5179                       0.002     2.03     0.04    0.002     1.75     0.05    0.002     0.93     0.01    0.002     0.85     0.04
2009hy      NGC7244                      0.186     0.38     0.04    0.179     0.32     0.06    0.131     0.14     0.02    0.093     0.09     0.10
