# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2001dm      NGC0749                      0.314     0.31     0.62    0.319     0.34     0.56    0.352     0.37     0.62
2002gc      UGC01394                     0.689    -0.09     2.23    0.772    -0.63     1.68    0.692    -0.50     1.85
2005hg      UGC01394                     0.567     0.24     2.02    0.649     0.64     2.24    0.578     0.21     1.98
1972L       NGC0735                      0.858     0.56     3.28    0.881     0.53     3.10    0.808     1.11     4.04
2000dj      NGC0735                      0.904     0.12     3.58    0.923    -0.11     3.07    0.854     0.63     4.34
2006ei      NGC0735                      0.435     0.27     1.12    0.450     0.25     1.00    0.414     0.33     1.11
2005hc      MCG+00-06-003                0.745     0.07     2.17    0.848     0.01     2.08    0.703     0.20     2.26
2002gn      A015654-0106                 0.232     1.04     0.93    0.231     1.03     0.82    0.188     1.02     0.89
1988ab      NGC0762                      0.943    -0.56     2.88    0.961    -0.58     3.12    0.971    -0.81     2.43
2011eb      NGC0782                      0.649    -0.09     2.10    0.550     0.79     2.68    0.639     0.19     2.24
1954E       NGC0753                      0.908    -1.28     3.75    0.911    -1.91     3.17    0.936    -2.68     3.03
2006td      A015815+3620                 0.001     2.07     1.35    0.000     1.92     1.31    0.001     2.22     1.33
2005cx      IC0178                       0.151     0.86     0.65    0.158     0.92     0.59    0.149     0.87     0.62
2003hl      NGC0772                      0.242     0.28     0.89    0.249     0.29     0.80    0.271     0.17     0.83
2003iq      NGC0772                      0.488    -0.12     1.31    0.497    -0.23     1.13    0.538    -0.38     1.18
2006ee      NGC0774                      0.592     0.68     1.56    0.669     1.00     1.64    0.664     1.08     1.88
1999di      NGC0776                      0.501    -0.18     1.36    0.534    -0.14     1.25    0.522     0.07     1.54
1998dj      NGC0788                      0.410    -0.18     0.69    0.308    -0.23     0.62    0.426    -0.19     0.69
2004fz      NGC0783                      0.324     0.32     1.33    0.348     0.41     1.24    0.354     0.13     1.22
2004dt      NGC0799                      0.402    -0.29     1.29    0.390    -0.08     1.30    0.373    -0.14     1.34
2004ad      NGC0789                      0.308     0.11     0.74    0.321     0.08     0.67    0.312     0.08     0.73
2010E       ESO013-028                   0.813    -0.01     2.07    0.821     0.39     2.25    0.888     0.57     2.49
2009af      UGC01551                     0.248     0.25     2.53    0.185     0.13     2.23    0.253    -0.22     1.97
2004ds      NGC0808                      0.395     0.76     0.95    0.404     0.90     0.89    0.454     0.71     0.86
2006ef      NGC0809                      0.820     0.22     3.41    0.833    -0.19     2.53    0.865   -99.00    -9.00
2004ew      ESO153-017                   0.571    -0.17     1.85    0.512     0.03     1.80    0.396    -0.34     1.73
2012U       ESO153-020                   0.388    -0.34     0.97    0.407    -0.30     0.89    0.438    -0.42     0.92
2004ee      ESO298-007                   0.370    -0.11     2.17    0.358     0.92     3.17    0.361     0.25     2.43
2010jj      NGC0812                      0.495    -0.44     0.89    0.589    -0.45     0.80    0.635    -0.57     0.79
2011fu      UGC01626                     0.528    -0.23     3.31    0.790    -1.11     3.56    0.755    -1.23     2.66
2002ea      NGC0820                      0.447    -0.18     0.66    0.462    -0.15     0.59    0.479    -0.15     0.63
2003G       IC0208                       0.228    -0.03     1.62    0.235    -0.03     1.46    0.223     0.01     1.68
2007hb      NGC0819                      0.905    -1.20     1.42    0.900    -1.11     1.38    0.913    -1.23     1.51
1992az      NGC0818                      0.635     0.11     2.10    0.640    -0.42     1.85    0.670    -0.89     2.08
2003em      ESO478-006                   0.760     0.02     2.27    0.583     0.12     2.11    0.685    -0.21     2.03
2009le      ESO478-006                   0.743    -1.18     1.24    0.569    -1.05     1.15    0.671    -1.10     1.26
2005H       NGC0838                      0.121     0.89     0.34    0.125     0.92     0.31    0.134     0.92     0.32
2000ek      ESO153-027                   1.000   -36.37   130.77    1.000   -74.88   127.63    1.000   -99.00    -9.00
2005lz      UGC01666                     0.534     0.62     3.84    0.365     0.33     2.90    0.154    -0.32     2.12
1999dh      IC0211                       0.477    -0.79     2.67    0.399    -0.46     2.67    0.476    -0.00     3.15
2003ja      NGC0846                      0.427     0.04     0.90    0.442     0.01     0.80    0.460    -0.02     0.84
2009fu      NGC0846                      0.856    -0.18     2.27    0.863    -0.15     2.15    0.882    -0.69     1.85
2004gv      NGC0856                      0.530     0.63     1.86    0.523     0.42     1.54    0.523     0.89     2.02
1989ae      UGC01722                     0.011     0.09     1.31    0.016     0.08     1.13    0.016     0.09     1.35
2006ot      ESO544-031                   0.386     0.39     0.99    0.387     0.41     0.91    0.392     0.40     0.95
2014cl      IC0217                       0.968    -3.87     1.49    0.969    -4.15     1.61    0.982    -3.21     1.71
2003io      UGC01761                     0.437     0.58     6.57    0.473     1.77    10.03    0.450    -1.43     2.98
2008il      ESO355-004                   0.824     1.41    10.03    0.880    -0.49     4.35    0.957     0.61     5.50
2000D       UGC01767                     0.235     0.01     1.97    0.249     0.46     2.27    0.226     0.19     2.12
2000G       UGC01773                     0.135     0.23     0.92    0.157     0.23     0.80    0.161     0.28     0.87
2002hu      MCG+06-06-012                0.936   -99.00    -9.00    0.938    -2.61     4.38    0.890   -99.00    -9.00
2000dx      UGC01775                     0.531     0.09     1.74    0.692    -0.14     1.46    0.575    -0.24     1.53
2005dm      IC0219                       0.422     1.03     0.82    0.420     1.03     0.73    0.420     1.09     0.82
2011hk      NGC0881                      0.176     0.38     0.98    0.207     0.37     0.88    0.192     0.48     1.00
2007gj      ESO298-028                   0.924     0.89     7.77    0.893     0.30     5.36    0.914   -99.00    -9.00
1962R?      UGC01810                     0.001     7.46     3.70    0.001     7.77     3.58    0.001     9.50     8.19
2003id      NGC0895                      0.540    -0.02     2.22    0.445     0.43     2.42    0.498    -0.19     2.18
1986J       NGC0891                      0.222     0.56     0.73    0.258     0.21     0.51    0.304    -0.08     0.46
2005lx      IC0221                       0.540     1.36     4.09    0.415     1.30     3.47    0.450     1.07     3.55
2013fb      IC0221                       0.620   -99.00    -9.00    0.485     1.89     6.81    0.514     2.14     9.29
1994ai      NGC0908                      0.148     0.03     0.72    0.157    -0.01     0.63    0.156    -0.05     0.68
2006ce      NGC0908                      1.000    -5.23     7.18    1.000    -4.79     3.40    1.000    -3.19     2.85
2002gw      NGC0922                      0.872    -0.18     3.17    0.885    -0.77     2.21    0.856   -99.00    -9.00
2008ho      NGC0922                      0.938    -1.69     1.93    0.953    -1.28     2.28    0.918    -1.71     2.51
1989ac      UGC01867                     0.408     1.49     3.12    0.547     1.17     2.48    0.517     0.82     2.24
2008hs      NGC0910                      0.809     1.30     8.19    0.814     0.00     3.93    0.821    -0.54     3.51
2006em      NGC0911                      0.137   -99.00    -9.00    0.221   -99.00    -9.00    0.262     0.56    17.55
2009js      NGC0918                      0.558     1.52     3.84    0.549     0.43     2.09    0.563     0.34     2.19
2011ek      NGC0918                      1.000    -2.97     3.24    1.000    -5.98    20.06    1.000   -99.00    -9.00
2004eh      UGC01892                     0.520     0.25     1.88    0.517     0.51     1.94    0.535     0.51     2.11
2007E       NGC0921                      0.688    -0.61     2.62    0.489     1.36     6.57    0.751    -0.75     2.82
2003gs      NGC0936                      0.299     0.51     0.69    0.319     0.50     0.62    0.308     0.62     0.73
2005eu      A022743+2810                 0.524     1.70     1.59    0.233     1.34     1.36    0.488     1.62     1.48
1989S       IC0226                       0.798     0.57     5.12    0.779    -0.24     2.80    0.844    -0.62     3.03
1992bf      NGC0930                      0.392     0.34     1.17    0.385     0.35     1.05    0.384     0.35     1.11
2006F       NGC0935                      0.451     0.05     1.07    0.469     0.02     0.94    0.499     0.09     1.06
2009lw      NGC0931                      0.994    -3.43     2.13    0.972    -2.84     2.01    0.976    -3.19     1.83
2005ad      NGC0941                      0.808     0.48     6.14    0.797    -0.24     3.99    0.791   -99.00    -9.00
1998dt      NGC0945                      0.764    -1.13     1.58    0.761    -0.71     1.72    0.771    -0.76     1.70
2005A       NGC0958                      0.491    -1.21     0.71    0.505    -1.85     0.58    0.534    -2.36     0.60
2005ev      UGC01990                     0.000     4.93     2.07    0.000     5.24     1.97    0.000     5.21     1.84
1985R       IC1809                       0.798     0.40     4.10    0.726    -0.51     2.35    0.821     1.20     5.64
2009hn      UGC02005                     0.618    -0.59     2.53    0.564     0.56     3.75    0.586     0.20     3.00
2012hc      NGC0986A                     0.000     0.74     3.46    0.000    -0.20     2.90    0.000     0.86     8.77
1976J       NGC0977                      0.706     0.14     3.17    0.681     1.01     4.04    0.730     4.51    24.57
2007ir      UGC02033                     0.490    -0.08     1.26    0.570    -0.15     1.12    0.620    -0.18     1.19
2010gr      UGC02035                     0.609     0.27     1.76    0.709     0.39     1.72    0.735     0.52     1.91
1999dq      NGC0976                      0.300    -0.16     0.58    0.333    -0.63     0.51    0.329    -1.07     0.55
1997dp      NGC0969                      0.240    -0.11     2.44    0.226    -0.13     2.08    0.345     0.18     2.73
2005dd      UGC02062                     0.463    -0.16     1.43    0.447    -0.24     1.29    0.423    -0.29     1.43
1984L       NGC0991                      0.625    -0.76     2.03    0.600    -0.24     2.39    0.639    -0.57     2.31
1961P       UGC02069                     0.977     0.90    14.19    0.979    -1.72     3.70    0.987   -99.00    -9.00
2004dn      UGC02069                     0.856    -0.32     3.17    0.823     0.09     3.41    0.899    -1.62     2.00
1976F       UGC02100                     0.686    -0.28     3.79    0.730    -0.49     3.05    0.623    -0.07     3.99
2001fw      UGC02116                     0.159     0.26     1.98    0.232     0.15     1.73    0.103     0.33     2.01
2009ig      NGC1015                      0.502     0.56     2.06    0.443     0.35     1.75    0.489     1.28     2.90
2011jf      UGC02134                     0.022     2.97     2.01    0.023     3.38     2.12    0.024     3.10     1.95
1937D       NGC1003                      0.560    -0.47     1.46    0.708    -0.46     1.58    0.640    -0.46     1.61
2005E       NGC1032                      0.985   -99.00    -9.00    0.937    -0.35     5.02    0.952   -99.00    -9.00
1990E       NGC1035                      0.440     0.23     0.99    0.463     0.29     0.91    0.490     0.28     0.98
2009M       NGC1028                      0.783     0.04     1.78    0.723     0.15     1.66    0.728     0.63     2.29
2011aq      NGC1056                      0.100     0.31     0.28    0.110     0.27     0.24    0.128     0.26     0.25
2004fd      NGC1060                      0.134     0.32     0.33    0.130     0.33     0.29    0.136     0.34     0.32
2008ie      NGC1070                      0.565     0.07     1.39    0.574     0.13     1.30    0.592     0.21     1.50
1961V?      NGC1058                      0.838   -99.00    -9.00    0.730     0.40     5.36    0.858    -0.71     4.49
1969L       NGC1058                      1.000    -1.73     6.82    1.000    -2.77     2.93    1.000   -99.00    -9.00
2007gr      NGC1058                      0.404    -0.73     1.00    0.341    -0.67     0.95    0.412    -0.53     1.15
2004I       NGC1072                      0.259     1.06     0.69    0.247     1.05     0.60    0.269     1.08     0.66
1962L       NGC1073                      0.628     1.39     6.14    0.742     1.90     8.19    0.635   -99.00    -9.00
