# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
1954C       NGC5879                      0.366     1.89     1.39    0.387     1.99     1.31    0.395     1.89     1.37
1999cm      UGC09766                     0.721     0.67     3.66    0.651     0.71     3.31    0.659     3.46    10.99
1999dg      UGC09758                     0.238     0.69     0.94    0.213     0.70     0.85    0.201     0.77     0.98
2009ai      UGC09757                     0.946    -0.85     2.67    0.971    -0.94     3.03    0.938    -0.40     3.38
2007Q       NGC5888                      0.709    -0.61     1.13    0.727    -0.68     0.98    0.649    -0.72     1.05
2010fv      NGC5888                      0.566    -0.05     1.13    0.577     0.22     1.18    0.521    -0.10     1.10
2002ds      ESO581-025                   1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -3.83     3.61
1988H       NGC5878                      1.000    -3.40     3.90    1.000    -2.20     2.63    1.000    -1.43     3.85
1963O       NGC5905                      0.959     0.40     8.69    1.000   -99.00    -9.00    1.000    -3.40     3.83
1940A       NGC5907                      0.982   -99.00    -9.00    0.981    -1.49     2.62    0.976     2.13    14.18
2007ba      UGC09798                     0.774     0.46     2.60    0.883    -0.03     1.99    0.858     0.50     2.67
2002ec      NGC5910                      0.217     1.98     2.71    0.244     2.04     2.47    0.322     2.43     3.20
2009bz      UGC09814                     0.464    -0.12     2.86    0.929    -0.40     2.94    0.537    -0.47     3.01
1996ab      A152108+2755                 0.949     2.00    24.59    0.876   -99.00    -9.00    1.000    -0.20     6.60
2002cj      ESO582-005                   0.359    -0.75     1.95    0.605    -1.10     1.51    0.388    -0.95     1.99
1990Q       NGC5917                      0.651    -1.24     1.52    0.729    -1.33     1.40    0.718    -1.05     1.73
2001X       NGC5921                      0.449    -0.67     1.07    0.455    -0.65     1.02    0.511    -0.87     1.04
2012ba      ESO328-046                   0.366     0.29     1.03    0.407     0.27     0.92    0.411     0.24     0.97
2004ax      NGC5939                      0.226     0.06     0.62    0.237     0.06     0.55    0.234     0.08     0.59
1971E       PGC091443                    0.942    -0.02     8.74    0.785    -2.25     3.24    0.413     0.40     4.42
2004cq      UGC09882                     0.004     0.40     0.80    0.002     0.36     0.73    0.003     0.46     0.80
2003K       IC1129                       0.507     0.52     1.95    0.511     0.69     1.97    0.543     0.05     1.76
2012cs      IC1129                       0.700     0.28     2.59    0.718     1.86     4.82    0.752   -99.00    -9.00
2001cm      NGC5965                      0.292     0.35     1.75    0.362     0.17     1.46    0.393     0.35     1.72
2012el      NGC5968                      0.130     0.37     0.81    0.125     0.24     0.69    0.131     0.36     0.79
2004ci      NGC5980                      0.369     1.09     0.96    0.370     1.11     0.86    0.406     1.12     0.92
2001bs      UGC10018                     0.436    -0.18     1.05    0.424    -0.06     1.01    0.425    -0.08     1.07
2011de      UGC10018                     1.000    -3.16     6.03    1.000   -99.00    -9.00    1.000    -0.52     9.31
2006be      IC4582                       0.247     1.84     1.18    0.262     1.96     1.04    0.259     1.90     1.06
2002ck      UGC10030                     0.593    -0.21     2.08    0.616    -0.55     1.61    0.754    -0.54     1.75
2009gd      NGC5967                      0.634    -0.11     1.92    0.393    -0.21     1.41    0.530    -0.37     1.61
2007ch      NGC6000                      0.890    -2.01     1.21    0.950    -2.33     1.10    0.906    -2.43     1.16
2010as      NGC6000                      0.307    -0.51     0.32    0.360    -0.50     0.28    0.362    -0.52     0.29
1998ct      UGC10062                     0.067    -0.64     1.24    0.065    -0.69     1.10    0.081    -0.58     1.28
2009dc      UGC10064                     0.795     0.90     4.28    0.957   -99.00    -9.00    0.955   -99.00    -9.00
2000cf      MCG+11-19-025                0.241     1.24     2.22    0.216     1.15     1.90    0.201     1.03     1.91
2004bu      UGC10089                     0.392     0.32     1.66    0.362     0.18     1.42    0.394     0.25     1.64
2004di      UGC10097                     0.763     0.70     2.96    0.722     0.40     2.36    0.798    -0.01     2.16
1991M       IC1151                       0.946   -99.00    -9.00    0.950    -2.09     3.44    0.894   -99.00    -9.00
2000cg      UGC10121                     0.571     0.34     1.31    0.606     0.37     1.22    0.536     0.37     1.30
2000cb      IC1158                       0.508    -0.53     1.79    0.486     0.04     1.95    0.519    -0.15     2.13
1999cc      NGC6038                      0.526     0.36     1.71    0.542     0.20     1.53    0.564    -0.07     1.43
2008ev      UGC10155                     0.216     0.38     1.40    0.227     0.37     1.28    0.231     0.40     1.34
1968K       PGC084703                    0.389     0.59     3.03    0.359     1.02     3.23    0.381     1.30     4.74
2003gp      UGC10160                     0.434     1.06     1.86    0.484     1.40     2.03    0.461     1.45     2.19
1982aa      NGC6052                      0.313     0.22     0.98    0.260     0.24     0.92    0.314     0.06     0.93
2008ek      IC1181                       0.255     0.38     2.07    0.458     0.00     1.70    0.342     0.33     2.11
1997dd      NGC6060                      1.000    -1.16     7.79    1.000     0.12    17.79    1.000    -2.39     4.27
2007cu      UGC10214                     0.999    -4.55     1.83    0.815    -4.43     1.65    0.890    -4.45     2.16
2008dq      UGC10214                     0.949    -2.09     1.74    0.636    -1.82     1.78    0.651    -1.69     1.69
1999ac      NGC6063                      0.908    -1.73     2.56    0.917   -99.00    -9.00    0.835    -2.52     2.75
2006cc      UGC10244                     0.654     0.15     1.21    0.602     0.09     1.03    0.530     0.33     1.18
2001aj      UGC10243                     0.737     0.52     3.10    0.805   -99.00    -9.00    0.689    -0.57     1.92
2008cl      UGC10261                     0.310     0.21     1.23    0.306     0.41     1.24    0.336     0.46     1.33
2003au      NGC6095                      0.256     0.48     0.88    0.251     0.46     0.77    0.275     0.47     0.86
2002ci      UGC10301                     0.828    -2.82     0.81    0.879    -2.70     0.72    0.779    -2.60     0.73
2006dc      IC4596                       0.675     0.63     1.94    0.736     0.59     1.72    0.688     0.45     1.78
2002de      NGC6104                      0.123     0.26     0.77    0.135     0.30     0.71    0.144     0.29     0.75
2011bn      UGC10306                     0.733    -0.84     2.05    0.708    -0.78     1.64    0.848    -0.66     2.35
2003ia      NGC6109                      0.365     0.65     1.57    0.238     0.46     1.27    0.263     0.51     1.40
2010an      NGC6109                      0.174     0.67     0.74    0.113     0.71     0.67    0.126     0.69     0.72
2001ab      NGC6130                      0.357     0.55     1.89    0.460     0.87     2.13    0.531     0.65     2.03
2003ge      NGC6122                      0.718     2.04     2.48    0.735     3.78     4.82    0.729     4.90     8.69
2000cq      UGC10354                     0.646    -0.22     4.82    0.933     2.22    14.19    0.438    -1.38     2.45
2003iy      NGC6143                      0.363     0.29     1.41    0.357     0.24     1.20    0.344     0.42     1.50
2004dk      NGC6118                      0.658    -0.18     1.74    0.597    -0.03     1.58    0.608    -0.03     1.72
2009he      UGC10361                     0.807     0.19     2.90    0.797    -0.36     2.03    0.804     0.41     3.15
2007bj      NGC6172                      0.327     0.98     0.50    0.343     1.04     0.46    0.351     0.98     0.48
2006R       NGC6142                      0.690    -0.60     1.46    0.722    -0.56     1.33    0.649    -0.65     1.39
2009fl      NGC6146                      0.331     0.66     1.23    0.468     1.03     1.35    0.448     0.97     1.43
2009eu      NGC6166                      0.306     0.20     2.06    0.490    -0.06     1.82    0.336     0.42     2.11
2002cg      UGC10415                     0.094     0.47     0.71    0.100     0.50     0.65    0.110     0.50     0.68
2009fv      NGC6173                      0.189     0.84     0.69    0.169     0.81     0.61    0.138     0.88     0.69
1997cq      UGC10420                     0.002   -99.00    -9.00    0.002     7.30     3.20    0.002   -99.00    -9.00
1992ap      UGC10430                     0.785     1.39     4.49    0.777   -99.00    -9.00    0.819     1.03     4.21
1998cs      UGC10432                     0.589     0.60     2.40    0.723     1.10     2.77    0.710     1.96     4.10
1926B       NGC6181                      0.846    -0.35     1.53    0.861    -0.22     1.51    0.889    -0.22     1.63
2011gd      NGC6186                      0.047     0.60     0.39    0.045     0.63     0.34    0.052     0.65     0.37
2001az      UGC10483                     0.453    -0.10     1.20    0.500    -0.21     1.08    0.491    -0.43     1.01
2001dq      IC1222                       0.340     0.10     2.09    0.307    -0.27     1.72    0.363    -0.41     1.79
1975K       NGC6195                      0.339     0.26     0.96    0.321     0.39     0.92    0.330     0.23     0.93
2004A       NGC6207                      0.310     2.45     3.58    0.658     2.46     3.44    0.385     3.99     7.77
2007ac      UGC10550                     0.930    -3.20     4.02    0.892    -2.01     2.53    0.882    -0.71     5.38
2007is      UGC10553                     0.297     0.66     1.04    0.304     0.60     0.91    0.291     0.67     1.01
2008bu      ESO586-002                   1.000    -4.06     2.92    1.000    -2.09     2.77    1.000    -3.80     2.45
1994Q       PGC059076                    0.113     1.47     2.01    0.093     1.12     1.62    0.095     1.49     2.10
2011aj      NGC6246A                     0.000     6.05     3.31    0.000     6.23     2.78    0.000   -99.00    -9.00
2003hf      UGC10586                     0.080     0.14     0.96    0.040     0.16     0.88    0.078     0.18     0.94
2003cm      UGC10590                     0.446    -0.15     1.51    0.429    -0.12     1.43    0.436    -0.39     1.46
1990W       NGC6221                      0.093     0.15     0.47    0.117     0.14     0.41    0.129     0.13     0.44
2000bg      NGC6240                      0.343    -0.43     0.74    0.283    -0.30     0.68    0.443    -0.39     0.74
2010gp      NGC6240                      0.873     0.75     3.88    0.715     1.37     3.55    0.879    -0.24     2.70
2013dc      NGC6240                      0.450     0.01     1.57    0.369    -0.09     1.22    0.546    -0.16     1.40
1998cx      NGC6209                      0.135     0.15     1.35    0.157     0.29     1.30    0.166     0.35     1.44
2009fz      NGC6209                      0.341     2.45     7.41    0.384   -99.00    -9.00    0.419     1.69     5.36
2007hu      NGC6261                      0.110     1.43     0.84    0.093     1.38     0.71    0.114     1.43     0.78
2008dt      NGC6261                      0.461    -0.18     0.88    0.380    -0.19     0.78    0.463    -0.21     0.83
2005ep      UGC10626                     0.633     0.54     2.36    0.649     1.88     4.28    0.634     0.38     2.59
2008ew      IC1236                       0.374     0.44     1.75    0.377     0.38     1.58    0.375     0.04     1.46
2013by      ESO138-010                   0.790    -0.81     2.58    0.638    -1.26     1.95    0.857    -0.34     3.55
2007ae      UGC10704                     0.790    -0.29     2.42    0.826    -0.44     2.20    0.771   -99.00    -9.00
2002ej      NGC6324                      0.750    -1.05     0.98    0.806    -1.04     0.90    0.778    -1.11     0.94
2000bs      UGC10710                     0.848    -0.29     3.49    0.779    -1.07     2.44    0.531    -0.97     2.32
2004ec      UGC10717                     0.049    -0.04     1.01    0.056    -0.00     0.91    0.061    -0.10     0.99
2008az      UGC10721                     0.064     0.53     0.77    0.115     0.56     0.70    0.117     0.51     0.74
2005bp      UGC10732                     0.660     0.55     3.99    0.652     0.08     3.35    0.603     1.09     6.14
2001cp      UGC10738                     1.000  -115.62   197.64    1.000   -18.64   141.67    1.000  -123.10  1252.64
2002er      UGC10743                     0.880    -3.27     1.08    0.858    -3.44     0.99    0.890    -4.12     1.10
2006mp      MCG+08-31-029                0.469    -1.07     4.75    0.783    -2.54     3.52    0.357   -99.00    -9.00
2008fj      UGC10759                     0.426     0.24     1.67    0.610     0.27     1.56    0.344     0.44     1.77
2003U       NGC6365A                     0.754    -0.11     2.39    0.761    -0.26     2.29    0.650    -0.37     2.45
2001ad      NGC6373                      0.995    -1.64     5.67    0.988    -1.22     4.71    0.981    -0.07     5.96
2012an      NGC6373                      0.799     0.34     5.36    0.746     2.01    10.03    0.668     0.32     4.34
2007ad      UGC10845                     0.548     0.27     1.26    0.542     0.59     1.32    0.552     0.32     1.29
1991af      PGC060308                    0.512     0.83     1.66    0.456     0.84     1.52    0.534     0.95     1.70
2004ao      UGC10862                     0.281     0.29     2.46    0.248    -0.27     1.70    0.288     0.40     2.67
2001aa      UGC10888                     0.924    -0.34     2.82    0.925    -0.63     2.39    0.912    -1.00     2.52
2006ap      NGC6378                      0.678     0.27     2.37    0.716     0.39     2.32    0.815     0.10     2.19
1971L       NGC6384                      0.380     0.04     1.14    0.303    -0.09     0.91    0.324    -0.01     1.08
1992ab      NGC6389                      0.995   -99.00    -9.00    0.951   -99.00    -9.00    0.988    -1.77     3.55
2000M       NGC6389                      0.380    -0.18     0.98    0.332    -0.10     0.90    0.355    -0.12     1.00
1999da      NGC6411                      0.503    -0.37     3.85    0.593   -99.00    -9.00    0.601     0.12     3.94
2008an      UGC10936                     0.561     0.32     1.67    0.500     0.36     1.54    0.608     0.45     1.66
2013K       ESO009-010                   0.070    -0.82     0.42    0.039    -0.84     0.37    0.063    -0.82     0.41
2003hp      UGC10942                     0.703   -99.00    -9.00    0.911   -99.00    -9.00    0.763     0.55     4.92
2003fa      MCG+07-36-033                0.814   -99.00    -9.00    0.745    -0.32     7.10    0.838   -99.00    -9.00
1992aa      NGC6464                      0.001     5.05     1.96    0.002     5.13     1.62    0.001     4.35     1.64
2007cl      NGC6479                      0.221     0.28     1.30    0.132     0.10     1.12    0.177     0.15     1.24
2009ay      NGC6479                      0.357     0.08     1.43    0.212     0.10     1.33    0.284     0.00     1.38
2004cs      UGC11001                     0.423    -0.17     1.44    0.434    -0.07     1.34    0.459    -0.05     1.52
2002by      ESO139-034                   0.416   -99.00    -9.00    0.416   -99.00    -9.00    0.527     4.19    24.57
1998bp      NGC6495                      0.388     1.00     1.30    0.263     0.98     1.14    0.390     0.96     1.28
2005B       UGC11066                     0.480     1.13     8.69    0.429   -99.00    -9.00    0.327     0.02     6.16
2009hs      NGC6521                      0.928     0.35     4.19    0.898    -0.33     2.67    0.825   -99.00    -9.00
2006au      UGC11057                     0.669     3.22     2.51    0.655     2.78     1.94    0.673     2.54     1.81
2000cn      UGC11064                     0.033     0.20     1.28    0.035     0.09     1.13    0.039     0.24     1.31
2005ds      UGC11064                     0.073     0.04     1.67    0.079     0.11     1.57    0.089     0.12     1.72
2010gd      UGC11064                     0.071    -0.03     1.59    0.077     0.12     1.54    0.086     0.03     1.61
2010hh      NGC6524                      0.885   -99.00    -9.00    0.881     0.49     5.24    0.887    -0.25     5.24
2006dq      UGC11089                     0.532     0.18     2.46    0.560     0.26     2.23    0.594    -0.72     1.65
2001bf      MCG+04-42-022                0.421     0.43     1.32    0.471     0.67     1.37    0.394     0.73     1.51
2004fv      NGC6492                      0.221    -1.13     0.72    0.307    -1.22     0.65    0.385    -1.22     0.72
2012bt      IC4674                       0.350     0.15     2.42    0.438    -0.35     1.99    0.474     1.12     4.82
2014cm      ESO229-008                   0.695    -0.59     1.11    0.759    -0.65     0.98    0.714    -0.62     1.08
2006gz      IC1277                       0.854     1.47    10.99    0.805    -0.14     4.16    0.717   -99.00    -9.00
2011ap      IC1277                       0.805     0.89     6.34    0.743    -0.23     3.05    0.683    -0.98     2.75
2002cu      NGC6575                      0.975    -0.40     7.77    0.980   -99.00    -9.00    0.988   -99.00    -9.00
1998dx      UGC11149                     0.246     0.83     4.04    0.230     0.08     2.64    0.386     0.68     3.75
2003hs      UGC11149                     0.206     1.15     3.99    0.195     0.09     2.34    0.327     0.05     2.41
2008eb      NGC6574                      0.489     0.30     0.65    0.540     0.28     0.57    0.512     0.28     0.60
2003X       UGC11151                     0.062     0.83     0.56    0.071     0.87     0.51    0.068     0.86     0.55
2010hi      NGC6621                      0.861    -0.47     3.25    0.895    -1.32     2.31    0.845   -99.00    -9.00
2005bz      UGC11162                     0.224     0.61     2.12    0.157     0.27     1.71    0.293     0.77     2.33
2002dk      NGC6616                      0.731     0.27     3.58    0.744     4.80    24.57    0.747    -0.07     3.05
2006ci      ESO182-010                   0.869    -0.56     2.24    0.792    -0.68     1.84    0.771    -1.31     1.77
2000dm      UGC11198                     0.713    -1.21     0.71    0.720    -1.20     0.62    0.749    -1.24     0.69
2009fs      UGC11205                     0.303     0.51     1.55    0.350     0.67     1.53    0.336     0.25     1.37
2008bo      NGC6643                      0.493    -0.12     1.02    0.546    -0.09     0.94    0.561     0.10     1.13
2008ij      NGC6643                      0.573     0.21     1.37    0.631     0.06     1.17    0.646    -0.14     1.16
1989P       NGC6636                      0.908    -0.66     2.68    0.931     0.56     4.21    0.923    -0.71     2.78
1998V       NGC6627                      0.004     9.19     3.17    0.005     9.68     3.15    0.005   -99.00    -9.00
2006ca      UGC11214                     0.752    -0.27     3.25    0.673    -0.18     2.42    0.778    -1.51     1.88
2013bi      NGC6632                      0.412    -0.15     0.99    0.391     0.01     0.95    0.410    -0.06     0.98
2001br      UGC11260                     0.053     0.51     0.69    0.065     0.52     0.61    0.062     0.54     0.68
2014F       NGC6667                      0.960    -1.53     3.18    0.996    -0.89     4.50    0.965    -1.66     3.36
1934A       IC4719                       0.383     0.21     1.59    0.369     0.05     1.38    0.360    -0.33     1.26
2005da      UGC11301                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -9.91    31.28
2006bq      NGC6685                      0.104     0.89     0.53    0.105     0.89     0.48    0.110     0.83     0.51
2013ay      IC4745                       0.531     0.31     1.88    0.555     0.49     1.88    0.540     0.44     1.99
2002cw      NGC6700                      0.866    -0.15     2.51    0.870    -0.60     2.08    0.875    -0.87     2.12
2001cn      IC4758                       0.551    -0.13     2.20    0.567    -0.54     2.20    0.548    -1.58     1.79
2002cs      NGC6702                      0.562     0.22     1.77    0.566     0.49     1.73    0.574     0.37     1.83
2004ac      IC4769                       0.786   -99.00    -9.00    0.839   -99.00    -9.00    0.854     0.39     4.42
2002dw      UGC11376                     0.538     0.51     1.39    0.527     0.76     1.48    0.543     0.41     1.39
1971R       IC4798                       0.000     4.22     0.50    0.000     4.30     0.44    0.000     4.27     0.47
2011bo      ESO337-006                   0.330     0.39     1.32    0.265     0.29     1.13    0.347     0.31     1.22
1999bx      NGC6745                      0.410     0.21     1.06    0.401     0.36     1.04    0.422     0.23     1.06
2004dw      UGC11394                     0.723    -0.31     1.73    0.767    -0.32     1.47    0.818    -0.40     1.53
2008fa      NGC6722                      0.944    -2.38     1.11    0.942    -2.58     0.94    0.968    -2.80     1.06
2012gj      UGC11404                     0.769     0.73     2.86    0.770     0.91     2.90    0.773   -99.00    -9.00
2005at      NGC6744                      0.357     0.18     1.50    0.317    -0.09     1.26    0.385     0.32     1.72
2004ed      NGC6786                      0.725    -0.48     0.90    0.702    -0.54     0.80    0.700    -0.58     0.79
2000cj      NGC6753                      0.737     0.07     1.51    0.750    -0.16     1.27    0.762     0.36     1.80
2005cb      NGC6753                      0.515     0.79     1.11    0.536     0.78     1.00    0.548     0.57     0.98
1998X       NGC6754                      0.477    -2.50     0.72    0.302    -2.45     0.61    0.460    -2.62     0.66
1998dq      NGC6754                      0.420    -0.84     0.98    0.264    -0.82     0.88    0.407    -0.72     1.01
2000do      NGC6754                      0.125    -0.15     0.73    0.080    -0.18     0.63    0.124    -0.07     0.74
2005cu      NGC6754                      0.245    -0.66     0.70    0.157    -0.72     0.61    0.240    -0.71     0.66
2003hu      A191131+7753                 0.322     0.98     1.63    0.380     1.18     1.60    0.333     0.99     1.56
2012dl      ESO459-006                   0.396    -0.01     1.00    0.428    -0.10     0.87    0.456    -0.09     0.95
2001bt      IC4830                       0.239     0.62     1.52    0.330     0.49     1.34    0.372     0.98     1.84
1992N       IC4831                       0.955     0.15     4.28    0.923    -1.27     1.94    0.947     0.23     4.10
1998em      IC4837A                      0.976    -1.34     2.19    0.996    -2.85     2.10    0.931    -1.26     2.14
2005aw      IC4837A                      0.568    -0.04     0.70    0.543    -0.12     0.60    0.464    -0.05     0.66
1984O       IC4839                       0.977   -99.00    -9.00    0.988   -99.00    -9.00    0.996    -3.00     2.38
2011ed      IC4839                       0.026    -0.05     0.52    0.029    -0.10     0.46    0.029    -0.11     0.49
1997de      NGC6769                      0.461    -0.14     1.40    0.494    -0.31     1.21    0.514    -0.38     1.29
2006ox      NGC6769                      0.240     0.25     0.85    0.262     0.22     0.75    0.273     0.24     0.85
2004ev      ESO459-013                   0.707     1.75     4.04    0.720     0.80     2.22    0.742     0.92     2.54
2012bv      NGC6796                      0.654     0.71     1.29    0.675     0.82     1.19    0.685     1.07     1.43
2000cu      ESO525-004                   0.300     0.62     1.73    0.195     0.66     1.62    0.321     0.28     1.59
2001dx      PGC063222                    0.000     0.89     1.12    0.000     0.81     1.01    0.000     0.82     1.04
2004cw      ESO184-075                   0.446    -0.46     1.48    0.431    -0.48     1.36    0.396    -0.33     1.60
2004em      IC1303                       0.513     0.53     2.08    0.415     0.50     2.05    0.589     0.56     2.27
1998bw      ESO184-082                   0.000     5.34     3.93    0.000     3.31     3.38    0.000     3.38     2.62
2008fl      NGC6805                      0.468     0.29     1.32    0.574     0.47     1.30    0.457     0.42     1.35
2005dk      IC4882                       0.738     0.63     2.66    0.690     0.48     2.31    0.774    -0.29     1.80
2013cz      IC4892                       0.603    -0.09     1.42    0.694    -0.07     1.37    0.633     0.06     1.58
2003kh      UGC11491                     0.849    -1.25     1.68    0.930    -0.91     1.67    0.899    -1.39     1.54
2011gv      IC4901                       0.314     0.07     1.18    0.227     0.08     1.07    0.294     0.02     1.17
1962J       NGC6835                      0.873    -0.30     2.31    0.869    -0.47     1.91    0.878    -0.59     1.90
2010hc      ESO339-006                   0.794     1.39     5.96    0.824     0.71     4.04    0.774     3.62    17.37
2011gt      IC4913                       0.486     0.08     1.05    0.484     0.08     0.94    0.491     0.13     1.06
1998bo      ESO185-031                   0.391     0.33     0.99    0.256     0.27     0.81    0.278     0.36     0.86
2009it      NGC6841                      0.165     0.95     0.45    0.161     0.98     0.40    0.173     0.99     0.43
1990T       PGC063925                    0.219    -0.18     9.53    0.130    -0.45     3.67    0.259    -2.40     2.55
1991ag      IC4919                       0.791    -0.51     3.34    0.716     0.07     3.99    0.936    -1.55     2.93
2006bn      IC4926                       1.000   -99.00    -9.00    0.935   -99.00    -9.00    1.000    -0.56     4.50
2006eu      MCG+08-36-016                0.558    -0.25     1.51    0.396     0.15     1.62    0.591    -0.19     1.55
2012fz      ESO185-054                   0.617     1.01     1.86    0.626     0.88     1.56    0.624     1.04     1.90
1984K       NGC6850                      0.691    -0.21     3.41    0.912    -1.46     4.62    0.782    -1.10     3.49
2005dn      NGC6861F                     0.603    -1.28     1.89    0.493    -0.98     1.82    0.566    -1.19     2.58
2003fb      UGC11522                     0.984    -1.62     2.45    0.970    -2.41     2.29    0.951    -1.14     2.95
2002jn      UGC11523                     0.513     0.09     2.67    0.535    -0.14     2.19    0.570     0.21     3.17
1987I       IC4963                       0.065     0.82     0.43    0.080     0.94     0.37    0.090     0.98     0.38
2008ff      ESO284-032                   0.858   -99.00    -9.00    0.952   -99.00    -9.00    0.801   -99.00    -9.00
2004fb      ESO340-007                   0.342     0.71     1.12    0.369     0.83     1.07    0.370     0.56     1.04
2000dc      ESO527-019                   0.739     0.77     2.63    0.835     0.28     2.21    0.755     1.15     3.28
2004da      NGC6901                      0.054    -0.06     0.93    0.067    -0.12     0.78    0.074     0.09     0.92
1976O?      ESO234-016                   0.594    -0.21     2.34    0.551    -0.44     2.16    0.542     0.47     4.10
2010gw      IC4992                       1.000    -3.91     1.55    1.000    -3.68     1.82    1.000    -4.17     1.74
2002cd      NGC6916                      0.355    -0.40     1.38    0.372    -0.93     1.16    0.372    -1.39     1.23
2012dn      ESO462-016                   0.788    -0.52     3.05    0.734    -0.42     3.15    0.710    -0.84     2.72
2012bl      ESO234-019                   0.920    -0.14     4.74    0.939    -1.73     5.83    0.761    -0.64     3.50
2004bv      NGC6907                      0.337     0.57     1.39    0.513     1.09     1.72    0.427     1.15     1.84
2008fq      NGC6907                      0.109     0.55     0.65    0.180     0.64     0.61    0.151     0.68     0.65
1992af      ESO340-038                   0.374     0.35     2.96    0.385     0.09     2.22    0.354    -0.09     2.22
2006bo      UGC11578                     0.882   -99.00    -9.00    1.000   -99.00    -9.00    0.990    -0.19    12.89
2001dd      UGC11579                     1.000    -4.48     3.08    1.000    -4.33     3.11    1.000    -2.82     4.39
2007pm      UGC11585                     0.560     0.76     4.22    0.563    -0.29     2.26    0.649   -99.00    -9.00
2009fw      ESO597-006                   0.162     0.44     0.56    0.052     0.47     0.51    0.092     0.39     0.53
2004eo      NGC6928                      0.989    -0.14     4.15    0.995   -99.00    -9.00    0.996   -99.00    -9.00
2003gt      NGC6930                      0.413     0.84     1.55    0.415     0.90     1.36    0.440     0.80     1.42
2011ei      NGC6925                      0.902    -0.98     1.95    0.947    -1.18     1.84    0.862    -0.86     2.13
1917A       NGC6946                      0.357    -0.12     1.18    0.432    -0.30     1.11    0.380     0.02     1.29
1939C       NGC6946                      0.847     0.53     2.47    0.943    -0.35     1.90    0.876    -0.17     1.93
1948B       NGC6946                      0.895    -1.16     1.45    0.983    -1.79     1.34    0.917    -1.21     1.46
1968D       NGC6946                      0.134     0.13     0.97    0.179     0.24     0.95    0.155     0.23     1.00
1969P       NGC6946                      0.628    -0.54     1.49    0.719    -0.57     1.61    0.652    -0.95     1.25
1980K       NGC6946                      0.982    -2.32     2.59    1.000   -99.00    -9.00    0.993   -99.00    -9.00
2002hh      NGC6946                      0.417    -0.81     0.99    0.493    -1.08     0.89    0.439    -1.02     0.91
2004et      NGC6946                      0.000     6.61     2.46    0.000   -99.00    -9.00    0.000     6.59     2.22
2008S?      NGC6946                      0.699     0.28     1.97    0.781    -0.07     1.72    0.718     0.46     2.09
2004fu      NGC6949                      0.812     0.45     2.62    0.798     0.14     1.90    0.790    -0.12     1.93
2004cr      UGC11603                     1.000   120.02    28.81    1.000    78.38    37.70    1.000    81.37    26.38
1999el      NGC6951                      0.317    -0.35     0.72    0.314    -0.21     0.67    0.329    -0.35     0.69
2000E       NGC6951                      0.323     0.79     1.23    0.320     0.87     1.11    0.335     0.58     1.07
2006ms      NGC6935                      0.362     0.07     0.94    0.299    -0.01     0.81    0.357     0.05     0.92
1991au      UGC11616                     0.420     0.26     2.21    0.466     0.82     2.78    0.485     0.58     2.68
2006it      NGC6956                      0.847     0.32     2.11    0.875     0.65     2.34    0.859     0.73     2.71
2013fa      NGC6956                      0.137     0.14     0.71    0.171     0.14     0.65    0.180     0.19     0.71
2004bq      ESO597-032                   0.042     1.13     1.24    0.038     1.15     1.05    0.053     1.25     1.16
1998ew      NGC6943                      0.961    -0.49     6.15    0.880   -99.00    -9.00    0.922    -1.38     5.05
2005av      NGC6943                      0.335     0.08     1.02    0.308     0.00     0.88    0.333     0.07     1.01
1992al      ESO234-069                   0.565     0.34     2.01    0.649     0.32     1.81    0.745     1.16     3.12
2002ha      NGC6962                      0.573    -1.07     1.83    0.586    -1.34     1.78    0.616    -2.14     1.70
2003dt      NGC6962                      0.665    -1.14     2.05    0.674    -1.81     1.75    0.714    -1.94     2.13
2002el      NGC6986                      0.797    -0.37     2.47    0.788     1.16     4.41    0.676    -0.04     2.90
2012im      NGC6984                      0.402    -0.00     1.08    0.444    -0.00     1.01    0.478     0.02     1.13
2013ek      NGC6984                      0.412    -0.07     1.07    0.454    -0.07     1.00    0.488    -0.05     1.12
2008cc      ESO107-004                   0.377     0.71     0.69    0.438     0.67     0.62    0.378     0.73     0.70
2008cv      ESO598-022                   0.428     0.67     0.72    0.406     0.63     0.62    0.415     0.69     0.70
2003ho      ESO235-058                   0.632    -0.08     4.28    0.767    -0.20     3.41    0.658   -99.00    -9.00
2001fc      UGC11683                     0.000     2.29     1.22    0.000     2.19     0.98    0.000     2.11     1.17
2004du      UGC11683                     0.151     0.46     1.09    0.146     0.46     0.97    0.143     0.62     1.08
2005br      IC5084                       0.751    -0.88     0.99    0.756    -0.82     0.88    0.779    -1.03     0.92
2004dy      IC5090                       0.898    -1.16     1.40    0.914    -0.55     1.54    0.880    -0.74     1.53
2013fw      NGC7042                      0.313     0.29     1.02    0.324     0.30     0.94    0.325     0.33     1.04
1983L       NGC7038                      0.468     0.28     1.60    0.488     0.19     1.40    0.489     0.38     1.68
2010dx      NGC7038                      0.561    -0.06     1.54    0.584    -0.07     1.38    0.589    -0.01     1.53
1989Y       ESO287-004                   0.621    -1.08     2.80    0.666     0.04     6.36    0.692    -0.88     5.17
