 1958A                  240.20920833  19.71030556     -1.0     -5.0  MCG+03-41-027                  240.20987500  19.71177778
 1958B                   39.27508333   1.32458333     -1.0      7.0  Anon.                           39.27500000   1.32333333
 1958C                  194.53783333 -30.58116667    -21.0     22.0  ESO443-018                     194.54462500 -30.58727778
 1958D                  178.44995833 -30.77686111     -6.0    -13.0  ESO440-028                     178.45187500 -30.77325000
 1959A                   52.79220833 -33.60950000     22.0     70.0  NGC1350                         52.78487500 -33.62894444
 1959B                  195.36483333  27.87305556     16.0    -48.0  NGC4921                        195.35845833  27.88655556
 1959C                  197.84925000   3.41050000      7.0     -3.0  UGC08263                       197.84695833   3.41169444
 1959D                  339.25737500  34.41891667    -32.0     13.0  NGC7331                        339.26670833  34.41552778
 1959E                  185.74545833  15.81702778     58.0    -21.0  NGC4321                        185.72900000  15.82252778
 1959F                   42.42837500  -0.51783333     28.0     20.0  MCG+00-08-025                   42.42050000  -0.52336111
 1959G                  302.66666667 -43.93500000      4.0     -4.0  Anon.                          302.67500000 -43.93333333
 1960A                   38.86025000   2.11163889      5.0     -8.0  Anon.                           38.85000000   2.10000000
 1960B                  188.68337500   9.00272222      5.0     -6.0  MCG+02-32-144                  188.68166667   9.00483333
 1960C                  181.78866667  16.99883333     -4.0      9.0  MCG+03-31-041                  181.79004167  16.99566667
 1960D                  125.07425000  20.86794444     18.0    -26.0  UGC04344                       125.06895833  20.87513889
 1960E                  184.40441667  47.88716667      1.0     -8.0  MCG+08-22-098A                 184.40383333  47.88933333
 1960F                  187.92525000   3.94663889     38.0     24.0  NGC4496A                       187.91458333   3.93950000
 1960G                  172.76491667  18.38780556     14.0    -16.0  MCG+03-29-060                  172.76100000  18.39161111
 1960H                  181.53137500  47.51066667     67.0    114.0  NGC4096                        181.50470833  47.47844444
 1960I                  186.73929167  48.27466667      5.0    -11.0  UGC07560                       186.73662500  48.27708333
 1960J                  186.26479167  28.56258333     37.0     17.0  NGC4375                        186.25216667  28.55861111
 1960K                  339.93637500  34.37816667    -10.0     -6.0  MCG+06-49-068                  339.93995833  34.38013889
