# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2000dx      UGC01775                     0.182    -0.04     0.09    0.220     0.80     0.05
2005dm      IC0219                       0.742    -2.13     9.01    0.253     1.60     0.13
2011hk      NGC0881                      0.079     0.45     0.03    0.081     0.55     0.01
2005ie      A021902-0016                 1.000    -2.17     9.03    0.596    10.66     2.72
2007gj      ESO298-028                   0.609    -2.47     9.00    0.682    -1.43     9.00
2003id      NGC0895                      0.300     1.10     0.03    0.336     1.28     0.01
1986J       NGC0891                      0.097     0.66     0.12    0.084     2.41     0.09
2005lx      IC0221                       0.489     0.39     9.00    0.646     0.99     9.00
2013fb      IC0221                       0.703     0.04     9.00    0.884     0.47     9.00
2011H       UGC01837                     1.000   -15.40   105.00    1.000    -3.32     2.92
1994ai      NGC0908                      0.016     0.06     0.10    0.028     0.63     0.04
2006ce      NGC0908                      1.000    -6.00     9.05    1.000    -2.90     1.35
2002gw      NGC0922                      0.729    -0.06     0.04    0.749     0.49     0.03
2008ho      NGC0922                      0.843    -1.74     0.02    0.855    -1.33     0.01
1989ac      UGC01867                     0.272     0.64     1.62    0.249     0.36     0.40
2014cp      ESO479-001                   0.998     0.14     0.53    0.998    -0.10     0.24
2006em      NGC0911                      0.011    -1.54     9.00    0.006    -1.31     9.00
2009js      NGC0918                      0.423     0.57     1.12    0.462    -2.25     9.00
2011ek      NGC0918                      1.000    -7.41     9.20    1.000    -6.27     9.13
2004eh      UGC01892                     0.261     0.20     0.14    0.291     0.42     0.06
2007E       NGC0921                      0.823     1.82     0.75    0.918     1.38     0.28
2003gs      NGC0936                      0.236     3.16     0.35    0.242     3.00     0.11
2009jq      UGC01919                     0.592     0.73     0.70    0.477     0.67     0.35
2005eu      A022743+2810                 0.694     2.16     0.13    0.772     2.40     0.07
1989S       IC0226                       0.235    -0.70     9.00    0.228     0.12     9.00
1992bf      NGC0930                      0.103    -0.68     0.82    1.000     0.51     0.39
2006F       NGC0935                      0.205    -0.18     0.41    0.251     0.77     0.23
2009lw      NGC0931                      0.967    -3.57     0.89    0.995    -3.23     1.35
2005ad      NGC0941                      0.787    -0.31     0.08    0.799    -0.00     0.05
2009ho      UGC01941                     0.366     2.69     1.79    0.485    -1.24     9.00
1998dt      NGC0945                      0.628     0.13     0.29    0.664     0.54     0.05
2005A       NGC0958                      0.133     0.57     0.13    0.186     0.70     0.05
2014N       ESO246-022                   0.555     0.58     0.21    0.562     0.23     0.09
2005ev      UGC01990                     0.005     4.73     0.48    1.000     3.60     9.00
1985R       IC1809                       0.557    -1.28     0.60    0.549    -0.69     0.30
