# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2013ge      NGC3287                      0.963    -0.21     9.00    0.946     0.26     0.06
1993B       A103451-3426                 0.353     1.09     9.00    0.264     1.23     9.00
1990H       NGC3294                      0.111     0.01     0.27    0.142     0.37     0.03
1992G       NGC3294                      0.210    -0.52     0.23    0.262    -0.09     0.03
2002hg      NGC3306                      0.387    -0.08     0.06    0.423     0.19     0.02
2000cl      NGC3318                      0.061    -0.62     0.20    0.087    -0.11     0.09
2002jp      NGC3313                      0.973    -4.64     9.01    0.987    -3.40     9.00
2007cv      IC2597                       0.748     1.76     2.63    0.465     0.88     0.58
1970D       PGC031589                    0.489    -0.26     0.46    0.551    -0.06     0.16
1974C       NGC3310                      0.520     2.19     0.10    0.512     1.09     0.02
1991N       NGC3310                      0.166     0.63     0.04    0.164     0.12     0.01
1975D       UGC05793                     0.376     0.62     0.76    0.224     0.29     0.09
2006al      A103929+0511                 0.128    -2.52     9.01    0.540    -1.07     9.00
2004bs      NGC3323                      0.082     1.14     0.16    0.090     0.91     0.06
2005kk      NGC3323                      0.729     0.76     0.20    0.706     0.79     0.09
2001N       NGC3327                      0.006     0.15     0.80    0.017     0.30     0.24
1984S       NGC3336                      0.011    -0.62     0.25    0.019    -0.18     0.10
1985D       ESO264-032                   0.057     0.39     0.59    0.031    -1.44     9.01
2005O       NGC3340                      0.127     1.80     0.07    0.136     1.09     0.02
2007fp      NGC3340                      0.074     1.60     0.06    0.077     1.00     0.02
2013eg      ESO501-084                   1.000    -2.68     9.01    0.221    -0.97     9.00
2012fh      NGC3344                      0.566    -1.34     0.06    0.622    -0.83     0.03
2012aw      NGC3351                      0.602     2.05     0.20    0.680     2.55     0.07
2001Y       NGC3362                      0.017    23.50     9.87    0.577     0.99     0.03
2010ct      NGC3362                      0.027    18.38     9.59    0.897    -0.11     0.04
2005Z       NGC3363                      0.057     0.62     0.55    0.106     0.49     0.13
1986A       NGC3367                      0.262    -0.18     0.05    0.305    -0.20     0.01
1992C       NGC3367                      0.519     0.64     0.08    0.574     0.83     0.03
2003aa      NGC3367                      0.547     0.42     0.07    0.601     0.58     0.02
2007am      NGC3367                      0.205    -0.39     0.05    0.243    -0.16     0.01
1985H       NGC3359                      0.118    -0.13     0.02    0.144     0.49     0.01
1998bu      NGC3368                      0.146     0.20     0.04    0.222     0.26     0.01
2009na      UGC05884                     0.683     1.21     0.13    0.667     0.33     0.03
1994ae      NGC3370                      0.427     2.70     0.55    0.485     1.53     0.06
2004bi      UGC05894                     0.958     1.15     1.60    0.941     0.68     0.47
2005as      NGC3450                      0.001     3.27     0.37    0.001     2.56     0.14
1967C       NGC3389                      1.000    -1.36     0.17    1.000    -2.46     0.08
2009md      NGC3389                      0.765    -0.17     0.02    0.753    -0.20     0.01
2003A       UGC05904                     1.000    -6.53     0.56    1.000    -6.35     0.32
2008bt      NGC3404                      0.893    -2.96     0.57    1.000    -4.45     1.34
2013hv      ESO501-102                   0.313     1.49     0.47    0.339     1.42     0.19
2005cd      IC0651                       0.780     1.20     0.36    0.779     0.51     0.08
2009ls      NGC3423                      0.182     0.20     0.08    0.204     0.29     0.02
2009al      NGC3425                      1.000    -7.48    11.58    1.000    -4.70     0.54
2008ah      PGC032586                   -9.000   -35.22     9.58   -9.000    -0.58     9.00
2004ez      NGC3430                      0.583     0.48     0.12    0.644     0.59     0.05
2000ch?     NGC3432                      0.974    -3.45     0.08    0.980    -3.31     0.05
2004bn      NGC3441                      0.466     0.12     0.22    0.499     0.69     0.02
2004bm      NGC3437                      0.215     1.25     0.17    0.234     0.32     0.02
2007sv?     UGC05979                     0.104     2.06     0.42    0.094     1.48     0.17
2012bu      NGC3449                      0.622    -2.95     9.00    0.694    -1.47     9.00
2012ht      NGC3447                      0.148     1.88     0.11    0.155     2.07     0.06
2006cf      UGC06015                     0.027    -0.27     0.34    0.035     0.19     0.16
2012am      UGC06015                     0.075     0.19     0.34    0.091     0.04     0.13
2014P       ESO264-049                   1.000     2.75     1.97    0.415    -1.67     9.00
1997dn      NGC3451                      0.983    -4.14     0.33    0.987    -4.12     0.06
2009X       UGC06019                     0.112     0.47     0.04    0.101     0.48     0.01
2014G       NGC3448                      0.933    -3.46     0.43    0.934    -3.28     0.05
2002J       NGC3464                      0.335     3.59     0.44    0.392     4.64     0.30
2002hy      NGC3464                      0.297     3.14     0.32    0.352     2.73     0.11
2012cy      NGC3462                      0.871     0.88     1.64    0.331     1.34     0.07
2009az      UGC06036                     0.485     1.13     0.40    0.506     1.28     0.16
1991F       NGC3458                      1.000    -1.09     0.24    1.000    -1.46     0.03
2004T       UGC06038                     0.266     0.27     0.61    0.275     0.32     0.07
2012hf      NGC3469                      0.668    -3.34     9.00    0.618     0.90     0.29
2004bc      NGC3465                      0.073     1.86     0.48    0.083     1.62     0.19
2006I       NGC3465                      0.089     1.39     0.40    0.100     1.44     0.18
1999bi      A110115-1145                 0.831     2.28     3.46    1.000     1.59     0.27
1999aw      A110136-0606                 0.018    -6.19    11.90    0.009    -3.94    10.53
2007rt      UGC06109                     0.049    -0.27     0.26    0.055     0.02     0.04
1998cf      NGC3504                      0.269     0.47     0.04    0.233     0.31     0.01
2001ac?     NGC3504                      0.889    -2.19     9.00    0.907     1.38     0.14
2003L       NGC3506                      0.147    -0.44     0.10    0.173    -0.25     0.03
1996cb      NGC3510                      0.982    -3.97     0.08    0.980    -3.42     0.05
2001fv      NGC3512                      0.533     1.10     0.28    0.582     0.88     0.04
2010bi      NGC3509                      0.521     2.02     9.00    0.529     0.99     0.03
1999bb      A110516-0601                 0.329     8.51     9.01    0.066     4.94     9.00
2006hn      UGC06154                     0.011     2.48     0.35    0.015     3.04     0.14
2005lw      IC0672                       0.177     0.74     0.66    0.233     0.95     0.14
2006ak      A110932+2837                 0.947    -0.93     0.57    0.912    -1.02     0.11
1994R       IC2627                       0.159     3.68     1.70    0.181     1.21     0.14
1998A       IC2627                       0.588    -1.02     0.25    0.589    -0.93     0.07
2003ci      UGC06212                     0.783    -0.19     0.08    0.791     0.30     0.04
2009my      NGC3559                      0.510    -0.96     0.20    0.515    -0.41     0.08
1969B       NGC3556                      1.000    -4.39     0.26    1.000    -3.50     0.15
1973D       NGC3570                      0.120    -4.33     9.04    0.449    -3.79     9.01
1973A       NGC3574                      0.171    -5.60     9.03    1.000    -5.32     9.10
1989G       IC2637                       0.957    -2.29     9.00    0.985    -0.74     9.00
2009by      UGC06260                     1.000    -6.12     9.06    0.769    -4.58     9.04
2001K       IC0677                       0.188     0.99     0.09    0.181     0.66     0.04
1975P       NGC3583                      0.796     0.60     0.36    0.832     2.16     0.27
1998R       UGC06271                     0.283     0.20     0.22    0.272     0.25     0.11
2005R       UGC06274                     0.025     0.09     0.28    0.039     0.26     0.11
2011C       UGC06311                     0.181     1.51     0.55    0.208     1.70     0.18
2003kw      UGC06314                     0.198    -1.53     0.60    0.179    -0.78     0.27
2011eh      NGC3613                      0.814    -3.63     9.00    1.000    -2.06     9.00
2013am      NGC3623                      0.565     1.76     0.15    0.559     2.55     9.00
1973R       NGC3627                      0.249     2.56     0.07    0.278     2.88     0.02
1989B       NGC3627                      0.220     0.41     0.02    0.250     0.41     0.01
1997bs?     NGC3627                      0.419     2.38     0.06    0.439     3.01     0.02
2009hd      NGC3627                      0.448     0.81     0.03    0.465     1.32     0.01
1983W       NGC3625                      1.000    -2.36     0.11    1.000    -2.58     0.07
2005km      UGC06356                     0.324     0.52     0.81    0.438     0.28     0.26
2004bg      UGC06363                     0.531     0.24     0.06    0.503     0.35     0.03
1964A       NGC3631                      0.924     3.03     0.58    0.933     0.69     0.07
1965L       NGC3631                      0.455     1.78     9.00    0.495     1.83     0.05
1996bu      NGC3631                      0.936    -0.08     9.00    0.945     0.80     9.00
1990G       IC2735                       0.355    -1.92     4.47    1.000    -4.32     9.04
1996V       NGC3644                      1.000    -1.63     0.31    1.000    -0.44     0.15
1989N       NGC3646                      0.672    -0.41     0.15    0.698    -0.31     0.03
