# Hicken et al. 2009
# Tables 3 and 4: MLCS2K2 Light Curve Fits
#
#SN Ia     Delta    Deltae   A(V)     A(V)e    (B-V)    (B-V)e   mB       mBe      mV       mVe      E(B-V)   E(B-V)e  zCMB     mU       mUe     (U-B)     (U-B)e   E(U-B)   E(U-B)e  Dm15U    Dm15Ue   Dm15B    Dm15Be   Dm15V    Dm15Ve   DtU      DtB      DtV
1999ac    -0.1440   0.0470   0.2440   0.0420  -0.0100   0.0500  14.0900   0.0400  14.0500   0.0300   0.1435   0.0247   0.0098  13.7700   0.0600  -0.2700   0.0600   0.1019   0.0175 -99.9900  -9.9900   1.3300   0.0600 -99.9900  -9.9900   4.0200   0.9800   1.9700
1999aw    -0.4580   0.0420   0.0210   0.0160  -0.0100   0.0400  16.7300   0.0400  16.7400   0.0300   0.0124   0.0094   0.0392 -99.9900  -9.9900 -99.9900  -9.9900   0.0088   0.0067 -99.9900  -9.9900   0.7900   0.0800   0.6200   0.0600 -99.9900   4.7200   1.1800
1999by     1.4650   0.0320   0.0300   0.0220   0.4000   0.0600  13.5400   0.0600  13.1000   0.0200   0.0176   0.0129   0.0028  13.7300   0.0200   0.2000   0.0600   0.0125   0.0092 -99.9900  -9.9900   1.9800   0.0800   1.2600   0.0300   0.9900   0.9700   1.0000
1999cc     0.2880   0.0940   0.0640   0.0490  -0.0100   0.0300  16.7600   0.0200  16.7500   0.0200   0.0376   0.0288   0.0315  16.4400   0.0500  -0.3100   0.0600   0.0267   0.0204 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   4.9100   0.8100   0.9800
1999cl    -0.0160   0.0860   2.1980   0.0660   1.1200   0.0500  14.8700   0.0400  13.7200   0.0400   1.2929   0.0388   0.0087  15.5100   0.0700   0.6600   0.0800   0.9180   0.0275 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   1.9800   1.9500   2.9900
1999da     1.4870   0.0430   0.0660   0.0490   0.5200   0.0500  16.6500   0.0400  16.0600   0.0400   0.0388   0.0288   0.0125 -99.9900  -9.9900 -99.9900  -9.9900   0.0275   0.0204 -99.9900  -9.9900   1.9200   0.1100   1.1500   0.1000 -99.9900   1.8400   2.0800
1999dk    -0.3060   0.0530   0.2520   0.0580   0.0500   0.0500  14.8100   0.0500  14.7600   0.0400   0.1482   0.0341   0.0139  14.5400   0.0900  -0.2400   0.1000   0.1052   0.0242   1.9300   0.2100   1.1900   0.0500   0.6400   0.0500   7.8900   1.2400   1.2400
1999dq    -0.3590   0.0340   0.2990   0.0510   0.0700   0.0800  14.4200   0.0800  14.3400   0.0600   0.1759   0.0300   0.0135  13.8800   0.1000  -0.4800   0.1000   0.1249   0.0213 -99.9900  -9.9900   0.8600   0.1100   0.5500   0.0800   1.0100   0.9500   0.9400
1999ee    -0.2780   0.0370   0.6430   0.0410   0.2700   0.0300  14.8500   0.0200  14.5600   0.0200   0.3782   0.0241   0.0106  14.6500   0.0300  -0.1800   0.0300   0.2685   0.0171   1.2300   0.0600   0.9000   0.0300   0.6500   0.0300   2.9400   0.9500   0.8700
1999ek     0.0560   0.0780   0.3120   0.1560   0.1000   0.3700  15.6100   0.3700  15.4900   0.2800   0.1835   0.0918   0.0176 -99.9900  -9.9900 -99.9900  -9.9900   0.1303   0.0652 -99.9900  -9.9900   1.2100   0.3700   0.7200   0.2800 -99.9900   2.0300   0.8500
