# SITEPH_SDSS SITE PHOTOMETRY - Sat Jan  3 16:51:45 2015
# SN           mj  mjerr    mj.5 mjerr    mj1  mjerr    mj2  mjerr    sbj     mh  mherr   mh.5  mherr    mh1  mherr    mh2  mherr    sbh     mk  mkerr   mk.5  mkerr    mk1  mkerr    mk2  mkerr    sbk  host                          snx     sny
2012ib     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  19.54   8.69  21.12  17.94  20.05  10.99  19.41   8.19  23.02 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC09684                    237.0   285.1
2010gh      17.54   2.76  20.33  10.03  18.77   4.89  17.30   2.48  21.01  16.28   1.93  18.96   6.64  17.45   3.32  16.07   1.76  19.75  16.22   2.33  18.53   6.75  17.21   3.68  16.03   2.14  19.70  IC4523                      167.2   173.3
2011dg      17.24   2.41  20.03   8.72  18.52   4.34  17.00   2.16  20.72  16.63   2.27  20.01  10.79  18.21   4.71  16.32   1.97  20.11  15.59   1.75  18.05   5.41  16.59   2.76  15.46   1.64  19.07  IC4523                      214.6   186.7
2010av      17.37   2.56  22.35  25.37  20.51  10.85  18.68   4.68  20.85  17.05   2.76  21.83  24.96  20.44  13.13  18.49   5.36  20.53  16.46   2.60  20.73  18.57  19.24   9.37  17.66   4.52  19.94  IC1099                      182.1   197.0
1987B       21.09  14.18 -99.00   0.01  21.09  14.18  17.01   2.17  24.57  17.97   4.21  20.17  11.58  18.07   4.41  16.24   1.90  21.45 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC5850                     891.1   673.1
1950H       16.68   1.86  19.37   6.44  17.88   3.25  16.45   1.68  20.16  16.31   1.96  19.21   7.47  17.66   3.65  16.06   1.75  19.79  15.78   1.90  18.05   5.41  16.71   2.93  15.59   1.75  19.25  NGC5857                     194.9   183.5
1955M      -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.97   4.21  22.42  32.76  20.17  11.58  17.57   3.51  21.45 -99.00   0.01  20.37  15.74  19.90  12.69 -99.00   0.01 -99.00  NGC5857                     232.9   230.5
1999A       16.86   2.03  18.86   5.10  17.42   2.63  15.89   1.30  20.34  16.89   2.56  19.02   6.85  17.48   3.36  15.78   1.54  20.37  15.68   1.82  17.65   4.51  16.19   2.30  14.93   1.29  19.16  NGC5874                     617.5   677.6
2007bh      16.97   2.13  20.50  10.82  18.97   5.36  17.56   2.80  20.45  16.62   2.26  20.49  13.44  18.95   6.63  17.34   3.16  20.10  15.89   2.01  19.36   9.90  17.91   5.08  16.52   2.67  19.37  PGC054103                   281.2   320.1
1954C       16.04   1.39  14.93   0.83  13.11   0.36  10.88   0.13  19.52  15.43   1.31  14.27   0.77  12.38   0.32  10.17   0.12  18.91  15.07   1.37  14.00   0.84  12.13   0.36   9.90   0.13  18.55  NGC5879                     684.9   660.9
1999cm      18.15   3.66  22.97  33.71  21.46  16.85  20.02   8.69  21.63  17.45   3.31  23.71  59.26  22.21  29.63  20.44  13.13  20.93  19.59  10.99 -99.00   0.01 -99.00   0.01 -99.00   0.01  23.06  UGC09766                    284.7   278.4
1999dg      15.18   0.94  18.74   4.82  17.22   2.39  15.66   1.17  18.66  14.50   0.85  18.03   4.34  16.51   2.15  14.98   1.06  17.98  14.33   0.98  17.89   5.04  16.37   2.50  14.82   1.22  17.81  UGC09758                    312.0   321.7
2009ai      17.46   2.66  22.31  24.96  20.76  12.19  19.24   6.05  20.93  17.25   3.02  22.49  33.71  21.08  17.65  19.44   8.31  20.73  17.02   3.37  22.19  36.50  20.51  16.85  18.92   8.08  20.50  UGC09757                    277.0   251.7
2007Q       15.59   1.13  19.64   7.28  18.13   3.63  16.60   1.80  19.07  14.81   0.98  18.82   6.23  17.32   3.13  15.82   1.56  18.29  14.49   1.05  18.40   6.36  16.88   3.16  15.43   1.62  17.97  NGC5888                     247.4   243.2
2010fv      15.60   1.13  19.56   7.04  18.06   3.52  16.58   1.78  19.08  15.20   1.18  19.24   7.57  17.70   3.72  16.21   1.87  18.68  14.58   1.10  18.46   6.54  16.97   3.29  15.52   1.69  18.06  NGC5888                     264.9   268.6
2002ds     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01  17.69   3.70 -99.00  16.83   3.10  18.27   6.00  16.66   2.86  15.88   1.99  20.31  ESO581-025                  695.7   742.7
1988H       18.20   3.75  19.45   6.69  17.67   2.94  16.07   1.41  21.67  16.94   2.62  17.99   4.24  16.36   2.01  14.91   1.03  20.42  17.30   3.84  18.17   5.71  17.09   3.47  15.22   1.47  20.78  NGC5878                     623.7   659.5
1963O       20.02   8.69 -99.00   0.01  22.28  24.57  18.66   4.64  23.50 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.13   3.55  20.99  20.95  17.93   5.12  16.15   2.26  20.61  NGC5905                     842.8   772.6
1940A      -99.00   0.01  18.08   3.55  16.40   1.64  14.11   0.57 -99.00  16.94   2.62  16.21   1.87  14.93   1.04  13.01   0.43  20.42  20.14  14.18  19.08   8.69  15.72   1.85  12.81   0.49  23.62  NGC5907                    1893.8  1722.0
2007ba      17.41   2.60  21.97  21.32  20.49  10.79  19.00   5.43  20.88  16.34   1.99  20.75  15.16  19.33   7.89  17.83   3.95  19.82  16.51   2.66  21.16  22.69  19.81  12.19  18.29   6.05  19.99  UGC09798                    304.8   315.6
2002ec      17.49   2.71  23.39  40.98  21.71  18.91  19.92   8.31  20.97  16.81   2.47  21.30  19.56  19.82   9.88  18.35   5.01  20.29  16.91   3.20  21.30  24.19  19.81  12.19  18.41   6.40  20.38  NGC5910                     306.4   277.4
2009bz      17.61   2.86  19.49   6.81  18.07   3.53  16.77   1.94  21.09  17.19   2.94  19.00   6.78  17.58   3.53  16.26   1.92  20.66  16.77   3.00  18.73   7.41  17.21   3.68  15.80   1.92  20.25  UGC09814                    250.8   278.0
1996ab      22.28  24.57 -99.00   0.01 -99.00   0.01 -99.00   0.01  25.76 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  18.47   6.57 -99.00   0.01 -99.00   0.01 -99.00   0.01  21.95  A152108+2755                219.9   225.3
2002cj      16.78   1.95  20.10   9.01  18.64   4.59  17.24   2.41  20.25  15.74   1.51  19.26   7.63  17.74   3.80  16.23   1.89  19.22  15.87   1.99  19.49  10.51  17.99   5.27  16.41   2.54  19.35  ESO582-005                  214.9   210.5
1990Q       16.24   1.52  17.16   2.32  15.71   1.19  14.24   0.61  19.72  15.57   1.40  16.47   2.11  15.06   1.10  13.60   0.56  19.05  15.56   1.72  16.44   2.58  15.02   1.34  13.49   0.66  19.04  NGC5917                     299.9   315.1
2001X       15.47   1.07  15.90   1.30  14.39   0.65  12.94   0.33  18.95  14.89   1.02  15.32   1.24  13.82   0.62  12.38   0.32  18.37  14.47   1.04  14.87   1.25  13.48   0.66  12.07   0.34  17.95  NGC5921                     829.4   781.9
2012ba      15.40   1.03  18.30   3.93  16.81   1.98  15.34   1.01  18.88  14.66   0.92  17.52   3.42  16.04   1.73  14.61   0.90  18.14  14.32   0.97  17.17   3.61  15.69   1.83  14.27   0.95  17.80  ESO328-046                  174.1   175.5
2004ax      14.29   0.62  17.58   2.82  16.10   1.43  14.67   0.74  17.77  13.55   0.55  16.88   2.55  15.38   1.28  13.94   0.66  17.03  13.22   0.59  16.57   2.74  15.07   1.37  13.61   0.70  16.70  NGC5939                     196.1   207.7
1971E       20.02   8.69 -99.00   0.01 -99.00   0.01 -99.00   0.01  23.50  17.22   2.98  20.65  14.49  19.15   7.24  17.91   4.09  20.70  17.60   4.41  21.87  31.47  20.14  14.18  18.86   7.87  21.08  PGC091443                   215.4   215.6
2004cq      14.85   0.80  18.04   3.49  16.57   1.77  15.19   0.94  18.33  14.17   0.73  17.36   3.19  15.89   1.61  14.51   0.86  17.65  13.88   0.80  17.02   3.36  15.56   1.72  14.22   0.93  17.36  UGC09882                    289.2   289.5
2003K       16.78   1.95  19.96   8.46  18.47   4.26  17.11   2.27  20.25  16.32   1.97  19.90  10.25  18.37   5.07  16.75   2.40  19.80  15.60   1.75  18.67   7.21  17.19   3.64  15.89   2.01  19.08  IC1129                      190.4   189.5
2012cs      17.39   2.59  21.16  14.65  19.60   7.17  17.87   3.23  20.87  18.26   4.82  22.21  29.63  20.52  13.63  18.86   6.34  21.74 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  IC1129                      214.1   196.4
2001cm      16.54   1.75  18.65   4.61  17.09   2.25  15.49   1.08  20.02  15.67   1.46  17.75   3.81  16.20   1.87  14.66   0.92  19.14  15.56   1.72  17.32   3.87  15.99   2.10  14.66   1.14  19.04  NGC5965                    1445.0  1498.9
2012el      14.87   0.81  17.95   3.34  16.44   1.67  14.92   0.83  18.35  14.03   0.69  17.02   2.72  15.54   1.37  14.08   0.70  17.51  13.86   0.79  17.00   3.34  15.47   1.65  13.91   0.80  17.34  NGC5968                     274.3   265.6
2004ci      15.25   0.96  17.75   3.04  16.22   1.51  14.64   0.73  18.73  14.52   0.86  17.00   2.69  15.49   1.35  13.91   0.65  18.00  14.21   0.92  16.73   2.95  15.21   1.46  13.57   0.69  17.69  NGC5980                     303.8   293.5
2001bs      15.43   1.05  19.36   6.41  17.86   3.21  16.37   1.62  18.91  14.87   1.01  18.76   6.07  17.27   3.05  15.81   1.56  18.35  14.52   1.07  18.37   6.28  16.88   3.17  15.45   1.64  18.00  UGC10018                    205.4   196.9
2011de      19.14   5.79  23.78  49.13  22.28  24.57  20.17   9.29  22.62 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  19.22   9.29  22.49  41.90  21.33  24.57  19.70  11.58  22.70  UGC10018                    126.7   208.1
2006be      15.69   1.18  16.93   2.09  15.18   0.94  13.08   0.36  19.17  14.94   1.04  16.19   1.85  14.38   0.81  12.19   0.29  18.41  14.50   1.06  15.72   1.85  13.98   0.83  11.84   0.31  17.98  IC4582                      245.1   238.5
2002ck      16.92   2.08  20.94  13.25  19.45   6.69  17.98   3.39  20.40  15.88   1.61  19.86  10.08  18.37   5.07  16.90   2.58  19.36  15.59   1.75  19.72  11.70  18.16   5.69  16.65   2.85  19.07  UGC10030                    286.2   273.0
2009gd      16.75   1.92  18.07   3.53  16.65   1.84  15.21   0.95  20.23  15.59   1.41  16.92   2.59  15.49   1.34  14.17   0.73  19.07  15.41   1.61  16.79   3.04  15.32   1.54  14.10   0.88  18.89  NGC5967                     261.7   261.2
2007ch      15.73   1.21  17.18   2.35  15.64   1.15  14.15   0.58  19.21  15.06   1.10  16.43   2.07  14.97   1.06  13.54   0.55  18.54  14.70   1.16  16.15   2.26  14.59   1.10  13.18   0.57  18.18  NGC6000                     251.1   225.4
2010as      12.84   0.32  14.32   0.63  12.73   0.30  11.11   0.14  16.32  12.07   0.28  13.56   0.55  11.96   0.26  10.29   0.12  15.55  11.70   0.29  13.22   0.58  11.58   0.28   9.86   0.12  15.17  NGC6000                     232.7   229.4
1998ct      15.79   1.24  19.62   7.22  18.08   3.56  16.57   1.77  19.27  15.05   1.10  18.93   6.55  17.38   3.21  15.84   1.58  18.53  14.92   1.28  18.52   6.73  17.04   3.41  15.62   1.77  18.40  UGC10062                    200.9   209.9
2009dc      18.48   4.28  21.67  18.57  20.29   9.83  18.83   5.01  21.96 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC10064                    332.7   337.7
2000cf      17.05   2.22  21.96  21.19  20.53  10.99  18.96   5.33  20.53  16.24   1.90  21.15  18.25  19.69   9.29  18.12   4.50  19.72  15.79   1.91  20.66  18.02  19.21   9.24  17.68   4.56  19.27  MCG+11-19-025               221.7   229.1
2004bu      16.42   1.66  19.45   6.69  17.93   3.32  16.46   1.69  19.90  15.61   1.42  18.45   5.26  16.99   2.69  15.64   1.44  19.09  15.46   1.64  18.26   5.96  16.81   3.06  15.49   1.66  18.94  UGC10089                    216.4   227.8
2004di      17.68   2.96  21.04  13.90  19.56   7.02  17.89   3.25  21.16  16.72   2.36  20.00  10.72  18.51   5.39  16.98   2.66  20.19  16.06   2.16  19.04   8.55  17.58   4.36  16.23   2.34  19.54  UGC10097                    403.8   367.7
1991M      -99.00   0.01 -99.00   0.01  19.58   7.09  16.95   2.11 -99.00  17.53   3.44  18.39   5.12  17.28   3.07  16.34   1.99  21.01 -99.00   0.01 -99.00   0.01 -99.00   0.01  16.38   2.51 -99.00  IC1151                      569.7   663.6
2000cg      15.91   1.31  19.92   8.29  18.46   4.23  16.94   2.10  19.39  15.28   1.22  19.11   7.11  17.68   3.69  16.23   1.89  18.76  14.96   1.30  18.82   7.73  17.38   3.97  15.93   2.04  18.44  UGC10121                    259.2   266.1
2000cb      16.59   1.79  17.22   2.39  16.20   1.50  15.33   1.00  20.07  16.30   1.95  16.93   2.60  15.90   1.63  14.63   0.91  19.78  16.02   2.13  16.50   2.66  15.74   1.87  14.37   1.00  19.50  IC1158                      371.8   337.7
1999cc      16.49   1.71  21.03  13.79  19.51   6.86  17.96   3.36  19.97  15.77   1.53  20.12  11.33  18.61   5.65  17.10   2.83  19.24  15.16   1.43  19.45  10.33  17.92   5.11  16.47   2.61  18.64  NGC6038                     198.6   216.3
2008ev      16.07   1.40  20.01   8.64  18.53   4.36  17.08   2.24  19.54  15.38   1.28  19.25   7.60  17.79   3.88  16.37   2.02  18.86  15.02   1.34  19.16   9.03  17.65   4.50  16.14   2.24  18.50  UGC10155                    207.7   221.4
1968K       17.73   3.02  21.70  18.83  20.12   9.09  18.72   4.77  21.21  17.39   3.23  21.07  17.58  19.72   9.41  18.44   5.24  20.87  17.75   4.73 -99.00   0.01 -99.00   0.01 -99.00   0.01  21.23  PGC084703                   216.9   223.3
2003gp      16.68   1.86  20.91  13.10  19.43   6.61  17.94   3.33  20.16  16.39   2.03  20.69  14.73  19.23   7.51  17.69   3.70  19.87  16.08   2.19  21.01  21.19  19.49  10.54  17.64   4.49  19.56  UGC10160                    375.4   378.8
1982aa      15.29   0.98  18.04   3.49  16.53   1.74  15.00   0.86  18.77  14.66   0.92  17.43   3.28  15.91   1.63  14.35   0.80  18.14  14.22   0.93  16.90   3.20  15.42   1.61  13.95   0.82  17.70  NGC6052                     213.0   225.3
2008ek      16.91   2.07  21.42  16.55  19.86   8.08  18.30   3.93  20.39  15.99   1.70  20.31  12.36  18.80   6.17  17.30   3.10  19.47  16.01   2.11  20.37  15.79  18.93   8.11  17.35   3.92  19.49  IC1181                      279.9   265.7
1997dd      19.78   7.77  22.79  31.08  21.09  14.18  19.14   5.79  23.26  21.05  17.37  20.61  14.18  19.95  10.48  20.29  12.28  24.53  17.44   4.09  21.33  24.57  19.08   8.69  16.82   3.07  20.92  NGC6060                     452.3   381.8
2007cu      16.42   1.66  20.68  11.75  19.16   5.83  17.57   2.81  19.90  15.68   1.47  19.78   9.68  18.27   4.83  16.77   2.43  19.16  15.68   1.82  20.32  15.44  18.78   7.58  16.99   3.33  19.16  UGC10214                    417.8   386.2
2008dq      16.52   1.73  20.77  12.24  19.31   6.27  17.76   3.07  20.00  16.09   1.77  20.46  13.25  18.97   6.69  17.44   3.30  19.57  15.52   1.69  19.65  11.31  18.14   5.65  16.65   2.85  19.00  UGC10214                    396.9   396.1
1999ac      17.37   2.56  19.19   5.92  17.65   2.92  16.46   1.69  20.85 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  16.58   2.75  18.68   7.24  16.80   3.05  15.80   1.92  20.05  NGC6063                     407.2   413.7
2006cc      15.74   1.21  19.82   7.91  18.32   3.97  16.86   2.03  19.22  14.91   1.03  18.96   6.65  17.46   3.33  16.01   1.70  18.39  14.73   1.18  19.00   8.40  17.50   4.20  15.95   2.06  18.21  UGC10244                    271.6   273.9
2001aj      17.78   3.10  21.33  15.84  19.85   8.02  18.52   4.34  21.26 -99.00   0.01  21.73  23.83  20.75  15.16 -99.00   0.01 -99.00  15.80   1.92  19.28   9.54  17.81   4.84  16.46   2.60  19.27  UGC10243                    184.7   182.2
2008cl      15.78   1.23  21.49  17.04  19.97   8.47  18.46   4.24  19.26  15.31   1.24  21.13  18.05  19.55   8.70  18.00   4.28  18.79  15.00   1.33  20.88  19.96  19.37   9.93  17.87   4.98  18.48  UGC10261                    473.3   483.1
2003au      15.04   0.88  19.14   5.79  17.69   2.96  16.16   1.47  18.52  14.28   0.77  18.34   4.99  16.88   2.55  15.37   1.27  17.76  14.06   0.86  18.21   5.84  16.75   2.97  15.20   1.46  17.54  NGC6095                     336.7   337.7
2002ci      14.86   0.81  18.21   3.78  16.70   1.88  15.25   0.97  18.34  14.10   0.71  17.45   3.31  15.93   1.64  14.48   0.84  17.58  13.67   0.72  16.99   3.33  15.47   1.65  14.04   0.85  17.15  UGC10301                    208.1   214.3
2006dc      16.77   1.94  20.66  11.66  19.15   5.81  17.55   2.78  20.25  16.02   1.72  19.70   9.33  18.21   4.70  16.74   2.39  19.50  15.63   1.78  19.72  11.70  18.23   5.89  16.48   2.63  19.11  IC4596                      193.5   213.5
2002de      14.75   0.77  18.68   4.69  17.20   2.36  15.68   1.18  18.23  14.09   0.71  18.04   4.35  16.55   2.20  15.03   1.09  17.57  13.75   0.75  17.81   4.84  16.32   2.44  14.73   1.18  17.23  NGC6104                     238.2   235.4
2011bn      16.88   2.05  21.16  14.65  19.62   7.21  18.08   3.55  20.36  15.91   1.63  19.81   9.83  18.28   4.87  16.87   2.54  19.39  16.23   2.34  20.76  18.91  19.08   8.69  17.55   4.31  19.71  UGC10306                    246.7   210.7
2003ia      16.31   1.57  20.53  10.95  18.99   5.39  17.42   2.63  19.79  15.37   1.27  19.34   7.91  17.82   3.93  16.36   2.00  18.85  15.11   1.40  19.10   8.79  17.60   4.39  16.12   2.22  18.59  NGC6109                     268.1   268.4
2010an      14.66   0.74  18.81   4.97  17.26   2.43  15.74   1.21  18.14  13.97   0.67  18.14   4.55  16.58   2.22  15.06   1.10  17.44  13.67   0.72  17.88   5.00  16.31   2.43  14.77   1.20  17.15  NGC6109                     276.8   271.3
2001ab      16.71   1.89  19.63   7.24  18.12   3.62  16.56   1.76  20.19  16.49   2.13  23.06  43.95  18.99   6.75  16.28   1.93  19.97  15.91   2.03  18.65   7.15  17.19   3.65  15.76   1.89  19.39  NGC6130                     320.7   343.5
2003ge      17.30   2.48  21.60  17.94  20.06   8.86  18.54   4.39  20.78  18.26   4.82  22.70  37.14  21.40  20.49  19.81   9.83  21.74  19.08   8.69 -99.00   0.01 -99.00   0.01 -99.00   0.01  22.55  NGC6122                     217.2   205.0
2000cq      18.74   4.82  22.97  33.71  21.23  15.16  19.78   7.77  22.22  20.61  14.18 -99.00   0.01 -99.00   0.01 -99.00   0.01  24.08  16.32   2.44  19.96  13.07  18.48   6.60  17.14   3.56  19.80  UGC10354                    482.3   450.2
2003iy      16.04   1.39  18.86   5.09  17.40   2.60  15.97   1.34  19.52  15.22   1.19  18.25   4.80  16.72   2.37  15.14   1.15  18.70  15.24   1.49  18.40   6.37  16.84   3.11  15.16   1.43  18.72  NGC6143                     321.6   327.0
2004dk      16.53   1.74  16.89   2.05  15.65   1.16  14.13   0.58  20.01  15.84   1.58  16.24   1.90  14.88   1.01  13.31   0.49  19.32  15.56   1.72  15.94   2.05  14.53   1.07  13.12   0.56  19.04  NGC6118                    1201.6  1249.2
2009he      17.64   2.90  22.31  24.96  20.74  12.10  18.97   5.36  21.11  16.38   2.03  20.68  14.65  19.22   7.49  17.56   3.49  19.86  16.87   3.15  20.38  15.84  19.09   8.75  17.77   4.77  20.35  UGC10361                    192.3   221.2
2007bj      13.84   0.50  16.93   2.09  15.34   1.01  13.64   0.46  17.32  13.16   0.46  16.23   1.89  14.65   0.92  12.96   0.42  16.64  12.79   0.48  15.90   2.01  14.30   0.96  12.59   0.44  16.27  NGC6172                     220.8   226.1
2006R       16.15   1.46  20.35  10.10  18.82   5.00  17.39   2.58  19.63  15.47   1.33  19.89  10.18  18.31   4.94  16.80   2.46  18.95  15.09   1.39  19.27   9.49  17.81   4.86  16.35   2.48  18.57  NGC6142                     310.7   328.9
2009fl      15.79   1.23  19.75   7.66  18.22   3.79  16.75   1.92  19.26  15.50   1.35  19.70   9.33  18.15   4.58  16.58   2.22  18.97  15.15   1.43  19.15   8.99  17.64   4.49  16.16   2.27  18.63  NGC6146                     450.8   435.4
2009eu      16.90   2.06  20.96  13.37  19.46   6.72  17.95   3.34  20.38  16.15   1.82  20.08  11.13  18.58   5.58  17.11   2.84  19.63  16.01   2.11  19.88  12.58  18.35   6.22  16.97   3.30  19.49  NGC6166                     544.5   584.8
2002cg      14.57   0.70  18.77   4.89  17.31   2.49  15.76   1.22  18.05  13.91   0.65  18.15   4.58  16.68   2.33  15.12   1.14  17.39  13.53   0.68  17.75   4.72  16.28   2.40  14.72   1.17  17.01  UGC10415                    223.0   222.6
2009fv      14.52   0.69  18.63   4.57  17.08   2.24  15.57   1.12  18.00  13.78   0.61  17.90   4.07  16.34   1.99  14.82   0.99  17.26  13.56   0.69  17.64   4.48  16.08   2.19  14.59   1.10  17.04  NGC6173                     558.9   551.3
1997cq     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.37   3.20  21.91  25.81  20.26  12.10  18.72   5.96  20.85 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC10420                    481.1   441.4
1992ap      18.59   4.49 -99.00   0.01 -99.00   0.01  20.77  12.28  22.07 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.50   4.21  22.71  46.32  21.65  28.37  18.95   8.19  20.98  UGC10430                    217.7   240.7
1998cs      17.23   2.40  21.84  20.06  20.40  10.36  18.90   5.18  20.71  17.05   2.76  23.18  46.32  21.56  21.97  19.54   8.69  20.53  17.44   4.09  25.10 138.97  22.84  49.13  20.23  14.81  20.92  UGC10432                    257.5   276.3
1926B       16.25   1.53  17.58   2.82  16.15   1.46  14.91   0.82  19.72  15.74   1.51  16.95   2.63  15.66   1.45  14.42   0.82  19.22  15.45   1.63  16.79   3.03  15.35   1.56  14.17   0.91  18.93  NGC6181                     431.7   482.9
2011gd      13.29   0.39  14.93   0.83  13.47   0.43  12.22   0.24  16.77  12.52   0.34  14.17   0.73  12.71   0.37  11.46   0.21  16.00  12.20   0.37  13.84   0.78  12.38   0.40  11.13   0.22  15.67  NGC6186                     187.6   191.2
2001az      15.73   1.20  20.73  12.05  19.13   5.75  17.59   2.84  19.21  15.02   1.08  19.84   9.98  18.29   4.89  16.80   2.45  18.50  14.41   1.01  19.41  10.14  17.84   4.91  16.29   2.41  17.89  UGC10483                    197.8   191.6
2001dq      16.93   2.09  21.08  14.11  19.57   7.06  18.08   3.55  20.41  16.03   1.72  20.00  10.72  18.51   5.39  17.06   2.77  19.51  15.64   1.79  19.74  11.79  18.24   5.92  16.72   2.94  19.12  IC1222                      390.4   408.4
1975K       15.23   0.96  19.31   6.27  17.82   3.16  16.31   1.57  18.71  14.68   0.92  18.79   6.15  17.29   3.08  15.77   1.53  18.15  14.22   0.93  18.15   5.67  16.68   2.88  15.22   1.47  17.70  NGC6195                     275.2   286.3
2004A       18.10   3.58  18.52   4.34  16.80   1.97  15.04   0.88  21.58  17.53   3.44  17.88   4.04  16.21   1.87  14.66   0.92  21.01  18.83   7.77  18.32   6.14  17.57   4.34  14.29   0.96  22.31  NGC6207                     957.8   952.1
2007ac      18.22   3.79  22.35  25.37  20.84  12.69  19.34   6.34  21.70  16.84   2.51  22.31  31.08  20.20  11.75  18.26   4.82  20.32  18.03   5.36 -99.00   0.01 -99.00   0.01 -99.00   0.01  21.51  UGC10550                    343.6   347.9
2007is      15.42   1.04  19.57   7.06  18.03   3.47  16.51   1.72  18.90  14.65   0.91  18.75   6.03  17.21   2.97  15.71   1.49  18.13  14.39   1.01  18.64   7.10  17.05   3.42  15.51   1.68  17.87  UGC10553                    220.7   213.0
2008bu      17.25   2.42  20.37  10.19  18.94   5.27  17.64   2.90  20.73  17.04   2.75  19.92  10.36  18.56   5.53  17.34   3.15  20.52  15.94   2.05  18.95   8.19  17.50   4.21  16.25   2.36  19.42  ESO586-002                  245.0   209.4
1994Q       16.84   2.01  20.90  13.02  19.36   6.40  17.87   3.23  20.32  15.89   1.62  20.09  11.20  18.53   5.46  16.99   2.68  19.37  15.99   2.10  20.10  13.90  18.59   6.95  17.06   3.44  19.47  PGC059076                   225.7   220.0
2011aj      17.93   3.31  21.60  17.94  19.81   7.87  17.82   3.15  21.41  17.07   2.78  19.83   9.93  18.37   5.07  17.04   2.75  20.55 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC6246A                    262.6   225.7
2003hf      15.23   0.96  19.36   6.42  17.87   3.22  16.37   1.62  18.71  14.57   0.88  18.69   5.86  17.18   2.93  15.69   1.47  18.04  14.25   0.94  18.33   6.17  16.82   3.08  15.35   1.56  17.73  UGC10586                    284.3   278.5
2003cm      16.22   1.51  17.84   3.18  16.43   1.66  15.15   0.92  19.70  15.62   1.43  17.20   2.96  15.83   1.57  14.56   0.88  19.10  15.21   1.46  16.93   3.23  15.44   1.63  14.05   0.86  18.69  UGC10590                    219.0   220.4
1990W       13.71   0.47  11.29   0.16   9.90   0.08   9.22   0.06  17.18  12.93   0.41  10.46   0.13   9.12   0.07   8.41   0.05  16.41  12.61   0.44  10.07   0.14   8.75   0.07   8.13   0.06  16.09  NGC6221                     873.4   887.5
2000bg      14.68   0.74  18.15   3.66  16.65   1.84  15.23   0.96  18.15  14.00   0.68  17.53   3.44  16.02   1.71  14.57   0.88  17.47  13.72   0.74  17.27   3.78  15.76   1.89  14.31   0.97  17.20  NGC6240                     446.7   422.5
2010gp      18.27   3.88  21.48  16.98  20.00   8.62  18.72   4.77  21.75  17.60   3.55  22.11  28.37  20.44  13.13  18.57   5.56  21.07  16.54   2.70  19.97  13.13  18.52   6.72  17.06   3.44  20.01  NGC6240                     457.7   388.4
2013dc      16.31   1.57  19.94   8.35  18.42   4.16  16.94   2.10  19.79  15.27   1.21  18.83   6.26  17.36   3.18  15.89   1.62  18.75  15.12   1.40  18.68   7.24  17.17   3.61  15.71   1.85  18.59  NGC6240                     434.1   457.2
1998cx      15.97   1.34  19.09   5.65  17.59   2.84  16.12   1.44  19.45  15.41   1.29  18.62   5.68  17.13   2.86  15.58   1.40  18.89  15.17   1.44  18.29   6.05  16.80   3.05  15.33   1.55  18.65  NGC6209                     573.1   553.4
2009fz      19.68   7.41  23.18  37.14  21.67  18.57  20.02   8.69  23.15 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  18.03   5.36 -99.00   0.01 -99.00   0.01  18.39   6.34  21.51  NGC6209                     604.3   581.4
2007hu      14.94   0.84  19.35   6.38  17.86   3.21  16.34   1.59  18.42  14.11   0.71  18.49   5.35  16.99   2.68  15.48   1.34  17.59  13.83   0.78  18.19   5.79  16.71   2.92  15.20   1.46  17.31  NGC6261                     303.3   297.6
2008dt      15.05   0.88  19.56   7.03  18.03   3.47  16.52   1.73  18.53  14.30   0.78  18.86   6.34  17.32   3.12  15.78   1.54  17.78  13.98   0.83  18.54   6.80  17.01   3.35  15.48   1.66  17.46  NGC6261                     295.4   290.4
2005ep      17.20   2.36  21.19  14.90  19.69   7.45  18.17   3.70  20.67  18.00   4.28 -99.00   0.01 -99.00   0.01  20.44  13.13  21.48  16.45   2.59  20.29  15.16  18.85   7.82  17.31   3.86  19.93  UGC10626                    198.9   192.4
