#SN    zhel   zcmb   ebvmw mjdmax    bmag     err    s      err     clr     err     cos     use
2002kf 0.0193 0.0195 0.117 52638.90  15.636   0.055  0.844  0.028  -0.052   0.020    1       1
2003cg 0.0041 0.0053 0.031 52729.07  15.793   0.016  0.952  0.010   1.148   0.011    1       1
2003ch 0.0300 0.0306 0.070 52725.83  16.686   0.034  0.814  0.031   0.001   0.018    1       1
2003cq 0.0333 0.0338 0.020 52738.89 -99.999  -9.999  0.918  0.029 -99.999  -9.999    0       0
2003du 0.0064 0.0066 0.010 52765.37  13.466   0.008  1.006  0.007  -0.112   0.007    1       1
2003fa 0.0394 0.0391 0.039 52806.47  16.712   0.022  1.153  0.015  -0.002   0.013    1       1
2003hu 0.0750 0.0747 0.061 52899.42  18.461   0.137  1.160  0.058   0.136   0.027    1       1
2003hx 0.0071 0.0074 0.084 52900.07  14.864   0.046  0.836  0.063   0.011   0.022    1       1
2003ic 0.0557 0.0546 0.038 52907.20  17.663   0.075  0.745  0.054   0.004   0.025    0       1
2003iv 0.0343 0.0336 0.137 52934.42  16.986   0.058  0.696  0.073  -0.037   0.024    1       1
2003kc 0.0332 0.0341 0.020 52978.80  17.136   0.048  0.842  0.037   0.104   0.032    0       1
2003kf 0.0074 0.0077 0.313 52980.45  13.272   0.129  1.040  0.025  -0.016   0.038    1       1
2003U  0.0283 0.0282 0.030 52676.76  16.508   0.029  0.794  0.023   0.013   0.022    1       1
2003W  0.0201 0.0211 0.048 52679.85  15.880   0.023  0.986  0.018   0.137   0.014    1       1
2004as 0.0310 0.0321 0.015 53085.35  16.964   0.022  1.060  0.043   0.064   0.021    1       1
2004eo 0.0157 0.0148 0.109 53277.91  15.076   0.045  0.869  0.005   0.049   0.013    1       1
2004fu 0.0092 0.0087 0.387 53325.23  14.253   0.160  0.867  0.012   0.007   0.044    1       1
2004L  0.0323 0.0334 0.032 53028.91  17.296   0.052  0.928  0.039   0.159   0.026    1       1
2004S  0.0094 0.0099 0.101 53039.48  14.131   0.051  0.976  0.034   0.012   0.023    1       1
2005am 0.0079 0.0090 0.054 53437.00  13.664   0.025  0.697  0.016   0.049   0.011    1       1
2005cf 0.0064 0.0070 0.097 53533.39  13.238   0.040  0.983  0.004  -0.035   0.011    1       1
2005el 0.0149 0.0149 0.114 53646.02  14.840   0.049  0.809  0.013  -0.068   0.018    1       1
2005eq 0.0290 0.0284 0.074 53653.47  16.300   0.032  1.177  0.015   0.048   0.014    1       1
2005eu 0.0349 0.0341 0.131 53659.69  16.498   0.060  1.109  0.015   0.004   0.027    1       1
2005ew 0.0030 0.0025 0.500 53634.46  12.908   0.223  1.239  0.033  -0.092   0.055    0       1
2005hc 0.0459 0.0450 0.033 53667.60  17.364   0.019  1.020  0.031  -0.015   0.014    1       1
2005hf 0.0431 0.0421 0.054 53662.90  17.135   0.127  0.760  0.032  -0.091   0.051    1       1
2005hj 0.0574 0.0576 0.039 53671.90  17.679   0.038  1.258  0.050  -0.048   0.018    1       1
2005hk 0.0130 0.0118 0.022 53685.11  15.951   0.015  0.878  0.005   0.282   0.015    0       1
2005iq 0.0340 0.0329 0.022 53687.07  16.818   0.018  0.866  0.019  -0.067   0.014    1       1
2005ir 0.0763 0.0753 0.031 53680.38  18.424   0.034  1.442  0.113  -0.012   0.034    1       1
2005kc 0.0151 0.0139 0.132 53697.19  15.606   0.056  0.933  0.017   0.227   0.020    1       1
2005ke 0.0049 0.0045 0.025 53698.74  14.804   0.026  0.643  0.012   0.574   0.019    0       1
2005ki 0.0192 0.0204 0.032 53704.42  15.554   0.025  0.801  0.012  -0.085   0.021    1       1
2005ls 0.0211 0.0205 0.093 53713.93  16.248   0.042  1.127  0.034   0.360   0.018    1       1
2005lu 0.0320 0.0313 0.026 53722.42  18.139   0.057  1.001  0.125   0.409   0.037    0       0
2005lz 0.0410 0.0402 0.090 53735.54  17.620   0.040  0.823  0.020   0.095   0.018    1       1
2005mc 0.0252 0.0260 0.044 53734.26  17.233   0.023  0.651  0.015   0.238   0.015    0       1
2005ms 0.0252 0.0259 0.034 53743.30  16.159   0.022  1.060  0.020  -0.012   0.016    1       1
2005mz 0.0176 0.0170 0.163 53744.97  16.420   0.068  0.608  0.008   0.281   0.023    0       1
2005na 0.0263 0.0268 0.078 53739.21  15.969   0.065  0.987  0.037  -0.070   0.025    1       1
2006ac 0.0231 0.0239 0.016 53781.22  16.185   0.017  0.874  0.016   0.096   0.015    1       1
2006ak 0.0381 0.0391 0.033 53781.48  17.236   0.100  0.838  0.037   0.055   0.036    1       1
2006al 0.0679 0.0690 0.026 53787.70  18.439   0.050  0.781  0.037  -0.054   0.020    1       1
2006an 0.0640 0.0651 0.027 53790.61  18.153   0.032  1.071  0.042   0.035   0.016    1       1
2006ar 0.0225 0.0229 0.014 53813.23  16.480   0.014  0.919  0.031   0.136   0.014    1       1
