# LGA_SNAN run on Thu Aug  7 15:23:29 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1967C       18.63   0.36  18.72   0.37  17.49   0.21  16.46   0.13  22.11  1.000 -99.00  -9.00  18.44   0.39  18.55   0.41  17.05   0.20  16.09   0.13  21.92  1.000 -99.00  -9.00  18.81   0.61  18.92   0.64  17.29   0.30  15.89   0.16  22.29  1.000 -99.00  -9.00  NGC3389            292.6    293.9
1968A       15.94   0.11  18.80   0.41  17.30   0.20  15.79   0.10  19.42  0.521  -0.50   0.25  15.34   0.09  18.20   0.34  16.70   0.17  15.18   0.09  18.82  0.542  -0.45   0.33  14.99   0.10  17.85   0.39  16.35   0.19  14.84   0.10  18.47  0.530  -0.49   0.40  NGC1275            592.3    576.1
1968D       15.02   0.08  12.86   0.03  11.32   0.01   9.73   0.01  18.50  0.156  -0.18   0.26  14.77   0.07  12.61   0.03  11.07   0.01   9.46   0.01  18.25  0.155  -0.12   0.24  14.21   0.08  12.02   0.03  10.49   0.01   8.86   0.01  17.69  0.175  -0.09   0.28  NGC6946            656.2    620.8
1968L       11.03   0.01   8.56   0.00   7.93   0.00   7.34   0.00  14.51  0.019  -0.55   0.39  10.33   0.01   7.85   0.00   7.22   0.00   6.65   0.00  13.81  0.021  -0.49   0.36   9.95   0.01   7.48   0.00   6.88   0.00   6.34   0.00  13.43  0.023  -0.47   0.34  NGC5236            904.0   1200.1
1969B       15.38   0.08  14.95   0.06  13.47   0.03  11.96   0.02  18.86  1.000 -99.00  -9.00  14.64   0.08  14.21   0.06  12.70   0.03  11.20   0.02  18.12  1.000 -99.00  -9.00  14.29   0.07  13.86   0.06  12.36   0.03  10.89   0.02  17.77  1.000 -99.00  -9.00  NGC3556            686.2    589.8
1969H       14.18   0.05  13.36   0.03  11.84   0.02  10.21   0.01  17.66  0.193  -0.45   0.10  13.46   0.05  12.64   0.03  11.12   0.02   9.50   0.01  16.93  0.167  -0.46   0.09  13.25   0.05  12.43   0.03  10.91   0.02   9.27   0.01  16.73  0.185  -0.44   0.10  NGC4725            481.9    607.9
1970G       17.10   0.18  15.24   0.08  14.24   0.05  13.74   0.04  20.58  0.935  -2.25   3.22  16.38   0.15  14.50   0.06  13.34   0.04  12.57   0.03  19.86  0.951  -2.26   4.30  16.61   0.22  14.46   0.08  13.20   0.05  12.16   0.03  20.09  0.924  -1.48   4.33  NGC5457           1302.6    818.0
1971I       18.96   0.43  17.34   0.20  15.49   0.09  13.87   0.04  22.44  0.945   0.26   1.57  17.51   0.29  16.08   0.15  14.37   0.07  12.86   0.03  20.99  0.952  -0.50   2.17 -99.00  -9.00 -99.00  -9.00  15.83   0.15  13.03   0.04 -99.00  0.948 -99.00  -9.00  NGC5055            696.6    546.2
1971L       15.54   0.09  15.32   0.08  13.80   0.04  12.26   0.02  19.02  0.340  -0.52   0.22  14.70   0.08  14.49   0.07  12.98   0.03  11.47   0.02  18.18  0.314  -0.66   0.25  14.56   0.09  14.34   0.08  12.82   0.04  11.28   0.02  18.04  0.368  -0.57   0.26  NGC6384            476.0    520.3
1971P       17.83   0.26  21.28   1.26  19.76   0.62  18.18   0.30  21.31  0.702  -0.77   1.19  17.07   0.24  20.55   1.18  19.02   0.58  17.44   0.28  20.55  0.686  -0.32   0.90  17.33   0.30  21.23   1.82  19.65   0.88  17.78   0.37  20.81  0.738  -0.14   1.53  NGC7319            398.6    515.6
1972E       19.13   0.48  15.50   0.09  13.97   0.04  12.02   0.02  22.61  0.895  -0.09   1.85 -99.00  -9.00  14.81   0.08  13.28   0.04  11.45   0.02 -99.00  0.915 -99.00  -9.00  18.02   0.45  16.48   0.22  12.96   0.04  11.10   0.02  21.50  0.888  -0.04   2.55  NGC5253            442.0    296.0
1972R       16.70   0.15  16.04   0.11  14.36   0.05  12.93   0.03  20.18  0.791  -0.26   0.31  16.16   0.13  15.48   0.10  13.73   0.04  12.26   0.02  19.64  0.792  -0.07   0.32  15.94   0.16  15.28   0.12  13.52   0.05  12.01   0.03  19.42  0.806  -0.08   0.39  NGC2841            647.7    530.5
1973R       15.29   0.08  14.08   0.04  12.54   0.02  10.99   0.01  18.76  0.397  -0.19   0.41  14.60   0.08  13.39   0.04  11.85   0.02  10.29   0.01  18.07  0.405  -0.20   0.45  14.25   0.07  13.06   0.04  11.53   0.02  10.01   0.01  17.73  0.406  -0.28   0.51  NGC3627            651.2    626.5
1975A       19.05   0.48  20.68   1.01  19.16   0.50  17.62   0.25  22.53  0.965  -0.71   2.76 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.974 -99.00  -9.00  18.37   0.54  19.77   1.03  18.45   0.56  17.55   0.37  21.85  0.970  -0.72   6.39  NGC2207            440.0    555.5
1975P       17.28   0.20  18.43   0.34  16.96   0.17  15.51   0.09  20.76  0.943  -1.37   2.01  17.07   0.24  18.28   0.41  16.72   0.20  15.15   0.10  20.54  0.977  -1.37   3.33  16.60   0.22  17.81   0.38  16.25   0.18  14.77   0.09  20.08  0.940  -1.03   2.87  NGC3583            347.2    367.0
1975S       18.69   0.38  18.86   0.41  17.21   0.19  15.64   0.09  22.17  0.949  -1.61   3.06  18.26   0.40  18.40   0.43  17.06   0.23  15.38   0.11  21.74  0.980  -1.65   7.19  16.51   0.23  16.65   0.24  15.51   0.14  14.78   0.10  19.99  0.976  -3.22   9.27  NGC1325            344.3    474.8
1976D       16.60   0.16  17.58   0.24  16.13   0.13  14.76   0.07  20.08  0.838  -1.25   1.10  16.26   0.16  17.28   0.25  15.77   0.13  14.26   0.06  19.74  0.853  -0.85   1.31  15.86   0.17  16.87   0.27  15.37   0.13  13.84   0.07  19.33  0.894  -1.25   2.39  NGC5427            353.4    467.2
1976K       16.57   0.14  18.08   0.28  16.56   0.14  15.02   0.07  20.04  0.701  -0.12   0.34  16.07   0.13  17.59   0.26  16.07   0.13  14.51   0.06  19.55  0.806  -0.12   0.42  15.70   0.15  17.20   0.29  15.69   0.15  14.18   0.07  19.18  0.777  -0.18   0.49  NGC3226            375.3    421.1
1978G      -99.00  -9.00  20.18   0.76  16.76   0.16  15.48   0.09 -99.00  1.000 -99.00  -9.00  18.32   0.41  17.55   0.29  16.26   0.16  14.64   0.08  21.80  1.000 -99.00  -9.00  19.59   0.94  17.04   0.29  14.76   0.10  13.66   0.06  23.07  1.000 -99.00  -9.00  IC5201             495.5    544.1
1978K       19.98   0.72  18.39   0.34 -99.00  -9.00  14.46   0.06  23.46  1.000 -99.00  -9.00  18.19   0.39  16.89   0.21  15.72   0.13  13.23   0.04  21.67  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  17.03   0.29  13.08   0.05 -99.00  1.000 -99.00  -9.00  NGC1313            822.9    408.3
1979A       16.95   0.19  17.51   0.24  16.00   0.12  14.47   0.06  20.43  0.596  -0.14   0.63  16.17   0.15  16.72   0.20  15.24   0.10  13.89   0.05  19.64  0.624  -0.44   0.66  16.50   0.23  17.04   0.29  15.55   0.15  13.92   0.07  19.98  0.610   0.24   0.84  NGC4647            754.5    738.5
1979C       16.39   0.13  16.40   0.13  14.93   0.07  13.46   0.03  19.86  0.667  -0.76   0.43  15.87   0.12  15.89   0.12  14.43   0.06  12.95   0.03  19.35  0.654  -0.69   0.58  15.48   0.13  15.50   0.13  14.05   0.07  12.61   0.03  18.96  0.694  -0.84   0.68  NGC4321            746.5    711.5
1980I      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00  NGC4374            -99.0    -99.0
1980K       18.86   0.45  16.13   0.13  15.01   0.08  13.11   0.03  22.33  0.955  -0.14   2.81 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  15.90   0.12 -99.00  0.938 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  12.95   0.04 -99.00  0.960 -99.00  -9.00  NGC6946            418.8    430.3
1980N       18.67   0.39  18.76   0.40  17.25   0.20  15.60   0.09  22.15  1.000 -99.00  -9.00  18.22   0.39  18.29   0.40  17.20   0.24  15.75   0.12  21.70  1.000 -99.00  -9.00  19.18   0.76  19.25   0.79  17.99   0.44  15.87   0.17  22.66  1.000 -99.00  -9.00  NGC1316            582.8    782.5
1981A       17.14   0.20  16.46   0.15  14.98   0.07  13.53   0.04  20.62  1.000 -99.00  -9.00  16.40   0.17  15.74   0.13  14.32   0.07  12.75   0.03  19.88  1.000 -99.00  -9.00  16.02   0.18  15.33   0.13  13.85   0.07  12.33   0.03  19.50  1.000 -99.00  -9.00  NGC1532            429.7    517.3
1981B       17.81   0.28  17.50   0.24  15.99   0.12  14.51   0.06  21.29  0.868  -1.25   1.81  18.39   0.44  18.07   0.38  16.75   0.20  14.46   0.07  21.87  0.895  -0.27   2.39  16.46   0.23  16.17   0.20  14.83   0.11  13.58   0.06  19.94  0.900  -1.66   2.98  NGC4536            464.0    543.3
1981D       16.14   0.12  16.22   0.12  14.69   0.06  13.15   0.03  19.61  0.865  -1.09   0.42  15.53   0.11  15.61   0.12  14.11   0.06  12.65   0.03  19.01  0.904  -1.27   0.65  15.47   0.14  15.56   0.14  13.97   0.07  12.34   0.03  18.95  0.883  -1.03   0.78  NGC1316            822.8    702.6
1981K       14.74   0.06  12.84   0.03  11.36   0.01   9.90   0.01  18.22  0.705  -2.33   0.37  14.11   0.05  12.24   0.02  10.74   0.01   9.27   0.01  17.59  0.713  -2.29   0.41  13.82   0.06  11.95   0.03  10.47   0.01   9.01   0.01  17.30  0.703  -2.34   0.48  NGC4258            681.2   1077.0
1982F       15.06   0.07  13.61   0.04  12.09   0.02  10.64   0.01  18.54  0.329  -0.76   0.22  14.42   0.07  12.96   0.04  11.45   0.02  10.04   0.01  17.90  0.343  -0.80   0.27  14.05   0.07  12.62   0.03  11.17   0.02   9.79   0.01  17.53  0.329  -0.89   0.31  NGC4490            362.2    484.2
1982R       17.13   0.19  17.24   0.20  15.75   0.10  14.38   0.05  20.60  0.800  -1.04   0.84  17.36   0.27  17.49   0.28  15.72   0.12  14.04   0.06  20.84  0.852  -0.23   1.39  18.98   0.72  19.28   0.82  16.08   0.19  13.84   0.07  22.46  0.829   1.72   1.70  NGC1187            374.1    460.6
