# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1989A       17.65   0.22  19.27   0.47  17.73   0.23  16.08   0.11  21.13 -9.000 -99.00  -9.00  16.68   0.20  18.24   0.40  16.75   0.20  15.28   0.10  20.16 -9.000 -99.00  -9.00  16.66   0.22  18.25   0.46  16.73   0.23  15.16   0.11  20.14 -9.000 -99.00  -9.00  NGC3687             88.2     49.6
1989F       18.22   0.33  19.92   0.73  18.48   0.38  17.17   0.21  21.70 -9.000 -99.00  -9.00  17.71   0.32  19.43   0.70  17.97   0.36  16.62   0.19  21.19 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC8084             27.1     68.1
1989K       18.56   0.36  20.03   0.71  18.46   0.34  16.77   0.16  22.04 -9.000 -99.00  -9.00  17.38   0.28  18.74   0.52  17.30   0.27  16.09   0.15  20.86 -9.000 -99.00  -9.00  17.12   0.28  18.48   0.52  17.04   0.27  15.67   0.14  20.59 -9.000 -99.00  -9.00  NGC5375             51.2    124.8
1989N       16.18   0.12  18.77   0.40  17.27   0.20  15.80   0.10  19.66 -9.000 -99.00  -9.00  15.69   0.11  18.31   0.37  16.81   0.18  15.30   0.09  19.17 -9.000 -99.00  -9.00  15.24   0.12  17.81   0.38  16.33   0.19  14.87   0.10  18.72 -9.000 -99.00  -9.00  NGC3646            171.4    105.4
1989U      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M+07-20-73          71.3    102.4
1990B       14.27   0.06  14.42   0.06  12.91   0.03  11.33   0.01  17.75 -9.000 -99.00  -9.00  13.50   0.05  13.65   0.05  12.14   0.02  10.56   0.01  16.98 -9.000 -99.00  -9.00  13.19   0.05  13.34   0.05  11.85   0.03  10.25   0.01  16.67 -9.000 -99.00  -9.00  NGC4568            157.9    160.8
1990H       15.00   0.07  16.03   0.11  14.51   0.05  12.98   0.03  18.48 -9.000 -99.00  -9.00  14.27   0.06  15.30   0.09  13.78   0.05  12.24   0.02  17.75 -9.000 -99.00  -9.00  14.03   0.07  15.06   0.11  13.54   0.05  11.99   0.03  17.51 -9.000 -99.00  -9.00  NGC3294            165.2    149.7
1990I      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC4650A           -99.0    149.7
1990K       15.71   0.10  15.88   0.11  14.39   0.05  12.97   0.03  19.18 -9.000 -99.00  -9.00  15.08   0.09  15.26   0.10  13.75   0.05  12.33   0.03  18.56 -9.000 -99.00  -9.00  15.00   0.11  15.18   0.12  13.65   0.06  12.14   0.03  18.48 -9.000 -99.00  -9.00  NGC150             160.5    167.6
1990M       12.09   0.02  13.72   0.04  12.27   0.02  10.96   0.01  15.57 -9.000 -99.00  -9.00  11.39   0.02  13.02   0.04  11.57   0.02  10.27   0.01  14.87 -9.000 -99.00  -9.00  11.14   0.02  12.77   0.04  11.32   0.02  10.01   0.01  14.61 -9.000 -99.00  -9.00  NGC5493             93.4     92.4
1990O       17.74   0.25  21.95   1.75  20.41   0.86  18.91   0.43  21.22 -9.000 -99.00  -9.00  18.97   0.49  25.32   9.14  23.20   3.45  21.00   1.25  22.45 -9.000 -99.00  -9.00  17.36   0.31  21.77   2.40  20.18   1.15  18.64   0.57  20.84 -9.000 -99.00  -9.00  M+03-44-03          17.1     35.2
1990Q       16.43   0.14  17.35   0.22  15.87   0.11  14.33   0.05  19.91 -9.000 -99.00  -9.00  15.85   0.13  16.78   0.20  15.28   0.10  13.69   0.05  19.33 -9.000 -99.00  -9.00  15.82   0.16  16.75   0.25  15.24   0.13  13.60   0.06  19.30 -9.000 -99.00  -9.00  NGC5917             42.7     62.9
1990U       15.68   0.10  16.80   0.17  15.33   0.09  13.96   0.05  19.16 -9.000 -99.00  -9.00  15.18   0.09  16.30   0.15  14.82   0.07  13.39   0.04  18.66 -9.000 -99.00  -9.00  14.62   0.09  15.75   0.15  14.26   0.08  12.85   0.04  18.10 -9.000 -99.00  -9.00  NGC7479            176.6     88.7
1990Y      -99.00  -9.00  21.60   1.54  20.10   0.77  18.59   0.39 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00  21.02   1.44  19.52   0.72  18.00   0.36 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00  20.72   1.60  19.23   0.80  17.71   0.40 -99.00 -9.000 -99.00  -9.00  A033722-3302        14.5     10.0
1990aa      16.17   0.12  18.81   0.42  17.31   0.21  15.83   0.11  19.64 -9.000 -99.00  -9.00  15.72   0.11  18.39   0.38  16.88   0.19  15.37   0.10  19.20 -9.000 -99.00  -9.00  15.12   0.11  17.76   0.38  16.26   0.19  14.78   0.10  18.60 -9.000 -99.00  -9.00  M+05-03-16          33.7     37.6
1991A       17.49   0.22  19.52   0.55  18.02   0.28  16.56   0.14  20.97 -9.000 -99.00  -9.00  17.34   0.23  19.38   0.60  17.88   0.30  16.36   0.15  20.82 -9.000 -99.00  -9.00  16.79   0.24  18.69   0.58  17.26   0.30  15.99   0.17  20.27 -9.000 -99.00  -9.00  IC2973              50.6     69.4
1991F       15.24   0.08  16.07   0.11  14.55   0.05  12.90   0.03  18.72 -9.000 -99.00  -9.00  14.58   0.08  15.42   0.11  13.88   0.05  12.21   0.03  18.06 -9.000 -99.00  -9.00  14.32   0.08  15.16   0.11  13.63   0.06  11.97   0.03  17.80 -9.000 -99.00  -9.00  NGC3458             54.8     48.0
1991J       17.92   0.27  19.98   0.70  18.52   0.36  17.16   0.19  21.40 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  17.59   0.35  19.68   0.92  18.20   0.46  16.75   0.24  21.06 -9.000 -99.00  -9.00  NGC5020            167.0     78.4
1991M       19.78   0.66  21.32   1.34  19.22   0.51  19.02   0.47  23.26 -9.000 -99.00  -9.00  17.71   0.28  18.68   0.44  17.42   0.24  17.14   0.22  21.19 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  18.66   0.58 -99.00 -9.000 -99.00  -9.00  IC1151              55.1    148.9
1991N       13.17   0.03  13.06   0.03  11.60   0.01  10.39   0.01  16.65 -9.000 -99.00  -9.00  12.54   0.03  12.43   0.02  10.97   0.01   9.77   0.01  16.02 -9.000 -99.00  -9.00  12.27   0.03  12.16   0.03  10.70   0.01   9.50   0.01  15.74 -9.000 -99.00  -9.00  NGC3310             78.4     75.8
1991X       14.83   0.07  16.55   0.15  15.05   0.08  13.55   0.04  18.31 -9.000 -99.00  -9.00  14.17   0.06  15.89   0.13  14.38   0.07  12.87   0.03  17.65 -9.000 -99.00  -9.00  13.88   0.07  15.60   0.15  14.09   0.07  12.58   0.04  17.36 -9.000 -99.00  -9.00  NGC4902            109.3    135.3
1991ak      17.21   0.19  19.10   0.46  17.59   0.23  16.07   0.11  20.69 -9.000 -99.00  -9.00  16.50   0.16  18.45   0.39  16.90   0.19  15.27   0.09  19.98 -9.000 -99.00  -9.00  16.36   0.20  18.23   0.47  16.73   0.24  15.26   0.12  19.84 -9.000 -99.00  -9.00  NGC5378            132.4     86.2
1991ar      17.44   0.21  19.88   0.66  18.37   0.33  16.88   0.17  20.92 -9.000 -99.00  -9.00  16.76   0.21  19.14   0.62  17.66   0.31  16.24   0.16  20.24 -9.000 -99.00  -9.00  17.18   0.28  19.72   0.91  18.18   0.45  16.57   0.21  20.66 -9.000 -99.00  -9.00  IC49                38.3     58.4
1991bj      16.97   0.18  19.89   0.69  18.39   0.35  16.90   0.17  20.45 -9.000 -99.00  -9.00  16.34   0.17  19.25   0.64  17.76   0.32  16.27   0.16  19.82 -9.000 -99.00  -9.00  16.96   0.28  19.96   1.12  18.45   0.56  16.88   0.27  20.44 -9.000 -99.00  -9.00  IC344               47.2     67.3
1992C       16.95   0.16  18.94   0.41  17.43   0.21  15.91   0.10  20.43 -9.000 -99.00  -9.00  16.48   0.16  18.49   0.40  16.97   0.20  15.41   0.10  19.96 -9.000 -99.00  -9.00  16.17   0.18  18.13   0.45  16.64   0.23  15.15   0.11  19.65 -9.000 -99.00  -9.00  NGC3367            114.5    113.6
1992G       14.97   0.07  15.99   0.11  14.50   0.05  13.02   0.03  18.45 -9.000 -99.00  -9.00  14.20   0.06  15.22   0.09  13.72   0.04  12.25   0.02  17.68 -9.000 -99.00  -9.00  13.91   0.06  14.93   0.10  13.43   0.05  11.98   0.03  17.39 -9.000 -99.00  -9.00  NGC3294            123.8    138.4
1992H       17.93   0.26  19.07   0.44  17.54   0.22  15.94   0.10  21.40 -9.000 -99.00  -9.00  17.51   0.25  18.57   0.41  17.18   0.21  15.89   0.12  20.99 -9.000 -99.00  -9.00  17.01   0.26  18.23   0.47  16.59   0.22  14.89   0.10  20.49 -9.000 -99.00  -9.00  NGC5377             92.4    169.5
1992I       20.03   0.71  22.95   2.73  21.08   1.16  18.85   0.41  23.51 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  19.30   0.76  21.82   2.44  20.20   1.15  18.21   0.46  22.78 -9.000 -99.00  -9.00  NGC2565            119.5     97.5
1992K       15.28   0.09  17.25   0.22  15.74   0.11  14.21   0.05  18.76 -9.000 -99.00  -9.00  14.50   0.07  16.47   0.18  14.96   0.09  13.43   0.04  17.98 -9.000 -99.00  -9.00  14.26   0.08  16.23   0.20  14.72   0.10  13.19   0.05  17.74 -9.000 -99.00  -9.00  E269-G57            83.3     65.1
1992ab     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC6389             19.2     75.5
1992ad      17.26   0.22  17.62   0.26  16.25   0.14  15.01   0.08  20.73 -9.000 -99.00  -9.00  16.78   0.21  17.13   0.24  15.77   0.13  14.47   0.07  20.25 -9.000 -99.00  -9.00  16.70   0.25  17.03   0.30  15.87   0.17  14.89   0.11  20.18 -9.000 -99.00  -9.00  NGC4411B            55.8     64.7
1992af      17.40   0.21  20.73   0.96  19.22   0.48  17.69   0.24  20.88 -9.000 -99.00  -9.00  16.60   0.18  19.90   0.83  18.39   0.42  16.88   0.21  20.08 -9.000 -99.00  -9.00  16.19   0.19  19.49   0.87  17.98   0.44  16.47   0.22  19.67 -9.000 -99.00  -9.00  E340-G38            31.4     38.9
1992ag      14.91   0.07  18.72   0.42  17.21   0.21  15.73   0.11  18.39 -9.000 -99.00  -9.00  14.11   0.06  17.91   0.34  16.41   0.17  14.93   0.09  17.59 -9.000 -99.00  -9.00  13.76   0.06  17.56   0.37  16.06   0.19  14.58   0.09  17.24 -9.000 -99.00  -9.00  E508-G67            49.5     43.6
1992ao     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  18.12   0.47  19.72   0.98  18.47   0.55  19.78   1.01  21.60 -9.000 -99.00  -9.00  NGC7637             22.7    132.8
1992az      16.76   0.17  19.12   0.50  17.61   0.25  16.07   0.12  20.24 -9.000 -99.00  -9.00  16.46   0.16  18.80   0.46  17.30   0.23  15.78   0.11  19.94 -9.000 -99.00  -9.00  15.93   0.16  18.29   0.48  16.78   0.24  15.24   0.12  19.41 -9.000 -99.00  -9.00  NGC818              54.2     66.3
1992ba      16.02   0.13  15.46   0.10  14.08   0.05  12.64   0.03  19.50 -9.000 -99.00  -9.00  15.33   0.11  14.75   0.08  13.33   0.04  11.95   0.02  18.81 -9.000 -99.00  -9.00  15.20   0.13  14.63   0.10  13.21   0.05  11.83   0.03  18.68 -9.000 -99.00  -9.00  NGC2082            118.9     96.1
1992bc      19.99   0.70  23.92   4.28  22.30   2.03  20.44   0.86  23.47 -9.000 -99.00  -9.00  18.80   0.50  22.35   2.58  20.81   1.27  19.18   0.60  22.28 -9.000 -99.00  -9.00  17.26   0.31  20.66   1.50  19.14   0.75  17.60   0.37  20.74 -9.000 -99.00  -9.00  E300-G09            22.7     41.4
1992bg      17.05   0.18  21.82   1.65  20.33   0.83  18.80   0.41  20.53 -9.000 -99.00  -9.00  16.10   0.14  20.80   1.26  19.30   0.63  17.78   0.31  19.58 -9.000 -99.00  -9.00  15.89   0.17  20.58   1.46  19.08   0.73  17.57   0.36  19.37 -9.000 -99.00  -9.00  A074156-6231        44.3     46.7
1992bl      18.61   0.37  23.61   3.73  22.07   1.84  20.56   0.92  22.09 -9.000 -99.00  -9.00  18.00   0.35  22.85   3.25  21.37   1.64  19.87   0.83  21.48 -9.000 -99.00  -9.00  17.98   0.44  23.14   4.72  21.65   2.38  20.12   1.17  21.46 -9.000 -99.00  -9.00  E291-G11            21.7     12.5
1992bo     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  E352-G57           -99.0     12.5
1992bt      15.82   0.10  17.19   0.19  15.70   0.09  14.22   0.05  19.30 -9.000 -99.00  -9.00  15.15   0.08  16.53   0.16  15.02   0.08  13.53   0.04  18.63 -9.000 -99.00  -9.00  14.87   0.10  16.24   0.19  14.75   0.09  13.27   0.05  18.35 -9.000 -99.00  -9.00  NGC3780            155.8    135.3
1993H       16.16   0.12  19.82   0.63  18.31   0.32  16.82   0.16  19.63 -9.000 -99.00  -9.00  15.67   0.12  19.35   0.66  17.85   0.33  16.34   0.16  19.15 -9.000 -99.00  -9.00  15.22   0.12  18.87   0.67  17.37   0.34  15.88   0.17  18.70 -9.000 -99.00  -9.00  E445-G66            66.0     79.9
1993K       16.94   0.18  18.53   0.38  17.04   0.19  15.58   0.10  20.42 -9.000 -99.00  -9.00  16.62   0.19  18.22   0.40  16.72   0.20  15.19   0.10  20.09 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC2223             99.5    158.0
1993L       15.72   0.10  16.38   0.13  14.90   0.07  13.46   0.03  19.20 -9.000 -99.00  -9.00  15.02   0.09  15.68   0.12  14.18   0.06  12.74   0.03  18.50 -9.000 -99.00  -9.00  14.85   0.11  15.51   0.15  14.02   0.07  12.56   0.04  18.33 -9.000 -99.00  -9.00  IC5270             135.9    112.0
1993X       19.40   0.54  19.16   0.49 -99.00  -9.00 -99.00  -9.00  22.88 -9.000 -99.00  -9.00  18.54   0.47  18.60   0.49 -99.00  -9.00 -99.00  -9.00  22.02 -9.000 -99.00  -9.00 -99.00  -9.00  19.06   0.69 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC2276             85.0    184.3
1993ab      17.10   0.18  19.44   0.54  17.93   0.27  16.41   0.13  20.58 -9.000 -99.00  -9.00  16.36   0.15  18.69   0.43  17.18   0.21  15.68   0.11  19.84 -9.000 -99.00  -9.00  16.14   0.18  18.47   0.52  16.97   0.26  15.46   0.13  19.62 -9.000 -99.00  -9.00  NGC1164             44.1     49.7
1993ad      17.68   0.24  20.50   0.88  18.97   0.43  17.40   0.21  21.15 -9.000 -99.00  -9.00  16.70   0.19  19.44   0.67  17.95   0.34  16.45   0.17  20.18 -9.000 -99.00  -9.00  16.77   0.25  19.40   0.84  17.94   0.43  16.54   0.22  20.25 -9.000 -99.00  -9.00  IC1501              50.8     41.3
1993ae      18.56   0.36  21.62   1.46  20.10   0.73  18.56   0.36  22.04 -9.000 -99.00  -9.00  18.92   0.54  22.04   2.28  20.51   1.13  18.93   0.54  22.40 -9.000 -99.00  -9.00  19.42   0.87 -99.00  -9.00 -99.00  -9.00  19.44   0.88  22.90 -9.000 -99.00  -9.00  UGC1071             29.6     69.5
1993af     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1808            -99.0     69.5
1994L       17.72   0.25  18.90   0.43  17.43   0.22  16.06   0.12  21.20 -9.000 -99.00  -9.00  17.20   0.24  18.28   0.40  16.96   0.22  15.96   0.14  20.68 -9.000 -99.00  -9.00  17.20   0.31  18.41   0.54  16.89   0.27  15.24   0.12  20.68 -9.000 -99.00  -9.00  NGC2848            120.3     52.1
1994P      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M+09-20-51         -99.0     52.1
1994R       16.27   0.14  17.54   0.26  16.04   0.13  14.57   0.07  19.75 -9.000 -99.00  -9.00  15.64   0.13  16.91   0.23  15.41   0.11  13.91   0.06  19.12 -9.000 -99.00  -9.00  15.16   0.13  16.41   0.22  14.94   0.11  13.53   0.06  18.64 -9.000 -99.00  -9.00  IC2627             149.9    126.6
1994S       17.81   0.25  20.74   0.97  19.23   0.48  17.68   0.24  21.29 -9.000 -99.00  -9.00  17.20   0.25  20.22   1.02  18.68   0.50  17.07   0.24  20.68 -9.000 -99.00  -9.00  17.16   0.28  20.23   1.16  18.69   0.57  17.02   0.26  20.63 -9.000 -99.00  -9.00  NGC4495             77.2     56.2
1994Z      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  17.08   0.23  18.98   0.56  17.48   0.28  16.05   0.14  20.55 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC87               23.3     46.8
1994ae      17.48   0.21  18.38   0.32  16.89   0.16  15.43   0.08  20.96 -9.000 -99.00  -9.00  17.45   0.24  18.36   0.37  16.84   0.18  15.18   0.09  20.93 -9.000 -99.00  -9.00  16.49   0.21  17.40   0.32  15.90   0.16  14.47   0.08  19.97 -9.000 -99.00  -9.00  NGC3370            115.9     90.1
1994ak      17.36   0.21  18.87   0.41  17.39   0.21  15.95   0.11  20.84 -9.000 -99.00  -9.00  16.71   0.18  18.25   0.36  16.75   0.18  15.28   0.09  20.19 -9.000 -99.00  -9.00  16.43   0.21  17.99   0.42  16.47   0.21  14.93   0.10  19.91 -9.000 -99.00  -9.00  NGC2782            131.9     61.8
1995D       18.63   0.41  19.97   0.75  18.52   0.39  17.15   0.21  22.11 -9.000 -99.00  -9.00  18.34   0.42  19.75   0.80  18.22   0.40  16.72   0.20  21.82 -9.000 -99.00  -9.00  17.43   0.35  18.76   0.64  17.33   0.33  16.30   0.21  20.91 -9.000 -99.00  -9.00  NGC2962            111.8     34.6
1995E       15.86   0.10  17.73   0.24  16.24   0.12  14.78   0.06  19.34 -9.000 -99.00  -9.00  15.16   0.08  17.05   0.20  15.55   0.10  14.06   0.05  18.64 -9.000 -99.00  -9.00  15.05   0.11  16.95   0.26  15.44   0.13  13.93   0.06  18.53 -9.000 -99.00  -9.00  NGC2441            118.3    105.2
1995G       16.28   0.13  19.01   0.45  17.50   0.23  16.01   0.11  19.75 -9.000 -99.00  -9.00  15.58   0.12  18.29   0.41  16.79   0.20  15.31   0.10  19.06 -9.000 -99.00  -9.00  15.37   0.14  18.07   0.47  16.58   0.24  15.11   0.12  18.85 -9.000 -99.00  -9.00  NGC1643             39.1     59.2
1995J      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC4512            -99.0     59.2
1995N       18.34   0.34  19.16   0.50  17.87   0.28  16.65   0.16  21.82 -9.000 -99.00  -9.00  17.47   0.28  18.40   0.43  16.87   0.21  15.16   0.10  20.95 -9.000 -99.00  -9.00  15.79   0.16  16.59   0.23  15.36   0.13  14.48   0.09  19.27 -9.000 -99.00  -9.00  M-02-38-17         124.7    107.4
1995V       15.76   0.10  15.67   0.10  14.13   0.05  12.55   0.02  19.24 -9.000 -99.00  -9.00  15.11   0.09  15.02   0.09  13.51   0.05  11.96   0.02  18.58 -9.000 -99.00  -9.00  14.92   0.11  14.83   0.11  13.30   0.05  11.70   0.03  18.40 -9.000 -99.00  -9.00  NGC1087            119.1    142.7
1995W       16.83   0.18  18.70   0.41  17.19   0.21  15.72   0.11  20.31 -9.000 -99.00  -9.00  15.73   0.12  17.58   0.29  16.09   0.15  14.64   0.08  19.21 -9.000 -99.00  -9.00  15.91   0.17  17.77   0.41  16.27   0.20  14.78   0.10  19.39 -9.000 -99.00  -9.00  NGC7650             80.1     72.0
1995X       16.98   0.18  17.08   0.19  15.50   0.09  13.84   0.04  20.46 -9.000 -99.00  -9.00  16.42   0.18  16.53   0.19  14.92   0.09  13.21   0.04  19.90 -9.000 -99.00  -9.00  16.24   0.19  16.35   0.20  14.65   0.09  12.84   0.04  19.72 -9.000 -99.00  -9.00  UGC12160            92.3     98.5
1995Z       16.71   0.15  19.27   0.49  17.77   0.24  16.28   0.12  20.19 -9.000 -99.00  -9.00  16.08   0.13  18.67   0.43  17.16   0.21  15.63   0.11  19.56 -9.000 -99.00  -9.00  15.72   0.15  18.31   0.48  16.80   0.24  15.27   0.12  19.20 -9.000 -99.00  -9.00  UGC937              33.5     48.9
1995ad      16.43   0.14  17.19   0.20  15.70   0.10  14.19   0.05  19.91 -9.000 -99.00  -9.00  15.53   0.11  16.26   0.16  14.84   0.08  13.52   0.05  19.00 -9.000 -99.00  -9.00  15.10   0.12  15.84   0.17  14.41   0.09  13.08   0.05  18.58 -9.000 -99.00  -9.00  NGC2139            128.5     94.2
1995ag      16.77   0.16  16.75   0.16  15.29   0.08  13.78   0.04  20.25 -9.000 -99.00  -9.00  15.94   0.14  15.91   0.14  14.51   0.07  13.09   0.04  19.41 -9.000 -99.00  -9.00  15.56   0.14  15.53   0.13  14.06   0.07  12.64   0.04  19.04 -9.000 -99.00  -9.00  UGC11861           132.5     86.3
1995ai      16.97   0.18  19.75   0.66  18.24   0.33  16.73   0.16  20.45 -9.000 -99.00  -9.00  15.99   0.15  18.73   0.52  17.23   0.26  15.76   0.13  19.46 -9.000 -99.00  -9.00  16.26   0.19  19.07   0.69  17.55   0.34  16.02   0.17  19.74 -9.000 -99.00  -9.00  NGC7794             75.0     42.2
1995al      14.97   0.07  16.26   0.12  14.76   0.06  13.30   0.03  18.45 -9.000 -99.00  -9.00  14.32   0.06  15.61   0.10  14.12   0.05  12.63   0.03  17.80 -9.000 -99.00  -9.00  13.95   0.06  15.23   0.12  13.75   0.06  12.29   0.03  17.42 -9.000 -99.00  -9.00  NGC3021             95.3     77.9
1995am      17.31   0.20  20.06   0.70  18.52   0.34  16.96   0.17  20.79 -9.000 -99.00  -9.00  16.86   0.22  19.65   0.78  18.10   0.38  16.50   0.18  20.34 -9.000 -99.00  -9.00  16.40   0.20  19.06   0.67  17.56   0.34  16.07   0.17  19.88 -9.000 -99.00  -9.00  PGC0002803          35.2     17.6
1995an      16.30   0.12  18.32   0.31  16.83   0.16  15.34   0.08  19.78 -9.000 -99.00  -9.00  15.62   0.12  17.64   0.31  16.14   0.16  14.69   0.08  19.10 -9.000 -99.00  -9.00  15.47   0.13  17.50   0.33  16.00   0.16  14.50   0.08  18.95 -9.000 -99.00  -9.00  UGC3188             69.6     60.2
1996B       15.76   0.10  18.23   0.31  16.73   0.16  15.27   0.08  19.24 -9.000 -99.00  -9.00  15.14   0.08  17.62   0.26  16.12   0.13  14.64   0.07  18.62 -9.000 -99.00  -9.00  14.86   0.10  17.33   0.31  15.84   0.15  14.37   0.08  18.34 -9.000 -99.00  -9.00  NGC4357            127.1    101.5
1996P      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC5335            136.9     56.5
1996W       15.75   0.10  16.60   0.14  15.15   0.07  13.75   0.04  19.23 -9.000 -99.00  -9.00  15.24   0.10  16.11   0.15  14.63   0.07  13.18   0.04  18.72 -9.000 -99.00  -9.00  14.79   0.10  15.66   0.15  14.19   0.08  12.80   0.04  18.27 -9.000 -99.00  -9.00  NGC4027            159.8    175.7
1996X       16.78   0.16  17.75   0.25  16.29   0.13  14.88   0.07  20.26 -9.000 -99.00  -9.00  16.15   0.15  17.17   0.24  15.61   0.12  14.06   0.06  19.62 -9.000 -99.00  -9.00  16.72   0.25  17.79   0.41  16.13   0.19  14.33   0.08  20.20 -9.000 -99.00  -9.00  NGC5061            196.5    112.7
1996Z       17.30   0.21  18.51   0.37  17.02   0.19  15.58   0.10  20.78 -9.000 -99.00  -9.00  16.65   0.19  17.87   0.34  16.36   0.17  14.86   0.09  20.13 -9.000 -99.00  -9.00  16.89   0.28  18.16   0.50  16.59   0.24  14.93   0.11  20.37 -9.000 -99.00  -9.00  NGC2935            125.5     54.5
1996al      17.09   0.19  17.71   0.25  16.17   0.12  14.60   0.06  20.57 -9.000 -99.00  -9.00  16.14   0.15  16.75   0.20  15.25   0.10  13.79   0.05  19.62 -9.000 -99.00  -9.00  16.77   0.25  17.40   0.34  15.80   0.16  13.98   0.07  20.25 -9.000 -99.00  -9.00  NGC7689            132.5    165.2
1996aq      16.72   0.16  17.45   0.22  15.94   0.11  14.42   0.05  20.20 -9.000 -99.00  -9.00  16.88   0.21  17.63   0.30  16.04   0.14  14.34   0.07  20.35 -9.000 -99.00  -9.00  16.28   0.20  16.97   0.28  15.55   0.14  14.14   0.08  19.76 -9.000 -99.00  -9.00  NGC5584            105.8     80.5
