# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1980D      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC3733            -99.0     79.1
1980O      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1255            228.8     91.9
1981E       15.98   0.12  17.63   0.25  16.14   0.13  14.67   0.07  19.46 -9.000 -99.00  -9.00  15.36   0.11  17.01   0.23  15.52   0.12  14.07   0.06  18.84 -9.000 -99.00  -9.00  15.40   0.14  17.09   0.30  15.57   0.15  14.00   0.07  18.88 -9.000 -99.00  -9.00  NGC5597             99.4     71.7
1981F       15.86   0.12  18.62   0.41  17.11   0.20  15.57   0.10  19.34 -9.000 -99.00  -9.00  15.31   0.11  18.11   0.38  16.58   0.19  15.00   0.09  18.79 -9.000 -99.00  -9.00  15.13   0.12  17.94   0.45  16.41   0.22  14.82   0.11  18.60 -9.000 -99.00  -9.00  NGC4716             69.2     80.1
1982B       15.69   0.10  16.87   0.17  15.36   0.08  13.83   0.04  19.17 -9.000 -99.00  -9.00  14.98   0.09  16.16   0.16  14.64   0.08  13.10   0.04  18.46 -9.000 -99.00  -9.00  14.76   0.09  15.94   0.16  14.42   0.08  12.85   0.04  18.24 -9.000 -99.00  -9.00  NGC2268             82.5    122.1
1982C       17.77   0.25  20.19   0.76  18.69   0.38  17.21   0.19  21.25 -9.000 -99.00  -9.00  17.24   0.22  19.66   0.68  18.16   0.34  16.67   0.17  20.72 -9.000 -99.00  -9.00  16.74   0.23  19.07   0.69  17.61   0.35  16.23   0.19  20.22 -9.000 -99.00  -9.00  NGC4185             78.5     60.3
1982L       17.02   0.17  14.56   0.06  12.98   0.03  11.27   0.01  20.50 -9.000 -99.00  -9.00  16.21   0.15  13.72   0.05  12.16   0.02  10.46   0.01  19.69 -9.000 -99.00  -9.00  16.33   0.20  13.77   0.06  12.25   0.03  10.49   0.01  19.81 -9.000 -99.00  -9.00  NGC7713            124.9    181.9
1982W       18.42   0.33  19.36   0.51  17.76   0.25  16.17   0.12  21.90 -9.000 -99.00  -9.00  17.12   0.21  18.05   0.32  16.45   0.15  14.91   0.07  20.59 -9.000 -99.00  -9.00  16.52   0.21  17.41   0.32  15.89   0.16  14.45   0.08  20.00 -9.000 -99.00  -9.00  NGC5485            129.0    170.8
1983K      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC4699              2.3    280.2
1983L       16.16   0.12  18.87   0.41  17.36   0.21  15.86   0.10  19.64 -9.000 -99.00  -9.00  15.57   0.11  18.27   0.39  16.77   0.20  15.26   0.10  19.05 -9.000 -99.00  -9.00  15.32   0.13  18.00   0.44  16.50   0.22  15.01   0.11  18.79 -9.000 -99.00  -9.00  NGC7038            110.6    113.0
1983R       16.65   0.14  18.52   0.34  17.02   0.17  15.50   0.09  20.13 -9.000 -99.00  -9.00  16.04   0.13  17.90   0.30  16.41   0.15  14.94   0.08  19.52 -9.000 -99.00  -9.00  15.85   0.16  17.76   0.38  16.23   0.19  14.67   0.09  19.33 -9.000 -99.00  -9.00  IC1731              71.7     90.6
1984I       18.34   0.36  20.36   0.92  18.86   0.46  17.42   0.24  21.82 -9.000 -99.00  -9.00  16.97   0.23  18.96   0.57  17.48   0.29  16.09   0.15  20.45 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  E323-G99           124.5    122.0
1984J       13.70   0.04  13.10   0.03  11.76   0.02  10.60   0.01  17.18 -9.000 -99.00  -9.00  13.03   0.04  12.42   0.03  11.08   0.01   9.94   0.01  16.50 -9.000 -99.00  -9.00  12.74   0.04  12.13   0.03  10.79   0.02   9.66   0.01  16.22 -9.000 -99.00  -9.00  NGC1559            154.1    148.1
1985B       16.40   0.14  17.58   0.25  16.08   0.12  14.58   0.06  19.88 -9.000 -99.00  -9.00  15.91   0.14  17.11   0.24  15.58   0.12  13.98   0.06  19.39 -9.000 -99.00  -9.00  15.92   0.17  17.18   0.31  15.57   0.15  13.82   0.07  19.40 -9.000 -99.00  -9.00  NGC4045             55.3     90.8
1985F       14.75   0.06  13.58   0.04  12.24   0.02  11.09   0.01  18.23 -9.000 -99.00  -9.00  14.09   0.06  12.92   0.04  11.59   0.02  10.45   0.01  17.57 -9.000 -99.00  -9.00  13.91   0.06  12.74   0.04  11.43   0.02  10.32   0.01  17.39 -9.000 -99.00  -9.00  NGC4618            145.1    150.2
1985G       14.46   0.06  14.22   0.05  12.84   0.03  11.71   0.02  17.94 -9.000 -99.00  -9.00  13.77   0.05  13.53   0.05  12.15   0.02  11.01   0.01  17.25 -9.000 -99.00  -9.00  13.53   0.06  13.29   0.05  11.92   0.03  10.83   0.02  17.01 -9.000 -99.00  -9.00  NGC4451             68.3     73.9
1985R       18.41   0.33  21.45   1.35  19.93   0.67  18.35   0.32  21.89 -9.000 -99.00  -9.00  17.12   0.21  20.07   0.80  18.57   0.40  17.06   0.20  20.59 -9.000 -99.00  -9.00  17.91   0.40  21.15   1.78  19.59   0.87  17.84   0.39  21.39 -9.000 -99.00  -9.00  IC1809              66.6     53.6
1985S       17.26   0.21  18.01   0.29  16.41   0.14  14.67   0.06  20.74 -9.000 -99.00  -9.00  16.77   0.20  17.52   0.29  15.92   0.14  14.21   0.06  20.25 -9.000 -99.00  -9.00  16.60   0.24  17.38   0.34  15.70   0.16  13.89   0.07  20.08 -9.000 -99.00  -9.00  M-02-07-10          76.7     67.4
1986A       15.32   0.08  17.28   0.19  15.79   0.10  14.32   0.05  18.80 -9.000 -99.00  -9.00  14.86   0.07  16.84   0.18  15.33   0.09  13.84   0.05  18.34 -9.000 -99.00  -9.00  14.38   0.08  16.34   0.20  14.85   0.10  13.38   0.05  17.86 -9.000 -99.00  -9.00  NGC3367            118.9    139.1
1986I       15.06   0.07  16.58   0.15  15.08   0.07  13.59   0.04  18.54 -9.000 -99.00  -9.00  14.39   0.06  15.90   0.12  14.40   0.06  12.92   0.03  17.86 -9.000 -99.00  -9.00  14.09   0.07  15.61   0.14  14.10   0.07  12.62   0.04  17.57 -9.000 -99.00  -9.00  NGC4254            115.7    135.3
1986L       15.21   0.08  14.63   0.06  13.42   0.03  12.31   0.02  18.69 -9.000 -99.00  -9.00  14.56   0.07  13.98   0.06  12.77   0.03  11.67   0.02  18.03 -9.000 -99.00  -9.00  14.31   0.08  13.74   0.06  12.52   0.04  11.36   0.02  17.79 -9.000 -99.00  -9.00  NGC1559            194.8    148.3
1986N       15.43   0.09  18.04   0.30  16.53   0.15  15.01   0.07  18.91 -9.000 -99.00  -9.00  14.78   0.08  17.40   0.27  15.89   0.14  14.36   0.07  18.26 -9.000 -99.00  -9.00  14.40   0.09  17.04   0.30  15.52   0.15  13.96   0.07  17.88 -9.000 -99.00  -9.00  NGC1667             94.5     70.5
1986O       16.40   0.14  17.63   0.25  16.12   0.13  14.61   0.06  19.88 -9.000 -99.00  -9.00  15.88   0.13  17.14   0.24  15.59   0.12  13.99   0.06  19.36 -9.000 -99.00  -9.00  15.55   0.15  16.78   0.26  15.27   0.13  13.77   0.06  19.03 -9.000 -99.00  -9.00  NGC2227             99.6     75.2
1987C       17.43   0.21  20.02   0.71  18.50   0.35  16.92   0.17  20.91 -9.000 -99.00  -9.00  16.44   0.15  18.97   0.49  17.47   0.24  15.96   0.12  19.92 -9.000 -99.00  -9.00  16.59   0.22  19.20   0.73  17.68   0.36  16.07   0.17  20.07 -9.000 -99.00  -9.00  M+09-14-47          42.3     38.3
1987F       16.89   0.16  19.74   0.59  18.23   0.30  16.68   0.14  20.37 -9.000 -99.00  -9.00  16.38   0.17  19.25   0.64  17.74   0.32  16.17   0.16  19.86 -9.000 -99.00  -9.00  16.46   0.20  19.42   0.79  17.89   0.39  16.23   0.18  19.94 -9.000 -99.00  -9.00  NGC4615             62.3     85.0
1987K       15.08   0.07  15.62   0.09  14.11   0.05  12.57   0.02  18.56 -9.000 -99.00  -9.00  14.36   0.06  14.90   0.08  13.41   0.04  11.92   0.02  17.84 -9.000 -99.00  -9.00  14.10   0.07  14.63   0.09  13.14   0.05  11.64   0.02  17.58 -9.000 -99.00  -9.00  NGC4651            164.8    153.0
1988C       18.85   0.44  21.97   1.84  20.48   0.93  19.03   0.48  22.33 -9.000 -99.00  -9.00  17.63   0.27  20.67   1.10  19.19   0.56  17.80   0.29  21.11 -9.000 -99.00  -9.00  18.52   0.55  20.89   1.62  19.47   0.85  18.54   0.55  22.00 -9.000 -99.00  -9.00  M+07-16-08          37.6     69.3
1988H       18.76   0.41  19.82   0.67  18.19   0.32  16.37   0.14  22.24 -9.000 -99.00  -9.00  17.21   0.25  18.17   0.38  16.73   0.20  15.34   0.10  20.69 -9.000 -99.00  -9.00  18.64   0.61  19.70   0.99  18.05   0.46  15.92   0.17  22.12 -9.000 -99.00  -9.00  NGC5878            173.1    209.4
1988L       15.96   0.11  16.80   0.16  15.30   0.08  13.77   0.04  19.44 -9.000 -99.00  -9.00  15.34   0.09  16.18   0.14  14.67   0.07  13.12   0.03  18.82 -9.000 -99.00  -9.00  15.13   0.11  15.95   0.16  14.48   0.08  12.98   0.04  18.61 -9.000 -99.00  -9.00  NGC5480             95.2    116.1
1988M       16.23   0.13  15.84   0.11  14.19   0.05  12.47   0.02  19.71 -9.000 -99.00  -9.00  15.53   0.12  15.15   0.10  13.51   0.05  11.73   0.02  19.01 -9.000 -99.00  -9.00  15.13   0.12  14.77   0.10  13.23   0.05  11.48   0.02  18.61 -9.000 -99.00  -9.00  NGC4496B            74.1     63.0
