# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2005jk      A014559+0111                 0.192   -99.00    -9.00    0.103   -99.00    -9.00    0.127   -99.00    -9.00    0.147   -99.00    -9.00    0.175    12.67    12.29
2005lp      A014742+0012                 1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2006kh      A014911-0036                 0.657    16.45     8.85    0.661    16.62     4.10    0.618    15.97     3.08    0.576    15.21     2.38    0.513    14.11     2.24
2005W       NGC0691                     -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00
2004fc      NGC0701                      0.018     1.18     2.56    0.014     0.54     1.28    0.015     0.36     0.86    0.014     0.25     0.72    0.015     0.20     0.61
2006ob      UGC01333                     0.232   -99.00    -9.00    0.283     0.91     4.64    0.316     0.36     2.41    0.323     0.19     1.81    0.341     0.11     1.54
2001ed      NGC0706                      0.607    -1.01     2.41    0.608    -0.93     1.56    0.619    -0.82     1.29    0.614    -0.74     1.18    0.639    -0.67     1.12
2005il      A015306+0106                -9.000     0.06     8.69    0.312    11.23     8.71    0.342    12.56     7.10    0.358    12.66     5.51    0.469    13.95     5.30
1997dz      A015603-1343                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
2005hc      MCG+00-06-003                0.959    -0.50     7.09    0.771     0.65     6.14    0.798     0.68     4.64    0.801     0.44     3.55    0.849     0.31     3.07
2002gn      A015654-0106                 0.189     1.25     7.09    0.236     1.15     2.68    0.283     1.01     1.56    0.290     1.02     1.25    0.311     1.11     1.11
2005lj      A015743-0010                 0.013   -99.00    -9.00    0.020   -99.00    -9.00    0.031   -99.00    -9.00    0.040   -99.00    -9.00    0.048   -99.00    -9.00
2006ee      NGC0774                      0.437   -99.00    -9.00    0.502     3.10    12.28    0.517     1.67     4.34    0.513     1.14     2.75    0.579     1.03     2.28
1999di      NGC0776                      0.406     0.06     6.14    0.453     0.28     3.88    0.483    -0.07     2.41    0.494     0.05     2.14    0.522    -0.17     1.75
2004dt      NGC0799                      0.345   -99.00    -9.00    0.383     0.37     3.88    0.412    -0.20     2.14    0.420    -0.06     1.92    0.432    -0.28     1.56
2005gt      A020403-0021                -9.000   -99.00    -9.00    0.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00
2006ef      NGC0809                      0.807    -0.04    12.28    0.851     0.21     7.09    0.857     0.60     6.14    0.850     0.57     5.01    0.872     0.55     4.64
2005fs      A020452-0019                 0.263    11.13    35.64    0.064     5.74    12.30    0.101     8.13    12.29    0.121     9.04    12.30    0.024     5.34     8.69
SDSS7017    A020527-0029                 0.544   -99.00    -9.00    0.327   -99.00    -9.00    0.341   -99.00    -9.00    0.122   -99.00    -9.00    0.228    11.63    12.41
2002ea      NGC0820                      0.326     0.38     3.55    0.368    -0.12     1.56    0.401    -0.04     1.18    0.411    -0.06     0.98    0.440    -0.01     0.89
2003G       IC0208                       0.166     0.51     8.69    0.193     0.91     5.49    0.215     0.50     3.28    0.222     0.15     2.36    0.232     0.16     2.14
2007qd      A020933-0100                 0.002   -99.00    -9.00    0.002   -99.00    -9.00    0.003   -99.00    -9.00    0.003   -99.00    -9.00    0.003   -99.00    -9.00
2005H       NGC0838                      0.214     1.20     1.08    0.178     1.10     0.68    0.162     1.11     0.54    0.148     1.04     0.48    0.166     1.04     0.42
2005jp      A020950-0003                 0.311     9.76     9.36    0.588    15.14     8.73    0.737    17.72     5.60    0.643    16.09     4.41    0.564    15.05     4.47
2007gh      A021031+0219                 0.077    11.83    12.28    0.078    11.88     8.69    0.078    11.59     6.14    0.082    11.58     5.01    0.084    11.77     4.64
1999dh      IC0211                       0.492    -0.99     5.49    0.492    -0.54     4.34    0.513    -0.40     3.88    0.524    -0.20     3.88    0.596    -0.54     3.28
2005in      A021328-0058                 0.324   -99.00    -9.00    0.306   -99.00    -9.00    0.345   -99.00    -9.00    0.300   -99.00    -9.00    0.339   -99.00    -9.00
2004gv      NGC0856                      0.354     0.64     7.09    0.440     1.23     5.01    0.485     0.49     2.68    0.491     0.75     2.56    0.552     0.82     2.41
2005ml      A021404-0014                 0.203    10.09    12.43    0.172     9.67     8.69    0.182     9.87     7.10    0.193    10.67     8.69    0.236    10.51     7.18
2014cl      IC0217                       0.978    -3.87     7.17    0.983    -3.94     2.98    0.984    -4.24     1.99    0.976    -4.14     1.67    0.996    -5.16     1.78
2005ey      A021705+0016                 0.043   -99.00    -9.00    0.160   -99.00    -9.00    0.209   -99.00    -9.00    0.246    13.34    12.28    0.323   -99.00    -9.00
2005jd      A021706+0032                 0.003    -0.28    12.36    0.026     3.01     8.69    0.043     4.70     8.70    0.055     5.63     8.70    0.038     5.96    12.32
2005ge      A021814+0047                 0.102     8.12    12.31    0.253    11.43     8.69    0.231    11.44     6.14    0.255    11.91     5.02    0.297    12.39     4.11
2000dx      UGC01775                     0.322     1.12    12.28    0.379     0.40     4.34    0.432     0.05     2.68    0.452    -0.06     2.14    0.464     0.00     1.99
2005ie      A021902-0016                 0.114     7.40    12.44    0.780    18.98    12.73    0.775    20.00    12.47    0.824    21.38    12.63    0.892    23.15    18.04
1989ac      UGC01867                     0.319     1.32    12.28    0.343     1.92     8.69    0.386     1.39     5.01    0.395     1.33     4.09    0.435     1.22     3.41
2006ua      A022557-0845                 0.333     9.78    13.19    0.260    12.11    12.29    0.233    12.18     8.69    0.210    11.90     7.09    0.229    11.93     5.53
2006ub      A022621-0854                -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00    0.000   -99.00    -9.00
2001jc      A022648+0026                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2001hi      A022650+0033                 1.000     5.02    12.51    1.000     5.72    12.30    1.000     5.55    12.29    0.595    16.99    13.36    0.778    23.51    55.52
2002L       A022655+0021                 0.681   -99.00    -9.00    0.481   -99.00    -9.00    0.304   -99.00    -9.00    1.000   -99.00    -9.00    0.365   -99.00    -9.00
2001jd      A022726+0050                 0.010   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2001hj      A022730+0024                 1.000   -99.00    -9.00    0.004   -99.00    -9.00    0.004   -99.00    -9.00    0.005     7.80    12.29    0.003   -99.00    -9.00
2003gs      NGC0936                      0.259     1.02     5.01    0.273     0.28     1.55    0.279     0.51     1.19    0.280     0.43     0.94    0.300     0.47     0.85
2001hk      A022750+0036                 0.020   -99.00    -9.00    0.000   -99.00    -9.00    0.017   -99.00    -9.00    0.014   -99.00    -9.00    0.000   -99.00    -9.00
2002N       A022751+0028                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1992bf      NGC0930                      0.297    -0.18     6.14    0.362     0.89     4.34    0.382     0.42     2.28    0.381     0.13     1.57    0.414     0.27     1.47
2001je      A022756+0025                 0.076   -99.00    -9.00    0.180   -99.00    -9.00    0.433   -99.00    -9.00    0.398    12.77     7.16    0.845    20.97    20.92
2001fk      A022804+0046                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2001jf      A022807+0026                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2007tn      A022814-0836                 0.005     4.87    12.28    0.009     5.51     6.14    0.018     7.05     5.49    0.022     7.80     5.49    0.029     7.98     4.34
2002O       A022822+0049                 0.138   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.941   -99.00    -9.00    0.207   -99.00    -9.00
