# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2003jb      IC1065                       0.619     1.76    12.28    0.641     1.62     5.49    0.663     0.87     2.90    0.664     0.44     2.02    0.695     0.46     1.87
1954M       A144936+1017                 0.005   -99.00    -9.00    1.000   -99.00    -9.00    0.000   -99.00    -9.00    0.010   -99.00    -9.00    0.835   -99.00    -9.00
2004V       A145055+1713                 0.212   -99.00    -9.00    0.156   -99.00    -9.00    0.145   -99.00    -9.00    0.141   -99.00    -9.00    0.148   -99.00    -9.00
2001dc      NGC5777                      0.980    -2.86     6.15    0.975    -2.68     3.70    0.977    -3.24     2.17    0.976    -2.94     1.99    0.980    -3.45     1.58
2002ee      NGC5772                      0.721     0.69    12.28    0.796     1.09     8.69    0.819     0.91     6.14    0.826     0.99     5.49    0.828     0.15     3.41
2008fe      UGC09578                     0.783    -0.25    12.28    0.817     0.93    12.28    0.848     0.23     7.09    0.846     0.56     7.09    0.893     0.62     7.09
1996ae      NGC5775                      0.580    -0.01     7.09    0.624    -0.10     3.55    0.662    -1.18     1.55    0.686    -1.13     1.31    0.717    -1.27     1.07
2001bx      A145405-0142                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
2009eg      A145415+1857                 0.010   -99.00    -9.00    0.023   -99.00    -9.00    0.028   -99.00    -9.00    0.030   -99.00    -9.00    0.032   -99.00    -9.00
2009hv      A145432+1839                 0.203   -99.00    -9.00    0.073   -99.00    -9.00    0.479   -99.00    -9.00    0.594   -99.00    -9.00    0.125     0.22    12.34
2000at      A145531-0153                 0.017   -99.00    -9.00    0.134   -99.00    -9.00    0.220   -99.00    -9.00    0.284   -99.00    -9.00    0.044   -99.00    -9.00
2007O       UGC09612                     0.196     0.40     5.49    0.260     0.20     2.75    0.324    -0.23     1.69    0.352    -0.14     1.51    0.375    -0.03     1.45
2003ad      A145628+4521                 1.000    -0.37     7.09    0.462     0.54     6.14    0.429     0.51     4.64    0.440     0.44     3.88    1.000     0.16     3.29
2003dl      NGC5789                      0.789    -0.74     3.70    0.744    -0.42     3.17    0.725    -0.42     2.90    0.691     0.01     3.41    0.708    -0.03     3.28
2005ag      A145643+0919                 0.838     0.15     8.69    0.817     1.43     8.69    0.833     1.29     6.14    0.816     1.23     5.01    0.829     0.89     3.88
2002dg      A145716+0554                 0.009   -99.00    -9.00    0.008   -99.00    -9.00    0.007   -99.00    -9.00    0.008   -99.00    -9.00    0.020   -99.00    -9.00
2008av      A145726+2324                 1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.872   -99.00    -9.00    0.803   -99.00    -9.00    0.623   -99.00    -9.00
2009eo      A145807+0226                 0.728   -99.00    -9.00    0.983   -99.00    -9.00    0.853   -99.00    -9.00    0.930   -99.00    -9.00    1.000   -99.00    -9.00
2003dv      UGC09638                     0.803   -99.00    -9.00    0.906   -99.00    -9.00    0.915   -99.00    -9.00    0.896   -99.00    -9.00    0.930   -99.00    -9.00
2003cr      UGC09639                     0.400     1.37     5.01    0.408     0.83     2.11    0.417     0.83     1.55    0.424     0.79     1.28    0.450     0.89     1.19
2008af      UGC09640                     0.691    -1.67     7.09    0.740    -0.01     7.09    0.750     0.48     6.14    0.748     0.92     6.14    0.747     0.89     5.49
2005be      A145932+1640                 0.430   -99.00    -9.00    0.426     3.05     7.09    0.437     2.33     3.41    0.442     2.46     2.98    0.456     2.48     2.62
2004dg      NGC5806                      0.225     0.38     4.64    0.262     1.13     3.17    0.287     0.92     2.02    0.300     1.06     1.77    0.313     1.06     1.56
2012P       NGC5806                      0.122     0.83     4.34    0.139     1.33     2.51    0.155     1.54     1.87    0.162     1.44     1.46    0.173     1.59     1.36
2007T       NGC5828                      0.906    -0.67     6.14    0.864    -0.27     3.88    0.860    -0.75     2.41    0.843    -0.62     2.21    0.862    -0.63     2.05
1980Q       A150121+0145                 0.368    -0.29     8.69    0.287     0.99     8.69    0.221     1.22     7.09    0.178     1.26     6.14    0.161     0.90     4.64
2008B       NGC5829                      0.476    -0.06     7.09    0.491     0.50     5.49    0.520     0.73     5.01    0.527     0.80     4.64    0.553     0.44     3.70
2006cw      A150301+2141                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2006ed      UGC09684                     0.482     0.02     4.09    0.498    -0.17     2.21    0.539    -0.46     1.52    0.536    -0.31     1.43    0.579    -0.24     1.36
2012ib      UGC09684                     1.000   -99.00    -9.00    0.994   -99.00    -9.00    0.999   -99.00    -9.00    0.991   -99.00    -9.00    1.000   -99.00    -9.00
2009fo      A150634+2151                 0.002   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00
2010av      IC1099                       0.634     0.16     8.69    0.684     0.36     5.49    0.719     0.54     4.64    0.729     0.69     4.34    0.750     0.33     3.41
1987B       NGC5850                      0.986   -99.00    -9.00    0.988   -99.00    -9.00    0.988   -99.00    -9.00    0.989   -99.00    -9.00    0.997   -99.00    -9.00
1950H       NGC5857                      0.920    -0.39     8.69    0.859     0.75     7.09    0.864     1.13     6.14    0.860     0.78     4.34    0.893     0.59     3.70
1955M       NGC5857                      1.000    -4.54     7.20    1.000    -2.34     6.14    1.000    -1.90     5.49    1.000    -1.82     4.64    1.000    -2.46     4.65
1999A       NGC5874                      0.632     0.41     8.69    0.651     0.80     6.14    0.678     0.42     4.09    0.684     0.59     3.88    0.686     0.15     2.90
2004df      A150820+2152                 0.167   -99.00    -9.00    0.097   -99.00    -9.00    0.069   -99.00    -9.00    0.059   -99.00    -9.00    0.043   -99.00    -9.00
1950I       MCG+03-39-008                1.000   -99.00    -9.00    1.000     0.94     8.69    1.000     0.30     4.64    1.000     0.23     3.88    1.000    -0.14     3.08
1975H       A150854+0657                 0.381   -99.00    -9.00    1.000   -99.00    -9.00    0.488   -99.00    -9.00    0.386   -99.00    -9.00    0.002   -99.00    -9.00
2007bh      PGC054103                    0.434     0.24    12.28    0.520     0.25     6.14    0.580    -0.47     3.17    0.605    -0.40     2.68    0.635    -0.65     2.14
2001as      A150945-0055                 0.019   -99.00    -9.00    0.024   -99.00    -9.00    0.039   -99.00    -9.00    0.087   -99.00    -9.00    0.030   -99.00    -9.00
1954C       NGC5879                      0.225     1.88     5.01    0.276     2.08     3.17    0.319     1.99     2.32    0.335     1.82     1.92    0.370     1.82     1.64
2001at      A151009-0058                 0.439     0.74    12.28    0.119     1.07     6.14    0.465     0.37     4.64    0.663     0.52     5.01    0.232     0.42     5.02
1988O       PGC054128                    0.309     0.32     7.09    0.425     0.56     4.34    0.457     0.87     3.70    0.460     0.75     2.98    0.466     0.54     2.41
1998bq      A151020+0551                 0.000   -99.00    -9.00    0.002   -99.00    -9.00    0.003   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1998br      A151024+0555                 0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.005   -99.00    -9.00
1999cm      UGC09766                     0.577     1.13    12.28    0.586     1.58     8.69    0.638     2.05     8.69    0.636     2.36     8.69    0.675     1.74     6.14
1999dg      UGC09758                     0.329     2.34    12.28    0.357     0.76     2.62    0.370     0.69     1.75    0.359     0.51     1.33    0.383     0.54     1.19
1963B       A151131+0514                 0.314   -99.00    -9.00    0.312   -99.00    -9.00    0.293   -99.00    -9.00    0.278   -99.00    -9.00    0.292   -99.00    -9.00
2009ai      UGC09757                     0.941    -1.43     8.69    0.943    -0.59     7.09    0.949    -0.64     5.49    0.948    -0.67     4.64    0.943    -0.82     3.89
2000be      A151203-0000                 0.000   -99.00    -9.00    0.046   -99.00    -9.00    0.000   -99.00    -9.00    0.098   -99.00    -9.00    0.000   -99.00    -9.00
2000bf      A151218-0139                 0.000   -99.00    -9.00    0.070   -99.00    -9.00    0.016   -99.00    -9.00    0.582   -99.00    -9.00    1.000   -99.00    -9.00
2007Q       NGC5888                      0.623     0.20     7.09    0.652     0.12     3.55    0.663    -0.42     2.02    0.667    -0.66     1.51    0.684    -0.71     1.32
2010fv      NGC5888                      0.447     0.57     7.09    0.499     0.54     3.55    0.521     0.12     2.11    0.528    -0.07     1.61    0.546    -0.14     1.39
1997cs      A151339+0253                 0.994   -99.00    -9.00    0.944   -99.00    -9.00    0.923   -99.00    -9.00    0.900   -99.00    -9.00    1.000   -99.00    -9.00
1972A       A151442+2739                 0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.006   -99.00    -9.00
1973B       A151512+0244                 0.967   -99.00    -9.00    0.000   -99.00    -9.00    0.220   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1963O       NGC5905                      0.694    -1.18     8.69    0.765    -0.07     8.69    0.810     0.37     8.69    0.838     0.18     7.09    0.857     0.29     7.09
1940A       NGC5907                      0.962    -0.43    17.37    0.980     0.15    14.18    0.984     0.09    10.99    0.991     0.15    10.99    0.983    -0.04     8.19
2007ew      A151559+0434                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2009bl      A151631+5427                 0.137   -99.00    -9.00    0.181   -99.00    -9.00    0.149   -99.00    -9.00    0.145   -99.00    -9.00    0.188   -99.00    -9.00
2007ba      UGC09798                     0.721   -99.00    -9.00    0.799     1.84    12.28    0.808     1.13     6.14    0.798     0.71     4.09    0.829     0.38     3.17
2001au      A151649-0007                 0.741    -1.04     3.17    0.738    -1.21     1.70    0.739    -1.19     1.63    0.747    -1.12     1.66    0.384    -1.10     1.64
1950J       A151730+1946                -9.000   -99.00    -9.00    0.004   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.002   -99.00    -9.00
1961E       A151735+0503                 0.072   -99.00    -9.00    0.066   -99.00    -9.00    0.118   -99.00    -9.00    0.126   -99.00    -9.00    0.083   -99.00    -9.00
2007dp      A151836+0951                 0.002   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2002ec      NGC5910                      0.453    -0.24     7.09    0.459     1.43     6.14    0.469     2.36     6.14    0.466     2.60     5.49    0.479     2.73     5.01
2009bz      UGC09814                     0.758    -0.22     5.01    0.748     0.34     4.64    0.753     0.06     3.70    0.745     0.16     3.70    0.756    -0.06     3.28
2009eh      A152038+0739                 0.084   -99.00    -9.00    0.166   -99.00    -9.00    0.175   -99.00    -9.00    0.280   -99.00    -9.00    0.278   -99.00    -9.00
1996ab      A152108+2755                 0.941   -99.00    -9.00    0.972   -99.00    -9.00    0.974    -1.60     7.09    0.979    -1.57     6.14    0.972    -2.23     5.52
2007fw      A152109+0226                 0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00
1950K       A152148+1726                 0.675   -99.00    -9.00    1.000   -99.00    -9.00   -9.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2001X       NGC5921                      0.319     0.05     5.01    0.376    -1.36     1.52    0.413    -1.66     1.02    0.425    -1.51     0.95    0.446    -1.47     0.89
1963H       A152221+0523                 0.306   -99.00    -9.00    0.152   -99.00    -9.00    0.173   -99.00    -9.00    0.255   -99.00    -9.00    0.315   -99.00    -9.00
2008ck      A152242+3022                 0.000   -99.00    -9.00    0.010   -99.00    -9.00    0.002   -99.00    -9.00    1.000   -99.00    -9.00    0.018   -99.00    -9.00
1951E       A152454+0819                 0.010   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1971E       PGC091443                    0.891    -2.40     7.10    0.906    -1.74     6.14    0.915    -1.70     5.49    0.890    -1.82     4.64    0.928    -2.07     4.11
2001bo      A152540-0118                 0.020   -99.00    -9.00    1.000   -99.00    -9.00    0.062   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2001by      A152552-0210                 0.008   -99.00    -9.00    0.003   -99.00    -9.00    0.009   -99.00    -9.00    0.012   -99.00    -9.00    0.001   -99.00    -9.00
1967I       PGC055175                    0.792     1.19    12.28    0.891     2.05     8.69    0.946     2.81     8.69    0.875     3.20     8.69    0.782     4.19    12.28
2001bz      A153013-0009                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2004cq      UGC09882                     0.005     1.26     5.49    0.008     0.90     1.97    0.010     0.88     1.29    0.010     0.93     1.10    0.011     0.97     0.94
1988P       A153229+0137                 0.862   -99.00    -9.00    0.643   -99.00    -9.00    0.309   -99.00    -9.00    0.191   -99.00    -9.00    0.136   -99.00    -9.00
2001cm      NGC5965                      0.452    -0.36     6.14    0.734     0.92     5.49    0.824     0.90     3.88    0.694     0.83     3.07    0.517     0.45     2.28
2007bv      A153410+0705                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2001ca      A153541-0016                 0.167   -99.00    -9.00    0.091   -99.00    -9.00    0.027   -99.00    -9.00    0.015   -99.00    -9.00    0.035   -99.00    -9.00
2001cb      A153844-0022                 1.000   -99.00    -9.00    0.757   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.421   -99.00    -9.00
2009er      A153929+2426                 0.002   -99.00    -9.00    0.001   -99.00    -9.00    0.004   -99.00    -9.00    0.001   -99.00    -9.00    0.014   -99.00    -9.00
2004cp      A154024+3251                 0.012   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
2007dq      A154102+0014                 0.005   -99.00    -9.00    0.000   -99.00    -9.00    0.001    -2.16    18.42    0.005   -99.00    -9.00    0.973     4.00    12.48
2004ci      NGC5980                      0.219     2.02     7.09    0.263     0.93     2.24    0.310     0.81     1.50    0.333     0.87     1.29    0.366     1.04     1.20
1950L       PGC094270                    0.446     0.48    12.28    0.626     2.20    12.28    0.630     1.88     7.09    0.617     1.23     4.34    0.620     0.61     2.90
2001av      A154302-0202                 0.016   -99.00    -9.00    0.012   -99.00    -9.00    0.011   -99.00    -9.00    0.010   -99.00    -9.00    0.010   -99.00    -9.00
2001cc      A154413-0153                 0.000   -99.00    -9.00    0.002   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
2007by      A154444+0428                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2004dq      A154446+2250                 0.140    -0.07    12.28    0.144    -0.34     6.14    0.141    -0.14     5.01    0.144    -0.32     3.88    0.131    -0.44     3.41
2001al      A154451+3607                 1.000   -99.00    -9.00   -9.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.037   -99.00    -9.00
2006be      IC4582                       0.095     1.04     5.01    0.140     1.80     3.55    0.191     1.90     2.41    0.228     2.04     2.02    0.262     1.98     1.60
2001cd      A154638-0023                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2002ck      UGC10030                     0.486    -0.68     8.69    0.526     0.54     7.09    0.564     0.13     4.09    0.571    -0.13     2.98    0.590    -0.13     2.68
2007fk      A155035+4346                 0.066   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00
1998ct      UGC10062                     0.069     0.67     7.09    0.066    -0.37     2.62    0.070    -0.63     1.83    0.071    -0.73     1.54    0.073    -0.75     1.38
2009dc      UGC10064                     0.855   -99.00    -9.00    0.870     1.37    12.28    0.880     2.15    12.28    0.875     2.61    12.28    0.891     2.78    12.28
2008cg      PGC091487                    0.832    -2.19     8.70    0.916    -1.23     7.09    0.917    -1.31     5.49    0.910    -1.16     5.02    0.973    -1.63     4.36
2004bu      UGC10089                     0.321     1.59     8.69    0.334    -0.15     2.32    0.368    -0.43     1.64    0.383    -0.27     1.59    0.406    -0.29     1.45
1991R       A155453+1900                 0.145   -99.00    -9.00    0.124   -99.00    -9.00    0.107   -99.00    -9.00    0.095   -99.00    -9.00    0.090   -99.00    -9.00
2001aw      A155532-0010                 0.220     3.82     4.35    0.449     1.75     5.49    0.264     5.33     4.86    1.000     0.80     4.64    0.256     1.18     3.89
2004di      UGC10097                     0.753    -1.03     7.09    0.771     0.10     5.49    0.777     0.73     5.01    0.774     0.78     4.09    0.783     0.69     3.55
1969I       A155748+1928                 0.364   -99.00    -9.00    0.005   -99.00    -9.00    0.001   -99.00    -9.00    0.012   -99.00    -9.00    0.019   -99.00    -9.00
1995be      A155814+1946                 0.820   -99.00    -9.00    0.659   -99.00    -9.00    0.640   -99.00    -9.00    0.575   -99.00    -9.00    0.503   -99.00    -9.00
1991M       IC1151                       0.967   -99.00    -9.00    0.951   -99.00    -9.00    0.947   -99.00    -9.00    0.942   -99.00    -9.00    0.945   -99.00    -9.00
1996ad      A155905+1948                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2007em      A155941+0217                 0.000   -99.00    -9.00    1.000   -99.00    -9.00    0.142   -99.00    -9.00    0.032   -99.00    -9.00    0.644   -99.00    -9.00
2000cg      UGC10121                     0.426     0.53     5.01    0.469     0.57     2.98    0.509     0.43     2.14    0.513     0.42     1.85    0.546     0.44     1.69
1958A       MCG+03-41-027                0.477   -99.00    -9.00    0.555     1.75     7.09    0.559     2.23     6.14    0.547     2.38     5.49    0.568     1.75     3.55
2000cb      IC1158                       0.444    -0.72     5.01    0.450    -1.71     1.92    0.468    -1.88     1.36    0.475    -1.67     1.31    0.491    -1.52     1.29
2007fz      A160205+2943                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1999cc      NGC6038                      0.436     0.33     6.14    0.476     0.63     4.09    0.507     0.48     2.90    0.513     0.26     2.24    0.537     0.30     2.11
2008ev      UGC10155                     0.169     0.42     3.70    0.190     0.48     2.46    0.216     0.56     2.08    0.219     0.45     1.75    0.233     0.41     1.60
1968K       PGC084703                    0.637     2.01    12.28    0.279     1.02     7.09    0.283     1.16     6.14    0.285     1.23     5.49    0.282     0.89     4.34
2003gp      UGC10160                     0.519   -99.00    -9.00    0.530     1.71     7.09    0.536     2.35     6.14    0.530     2.38     5.01    0.549     1.79     3.28
1962C       MCG+03-41-085                0.758    -1.72    12.30    0.498    -2.35     5.02    0.430    -3.56     2.56    0.460    -4.40     1.46    0.524    -5.95     2.19
1982aa      NGC6052                      0.482     0.91     2.28    0.480     0.85     1.57    0.457     0.75     1.27    0.451     0.78     1.23    0.450     0.79     1.15
2006cd      IC1179                       0.425    -0.32     7.09    0.329     0.25     5.49    0.326     0.71     5.49    0.310     0.81     5.01    0.320     0.29     3.88
2009gn      A160523-1608                 0.003   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00    0.004   -99.00    -9.00    0.001   -99.00    -9.00
2000cp      PGC057064                    0.661     0.51    12.28    0.752    -0.73     2.98    0.785    -0.86     1.97    0.797    -0.98     1.55    0.834    -0.94     1.37
2008ek      IC1181                       0.334     0.34    12.28    0.423     0.79     7.09    0.434     1.11     5.49    0.444     0.35     3.17    0.462     0.50     2.98
2008ba      A160549+1927                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.016   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
1997dd      NGC6060                      1.000    -4.89    22.91    1.000    -4.20    12.31    1.000    -4.91    12.78    1.000    -6.60    12.90    1.000    -3.56     8.89
2007cu      UGC10214                     1.000    -6.66    14.31    1.000    -8.86     9.12    1.000    -8.75     4.26    1.000    -7.36     2.71    1.000   -12.58    18.54
2008dq      UGC10214                     0.956   -99.00    -9.00    0.908     0.88    12.28    0.926    -0.87     4.34    0.922    -0.98     3.41    0.943    -1.69     2.36
1967G       A160606+1820                 0.043   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.007   -99.00    -9.00    0.001   -99.00    -9.00
2008df      A160625+1005                 1.000   -99.00    -9.00    0.563   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.007   -99.00    -9.00
1963Q       IC1195                       0.503     0.38     5.49    0.534     0.96     3.88    0.567     0.82     2.68    0.578     0.88     2.32    0.599     0.91     2.11
1999ac      NGC6063                      0.862   -99.00    -9.00    0.872   -99.00    -9.00    0.885   -99.00    -9.00    0.886   -99.00    -9.00    0.902   -99.00    -9.00
2001ax      A160713-0004                 0.064   -99.00    -9.00    0.724   -99.00    -9.00    0.235   -99.00    -9.00    0.230   -99.00    -9.00    0.354   -99.00    -9.00
2008iy      A160837+0416                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2006cc      UGC10244                     0.629   -99.00    -9.00    0.647     0.92     4.64    0.680    -0.04     2.11    0.678    -0.09     1.67    0.711    -0.21     1.36
2001aj      UGC10243                     0.584   -99.00    -9.00    0.667   -99.00    -9.00    0.694   -99.00    -9.00    0.702     2.88    12.28    0.719     1.86     7.09
1965F       PGC057378                    0.703    -0.66     6.14    0.798     0.01     5.01    0.826     0.01     4.09    0.820     0.07     3.70    0.880    -0.03     3.28
2008cl      UGC10261                     0.230     1.20    12.28    0.268     0.77     4.34    0.294     0.30     2.32    0.294     0.32     1.92    0.302     0.21     1.60
2003au      NGC6095                      0.212     1.00     7.09    0.246     0.57     2.51    0.256     0.35     1.54    0.256     0.38     1.28    0.276     0.35     1.10
1961J       MCG+05-38-027                0.025     0.87     5.49    0.029     1.08     3.17    0.039     0.80     1.99    0.048     0.77     1.67    0.065     0.73     1.46
1950O?      A161509+1857                 0.408   -99.00    -9.00    0.377   -99.00    -9.00    0.364   -99.00    -9.00    0.345   -99.00    -9.00    0.329   -99.00    -9.00
2002ci      UGC10301                     0.695    -0.14     8.69    0.761    -1.71     2.51    0.804    -2.29     1.49    0.818    -2.54     1.16    0.850    -2.80     0.96
2002de      NGC6104                      0.067     0.84     5.01    0.092     0.43     2.02    0.118     0.16     1.23    0.129     0.22     1.07    0.137     0.25     0.94
2011bn      UGC10306                     0.654     0.08    12.28    0.731    -0.13     6.14    0.783    -0.37     4.09    0.786    -0.64     2.98    0.827    -0.79     2.56
2003ia      NGC6109                      0.405   -99.00    -9.00    0.461     1.58     6.14    0.470     0.78     2.90    0.466     0.49     2.08    0.491     0.20     1.61
2010an      NGC6109                      0.200     1.62     7.09    0.233     0.48     1.83    0.242     0.67     1.34    0.240     0.63     1.09    0.258     0.63     0.94
2006dw      A161743+3457                 0.857   -99.00    -9.00    0.142   -99.00    -9.00    0.143   -99.00    -9.00    0.179   -99.00    -9.00    0.120   -99.00    -9.00
2003lx      A161921+4105                 0.000    -2.00     3.31    0.000    -4.53     1.21    0.000    -4.90     0.79    0.000    -5.12     0.64    0.000    -5.32     0.57
2001ab      NGC6130                      0.465     0.86     7.09    0.470     1.08     4.64    0.498     0.86     3.28    0.505     0.73     2.75    0.512     0.60     2.36
2003ge      NGC6122                      0.582   -99.00    -9.00    0.637     2.98    12.28    0.691     3.89    12.28    0.708     4.39    12.28    0.734     4.00     8.69
2000cq      UGC10354                     0.833   -99.00    -9.00    0.668   -99.00    -9.00    0.876   -99.00    -9.00    0.846   -99.00    -9.00    0.968     1.18    12.28
2003iy      NGC6143                      1.000     0.76     5.49    0.420     0.06     2.28    0.665     0.34     2.02    1.000     0.06     1.56    1.000     0.10     1.45
2008fn      A162148+3703                 0.049   -99.00    -9.00    0.016   -99.00    -9.00    0.017   -99.00    -9.00    0.017   -99.00    -9.00    0.011   -99.00    -9.00
2009he      UGC10361                     0.718   -99.00    -9.00    0.773   -99.00    -9.00    0.776     1.57     8.69    0.771     1.21     6.14    0.791     0.82     4.64
1983ab      A162234+3645                 1.000   -99.00    -9.00    0.393   -99.00    -9.00    0.395   -99.00    -9.00    0.339   -99.00    -9.00    0.388   -99.00    -9.00
1964I       A162307+4114                 0.405   -99.00    -9.00    0.377   -99.00    -9.00    0.323   -99.00    -9.00    0.307   -99.00    -9.00    0.302   -99.00    -9.00
1998cr      PGC057979                    0.673     1.03    12.28    0.660     1.43     8.69    0.654     1.85     8.69    0.651     2.11     8.69    0.678     1.79     7.09
2006R       NGC6142                      0.533   -99.00    -9.00    0.595     0.27     4.64    0.643    -0.16     2.82    0.660    -0.34     2.17    0.697    -0.28     1.99
1964G       MCG+07-34-016                1.000     1.14    12.28    0.868     2.09    12.28    0.823     1.62     8.69    0.798     1.37     7.09    0.770     0.95     5.49
2009W       A162347+1144                 1.000    -2.34    12.30    1.000    -1.21    12.28    1.000    -0.79    12.28    1.000    -0.39    12.28    1.000    -0.30    12.29
2009fl      NGC6146                      0.494     1.93    12.28    0.502     1.38     4.34    0.515     0.78     2.28    0.508     0.51     1.66    0.524     0.62     1.56
2009eu      NGC6166                      0.535     0.41    12.28    0.592     1.33     8.69    0.603     1.40     6.14    0.605     1.09     4.34    0.628     1.32     4.34
2002cg      UGC10415                     0.117     1.01     3.41    0.111     0.50     1.52    0.118     0.56     1.14    0.121     0.63     0.99    0.129     0.60     0.86
1966C       PGC058319                    0.714    -0.72     8.69    0.726     0.56     7.09    0.724     1.02     6.14    0.716     1.21     5.49    0.732     0.96     4.34
1991aj      MCG+07-34-084                0.156    -0.18     3.28    0.076    -0.51     1.87    0.053    -0.58     1.55    0.036    -0.50     1.44    0.015    -0.46     1.38
2009fv      NGC6173                      0.244     1.71     6.14    0.255     0.64     1.64    0.252     0.79     1.21    0.242     0.74     0.98    0.261     0.77     0.86
1997cq      UGC10420                     0.006     7.25     8.69    0.023     9.41     8.69    0.026    10.37     8.69    0.058    10.91     8.69    0.314    11.24     8.69
1992ap      UGC10430                     0.649     0.91    12.28    0.708     2.09    12.28    0.739     1.89     8.69    0.746     1.75     7.09    0.792     1.01     4.64
1998cs      UGC10432                     0.356     0.95    12.28    0.387     1.38     7.09    0.444     1.20     4.64    0.484     1.02     3.55    0.534     0.94     2.98
1926B       NGC6181                      0.786    -0.80     3.88    0.807    -0.49     2.68    0.824    -0.45     2.14    0.826    -0.21     2.08    0.809    -1.24     1.18
2008cw      A163238+4127                 0.136    -0.07     5.02    0.143     0.24     3.70    0.143     0.01     2.98    0.144    -0.01     2.75    0.134     0.00     2.75
1988Q       A163320+3448                 0.001   -99.00    -9.00    0.004   -99.00    -9.00    0.004   -99.00    -9.00    0.003   -99.00    -9.00    0.000   -99.00    -9.00
2003hq      MCG+08-30-027                0.450     1.40    12.28    0.442     0.82     5.01    0.441     0.85     3.70    0.437     0.42     2.56    0.472     0.45     2.32
2011gd      NGC6186                      0.056     0.69     1.85    0.055     0.58     0.94    0.063     0.65     0.65    0.065     0.68     0.54    0.072     0.70     0.46
2001az      UGC10483                     0.000   -99.00    -9.00    0.039   -99.00    -9.00    0.039   -99.00    -9.00    0.039   -99.00    -9.00    0.039   -99.00    -9.00
2001dq      IC1222                       0.459     0.49     8.69    0.460     0.32     4.64    0.486    -0.16     2.90    0.492    -0.17     2.51    0.512    -0.26     2.24
